"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"670","Radek Smolenak","CHI","L","1","4.6833333333333","5","1","83.33","5","1","83.33","5","1","83.33","0","0","-","0.28","0.11","72.47","2","1","66.67","0","1","0.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","100.00","1.000","0","1","1","6","0.00","0","2","2","0.00"
"675","Mikko Lehtonen","BOS","R","1","7.1333333333333","10","2","83.33","7","1","87.50","5","1","83.33","0","1","0.00","0.21","0.13","63.00","2","2","50.00","1","1","50.00","0","1","0.00","1","1","50.00","0","0","-","7","0","100.00","0","0","-","0.00","0.00","0.000","3","1","0","7","100.00","3","1","2","60.00"
"706","Jared Ross","PHI","C","3","22.016666666667","21","6","77.78","15","4","78.95","12","4","75.00","0","1","0.00","0.77","0.23","77.07","10","4","71.43","4","2","66.67","0","1","0.00","6","2","75.00","0","0","-","8","2","80.00","0","0","-","0.00","75.00","0.750","4","6","2","19","66.67","4","7","2","66.67"
"533","Drew Larman","BOS","C","4","31.883333333333","37","11","77.08","29","8","78.38","21","6","77.78","0","1","0.00","1.14","0.36","76.11","14","6","70.00","5","0","100.00","0","0","-","9","6","60.00","0","1","0.00","22","5","81.48","0","0","-","0.00","83.33","0.833","6","7","4","24","60.00","10","11","5","66.67"
"790","Eric Tangradi","PIT","L","1","11.066666666667","15","5","75.00","9","4","69.23","8","4","66.67","0","0","-","0.75","0.5","59.77","6","3","66.67","3","2","60.00","0","0","-","3","1","75.00","0","0","-","6","2","75.00","0","0","-","0.00","100.00","1.000","1","2","3","8","25.00","4","4","4","50.00"
"871","Nazem Kadri","TOR","C","1","15.783333333333","15","5","75.00","13","2","86.67","9","1","90.00","0","1","0.00","0.77","0.06","92.77","5","0","100.00","3","0","100.00","0","0","-","2","0","100.00","0","0","-","10","4","71.43","0","1","0.00","0.00","0.00","0.000","3","3","0","11","100.00","7","8","0","100.00"
"671","Perttu Lindgren","DAL","C","1","7.6666666666667","5","2","71.43","3","1","75.00","2","1","66.67","0","0","-","0.1","0.03","76.02","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","1","1","0","6","100.00","2","1","0","100.00"
"595","Jake Dowell","CHI","C","3","19.616666666667","23","10","69.70","19","8","70.37","15","7","68.18","2","1","66.67","0.95","0.44","68.12","10","5","66.67","5","2","71.43","2","0","100.00","5","3","62.50","0","1","0.00","11","5","68.75","0","0","-","13.33","85.71","0.990","3","7","0","22","100.00","4","10","3","57.14"
"797","P.K. Subban","MTL","D","2","30.816666666667","34","15","69.39","22","10","68.75","15","7","68.18","1","0","100.00","1.34","0.81","62.39","11","5","68.75","4","4","50.00","1","0","100.00","7","1","87.50","0","0","-","21","9","70.00","0","0","-","6.67","100.00","1.067","7","11","3","19","70.00","13","13","5","72.22"
"578","Peter Olvecky","NSH","L","1","7.8833333333333","4","2","66.67","3","2","60.00","3","2","60.00","0","0","-","0.09","0.08","52.42","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","3","1","75.00","0","0","-","0.00","100.00","1.000","1","2","0","7","100.00","1","3","3","25.00"
"874","Anton Klementyev","NYI","D","1","6.3333333333333","4","2","66.67","3","2","60.00","2","1","66.67","0","0","-","0.15","0.1","60.42","3","1","75.00","1","0","100.00","0","0","-","2","1","66.67","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","2","0","0","6","100.00","3","0","0","100.00"
"639","Jack Skille","CHI","R","6","45.966666666667","45","24","65.22","34","13","72.34","27","12","69.23","2","5","28.57","1.6","1.02","61.01","12","15","44.44","6","4","60.00","2","3","40.00","6","11","35.29","0","1","0.00","26","7","78.79","0","1","0.00","7.41","58.33","0.657","12","10","5","42","70.59","17","15","8","68.00"
"771","Trevor Frischmon","CBJ","C","3","18.3","11","6","64.71","7","4","63.64","4","4","50.00","0","0","-","0.51","0.21","71.10","5","2","71.43","3","2","60.00","0","0","-","2","0","100.00","0","0","-","6","3","66.67","0","0","-","0.00","100.00","1.000","0","3","1","27","0.00","2","4","1","66.67"
"609","Mark Mancari","BUF","R","6","72.15","91","53","63.19","62","39","61.39","47","31","60.26","3","0","100.00","4","2","66.67","50","30","62.50","25","10","71.43","2","0","100.00","25","20","55.56","0","0","-","36","21","63.16","1","0","100.00","6.38","100.00","1.064","11","14","8","52","57.89","18","18","18","50.00"
"478","Colin McDonald","EDM","R","2","13.383333333333","13","8","61.90","10","7","58.82","9","6","60.00","1","0","100.00","0.41","0.23","64.05","5","2","71.43","4","0","100.00","0","0","-","1","2","33.33","0","0","-","7","6","53.85","1","0","100.00","11.11","100.00","1.111","4","3","1","12","80.00","5","3","3","62.50"
"766","Bobby Sanguinetti","NYR","D","5","52.783333333333","58","36","61.70","47","25","65.28","33","21","61.11","2","2","50.00","2.7","1.78","60.24","30","18","62.50","15","9","62.50","1","2","33.33","15","9","62.50","0","0","-","26","16","61.90","1","0","100.00","6.06","90.48","0.965","7","13","5","53","58.33","17","20","13","56.67"
"736","Oskar Osala","CAR","L","1","6.7666666666667","8","5","61.54","7","4","63.64","4","1","80.00","0","0","-","0.34","0.24","58.48","4","3","57.14","2","0","100.00","0","0","-","2","3","40.00","0","0","-","4","2","66.67","0","0","-","0.00","100.00","1.000","0","2","0","6","-","0","5","1","0.00"
