"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Pheonix Copley","21-22","WSH","G",2,96.58,5.16,42.96,72.41,3.29,87.99,92.87,95.46,-2.58,-1.17,-1.87
"Pheonix Copley","22-23","L.A","G",37,2089.47,91.49,931.48,1361.77,97.27,90.18,93.28,92.86,0.42,-2.39,5.78
"Pheonix Copley","23-24","L.A","G",8,436.28,23.37,176.36,264.25,20.69,86.75,91.16,92.17,-1.01,-6.33,-2.68
"Philipp Grubauer","12-13","WSH","G",2,83.97,4.81,60.81,77.36,6.6,92.09,93.78,91.47,2.31,0.55,1.79
"Philipp Grubauer","13-14","WSH","G",17,883.38,34.78,470.35,649.45,37.35,92.61,94.64,94.25,0.4,5.67,2.57
"Philipp Grubauer","15-16","WSH","G",22,1111.03,43.4,533.28,772.57,47.01,91.86,94.38,93.92,0.47,2.04,3.61
"Philipp Grubauer","16-17","WSH","G",24,1264.57,41.49,568.21,801.3,52.29,92.7,94.82,93.47,1.35,7.63,10.8
"Philipp Grubauer","17-18","WSH","G",35,1864.8,72.08,936.98,1371.77,89.41,92.31,94.75,93.48,1.26,10.11,17.33
"Philipp Grubauer","18-19","COL","G",37,2020.73,89.14,1062.99,1444.96,86.05,91.61,93.83,94.04,-0.21,6.69,-3.09
"Philipp Grubauer","19-20","COL","G",36,2057.1,89.54,1050.17,1409.26,87.83,91.47,93.65,93.77,-0.12,5.36,-1.71
"Philipp Grubauer","20-21","COL","G",40,2366.5,76.5,973.66,1336.1,81.29,92.14,94.27,93.92,0.36,13.1,4.79
"Philipp Grubauer","21-22","SEA","G",55,3111.38,165.51,1517.87,2118.63,133.98,89.1,92.19,93.68,-1.49,-24.64,-31.53
"Philipp Grubauer","22-23","SEA","G",39,2065.62,99.16,939.18,1348.37,104.1,89.44,92.65,92.28,0.37,-9.32,4.94
"Philipp Grubauer","23-24","SEA","G",36,1996.6,95.59,956.93,1391.14,95.55,90.01,93.13,93.13,0,-3.13,-0.04
"Philipp Grubauer","24-25","SEA","G",26,1460.48,85.31,704.86,1120.61,72.65,87.9,92.39,93.52,-1.13,-14.77,-12.66
"Pyotr Kochetkov","21-22","CAR","G",3,148.6,5.7,58.19,73.54,4.69,90.2,92.25,93.62,-1.37,-0.3,-1.01
"Pyotr Kochetkov","22-23","CAR","G",24,1403.92,56.53,611.89,839.5,67.24,90.76,93.27,91.99,1.28,2,10.71
"Pyotr Kochetkov","23-24","CAR","G",42,2371.48,90.85,1008.02,1388.21,98.12,90.99,93.46,92.93,0.52,6.55,7.27
"Pyotr Kochetkov","24-25","CAR","G",47,2790.58,120.45,1155.9,1697.34,130.78,89.58,92.9,92.3,0.61,-4.77,10.33
"Ray Emery","07-08","OTT","G",31,1689.33,88.82,811.84,1121.1,66.82,89.06,92.08,94.04,-1.96,-14.91,-22
"Ray Emery","09-10","PHI","G",29,1683.55,74.21,773.6,1070.82,74.85,90.41,93.07,93.01,0.06,-5.58,0.64
"Ray Emery","10-11","ANA","G",10,527.3,19.75,269.19,400.9,22.09,92.66,95.07,94.49,0.58,3.73,2.34
"Ray Emery","11-12","CHI","G",34,1773.78,81.86,837.11,1191.92,76.47,90.22,93.13,93.58,-0.45,-9.42,-5.39
"Ray Emery","12-13","CHI","G",21,1116,35.97,449.1,605.04,40.5,91.99,94.05,93.31,0.75,3.59,4.53
"Ray Emery","13-14","PHI","G",28,1398.42,68.77,726.65,1018.44,64.81,90.54,93.25,93.64,-0.39,-6.29,-3.96
"Ray Emery","14-15","PHI","G",31,1569.52,79.44,759.47,1069.73,65.16,89.54,92.57,93.91,-1.33,-14.68,-14.28
"Reto Berra","13-14","CGY","G",29,1648.38,81.98,805.49,1125.89,67.02,89.82,92.72,94.05,-1.33,-12.72,-14.96
"Reto Berra","14-15","COL","G",19,748.45,33.11,410.09,550.07,33.2,91.93,93.98,93.96,0.02,1.86,0.09
"Reto Berra","15-16","COL","G",14,720.72,28.51,368.26,513.27,29.09,92.26,94.45,94.33,0.11,2.87,0.58
"Reto Berra","16-17","FLA","G",7,313.12,17.99,151.63,221.53,15.04,88.14,91.88,93.21,-1.33,-4.88,-2.95
"Reto Berra","17-18","ANA","G",5,181.92,6.71,94.22,137.48,8.87,92.88,95.12,93.55,1.57,1.56,2.16
"Richard Bachman","11-12","DAL","G",18,933.08,42.97,483.84,657.23,39.95,91.12,93.46,93.92,-0.46,-1.1,-3.02
"Richard Bachman","12-13","DAL","G",13,608.83,33.18,291.24,441.26,27.26,88.61,92.48,93.82,-1.34,-7.53,-5.92
"Richard Bachman","13-14","EDM","G",3,138.72,7.34,85.7,111.98,6.72,91.44,93.45,94,-0.55,0.03,-0.62
"Richard Bachman","14-15","EDM","G",6,316.72,14.47,166.44,235.64,16.18,91.31,93.86,93.13,0.73,-0.28,1.71
"Richard Bachman","16-17","VAN","G",5,295.18,12.51,158.68,231.18,14.56,92.12,94.59,93.7,0.89,1.21,2.05
"Rick Dipietro","07-08","NYI","G",63,3703.22,173.79,1797.06,2485.2,159.37,90.33,93.01,93.59,-0.58,-10.18,-14.42
"Rick Dipietro","08-09","NYI","G",5,255.98,15.51,147.59,208.85,12.95,89.49,92.57,93.8,-1.23,-2,-2.56
"Rick Dipietro","09-10","NYI","G",7,403,16.39,180.82,263.51,15.03,90.94,93.78,94.3,-0.52,-0.35,-1.36
"Rick Dipietro","10-11","NYI","G",26,1533.22,88.56,787.59,1139.84,79.18,88.76,92.23,93.05,-0.82,-19.86,-9.38
"Rick Dipietro","11-12","NYI","G",7,353.75,22.81,181.33,255.26,18.12,87.42,91.06,92.9,-1.84,-7.12,-4.69
"Rick Dipietro","12-13","NYI","G",3,175.6,11.89,83.13,120.97,7.51,85.7,90.17,93.79,-3.62,-4.57,-4.38
"Rob Zepp","14-15","PHI","G",10,519.02,24.58,224.16,332.11,22.4,89.03,92.6,93.26,-0.66,-5.47,-2.18
"Roberto Luongo","07-08","VAN","G",73,4232.43,167.11,2020.31,2827.39,176.14,91.73,94.09,93.77,0.32,16.83,9.03
"Roberto Luongo","08-09","VAN","G",53,3141.5,120.33,1504.4,2087.12,133.71,92,94.23,93.59,0.64,17.32,13.38
"Roberto Luongo","09-10","VAN","G",68,3899.7,167.14,1896.7,2588.78,166.79,91.19,93.54,93.56,-0.01,1.12,-0.35
"Roberto Luongo","10-11","VAN","G",60,3590.1,125.14,1730.32,2330.94,150.02,92.77,94.63,93.56,1.07,25.8,24.88
"Roberto Luongo","11-12","VAN","G",55,3162.38,127.33,1562.25,2049.26,135.7,91.85,93.79,93.38,0.41,7.88,8.37
"Roberto Luongo","12-13","VAN","G",20,1196.92,50.9,546.09,743.1,46.42,90.68,93.15,93.75,-0.6,-2.79,-4.48
"Roberto Luongo","13-14","FLA","G",14,804.3,34.37,450.12,622.98,38.68,92.36,94.48,93.79,0.69,4.33,4.31
"Roberto Luongo","13-14","VAN","G",42,2418.03,96.31,1152.75,1589.59,96.22,91.65,93.94,93.95,-0.01,2.81,-0.09
"Roberto Luongo","14-15","FLA","G",61,3528.18,137.67,1748.62,2369.51,133.8,92.13,94.19,94.35,-0.16,11.44,-3.87
"Roberto Luongo","15-16","FLA","G",62,3601.83,142.13,1782.41,2406.57,143.79,92.03,94.09,94.03,0.07,9.73,1.66
"Roberto Luongo","16-17","FLA","G",40,2327.62,104.73,1227.34,1592.61,102.92,91.47,93.42,93.54,-0.11,1.38,-1.81
"Roberto Luongo","17-18","FLA","G",35,1965.87,81.22,1144.75,1501.58,92.83,92.91,94.59,93.82,0.77,19.19,11.61
"Roberto Luongo","18-19","FLA","G",43,2346.57,120.96,1197.03,1677.16,107.69,89.89,92.79,93.58,-0.79,-13.05,-13.27
"Robin Lehner","10-11","OTT","G",8,340.87,19.78,174.1,238.3,14.79,88.64,91.7,93.79,-2.09,-4.59,-4.99
"Robin Lehner","11-12","OTT","G",5,299.12,10,153.49,209.23,12.65,93.48,95.22,93.95,1.27,3.28,2.65
"Robin Lehner","12-13","OTT","G",12,735.63,26.01,412.55,546.78,31.17,93.7,95.24,94.3,0.94,10.33,5.16
"Robin Lehner","13-14","OTT","G",36,1942.17,94.62,1140.91,1509.05,95.25,91.71,93.73,93.69,0.04,3.49,0.63
"Robin Lehner","14-15","OTT","G",25,1471.55,74.37,791.62,1067.91,63.12,90.61,93.04,94.09,-1.05,-6.86,-11.25
"Robin Lehner","15-16","BUF","G",21,1164.08,48.73,642.41,870.47,47.3,92.41,94.4,94.57,-0.16,6,-1.43
"Robin Lehner","16-17","BUF","G",59,3405.47,152.98,1928.66,2586.16,144.75,92.07,94.08,94.4,-0.32,13.76,-8.23
"Robin Lehner","17-18","BUF","G",53,2852.02,143.35,1580.67,2138.81,126.69,90.93,93.3,94.08,-0.78,-4.71,-16.66
