"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Semyon Varlamov","11-12","COL","G",53,3151.35,135.04,1567.91,2186.66,133.97,91.39,93.82,93.87,-0.05,0.65,-1.07
"Semyon Varlamov","12-13","COL","G",35,1949.53,98.27,1039.96,1475.14,95.68,90.55,93.34,93.51,-0.18,-6.67,-2.59
"Semyon Varlamov","13-14","COL","G",63,3639.47,147.36,2001.43,2749.11,166.9,92.64,94.64,93.93,0.71,24.74,19.54
"Semyon Varlamov","14-15","COL","G",57,3306.83,139.82,1792.93,2532.3,156.14,92.2,94.48,93.83,0.64,13.07,16.32
"Semyon Varlamov","15-16","COL","G",57,3159.28,150.22,1723.05,2407.7,146.15,91.28,93.76,93.93,-0.17,-3.42,-4.07
"Semyon Varlamov","16-17","COL","G",24,1347.78,77.49,769.85,1012.21,60.89,89.93,92.34,93.98,-1.64,-10.93,-16.6
"Semyon Varlamov","17-18","COL","G",51,2860.93,127.15,1586.16,2204.16,132.88,91.98,94.23,93.97,0.26,11.97,5.73
"Semyon Varlamov","18-19","COL","G",49,2839.2,137,1491,2010.5,128.28,90.81,93.19,93.62,-0.43,-2.59,-8.72
"Semyon Varlamov","19-20","NYI","G",45,2515.33,110.55,1276.21,1851.93,111.88,91.34,94.03,93.96,0.07,4.77,1.33
"Semyon Varlamov","20-21","NYI","G",36,2116.1,71.39,1014.16,1411.68,81.21,92.96,94.94,94.25,0.7,21.94,9.82
"Semyon Varlamov","21-22","NYI","G",31,1792.28,88.62,1001.6,1344.28,92.32,91.15,93.41,93.13,0.28,4.34,3.7
"Semyon Varlamov","22-23","NYI","G",23,1334.73,59.08,688.69,984.2,66.83,91.42,94,93.21,0.79,6.8,7.75
"Semyon Varlamov","23-24","NYI","G",28,1594.68,68.56,824.33,1203.26,82.95,91.68,94.3,93.11,1.2,11.09,14.39
"Semyon Varlamov","24-25","NYI","G",10,602.3,28.59,256.09,388.94,26.84,88.84,92.65,93.1,-0.45,-2.96,-1.75
"Sergei Bobrovsky","10-11","PHI","G",54,3017.37,130.03,1499.55,2089.28,141.91,91.33,93.78,93.21,0.57,0.77,11.88
"Sergei Bobrovsky","11-12","PHI","G",29,1550.03,78.87,769.92,1092.25,77.39,89.76,92.78,92.91,-0.14,-12.24,-1.48
"Sergei Bobrovsky","12-13","CBJ","G",38,2218.95,73.33,1083.34,1462.39,83.95,93.23,94.99,94.26,0.73,22.09,10.62
"Sergei Bobrovsky","13-14","CBJ","G",58,3299.43,130.76,1679.13,2208.8,128.39,92.21,94.08,94.19,-0.11,13.63,-2.37
"Sergei Bobrovsky","14-15","CBJ","G",51,2994.2,135.04,1641.39,2207.32,128.91,91.77,93.88,94.16,-0.28,4.93,-6.13
"Sergei Bobrovsky","15-16","CBJ","G",37,2116.35,99.16,1054.98,1444.14,90.8,90.6,93.13,93.71,-0.58,-9.27,-8.36
"Sergei Bobrovsky","16-17","CBJ","G",63,3707.07,126.43,1839.27,2536.4,171.53,93.13,95.02,93.24,1.78,32.58,45.1
"Sergei Bobrovsky","17-18","CBJ","G",65,3911.47,157.1,1977.3,2708.7,179.41,92.05,94.2,93.38,0.82,16.33,22.31
"Sergei Bobrovsky","18-19","CBJ","G",62,3556.23,153.86,1733.12,2390.76,151.02,91.12,93.56,93.68,-0.12,2.38,-2.84
"Sergei Bobrovsky","19-20","FLA","G",50,2805.78,151,1499.38,2019.25,137.54,89.93,92.52,93.19,-0.67,-15.51,-13.46
"Sergei Bobrovsky","20-21","FLA","G",31,1814.87,87.19,920.55,1182.28,77.22,90.53,92.63,93.47,-0.84,-2.47,-9.97
"Sergei Bobrovsky","21-22","FLA","G",54,3082.03,137.64,1549.02,2023.85,149.78,91.11,93.2,92.6,0.6,6.12,12.14
"Sergei Bobrovsky","22-23","FLA","G",50,2833.65,145.85,1480.12,2029.3,148.77,90.15,92.81,92.67,0.14,-4.27,2.92
"Sergei Bobrovsky","23-24","FLA","G",58,3414.23,135.86,1565.38,2208.91,151.62,91.32,93.85,93.14,0.71,15.4,15.76
"Sergei Bobrovsky","24-25","FLA","G",54,3199.97,130.49,1364.04,2042.05,139.45,90.43,93.61,93.17,0.44,6.01,8.96
"Spencer Knight","20-21","FLA","G",4,206.9,7.97,95.77,114.77,6.48,91.68,93.06,94.35,-1.3,0.84,-1.49
"Spencer Knight","21-22","FLA","G",32,1739.9,80.25,859.26,1141.71,78.53,90.66,92.97,93.12,-0.15,-0.5,-1.72
"Spencer Knight","22-23","FLA","G",21,1168.75,61.58,619.58,824.86,57.1,90.06,92.53,93.08,-0.54,-2.32,-4.48
"Spencer Knight","24-25","CHI","G",15,904.42,48.61,455.04,698.6,50.87,89.32,93.04,92.72,0.32,-3.08,2.26
"Spencer Knight","24-25","FLA","G",23,1298.43,51.21,563.39,872.61,60.31,90.91,94.13,93.09,1.04,5.17,9.1
"Spencer Martin","16-17","COL","G",3,179.43,13.15,101.44,137.52,8.87,87.04,90.44,93.55,-3.11,-4.38,-4.28
"Spencer Martin","21-22","VAN","G",6,378.35,10.96,214.02,296.68,22.31,94.88,96.31,92.48,3.83,8.9,11.35
"Spencer Martin","22-23","VAN","G",29,1610.18,107.64,842.86,1169.43,84.92,87.23,90.8,92.74,-1.94,-27.02,-22.72
"Spencer Martin","23-24","CAR","G",6,365,15.25,147.18,214.38,16.28,89.64,92.89,92.41,0.48,-1.03,1.03
"Spencer Martin","23-24","CBJ","G",13,707.22,43.79,389.46,570.06,40.54,88.76,92.32,92.89,-0.57,-6.16,-3.25
"Spencer Martin","24-25","CAR","G",9,415.93,27.12,177.41,280.56,21.43,84.71,90.33,92.36,-2.03,-9.37,-5.69
"Steve Mason","08-09","CBJ","G",61,3661.63,140.45,1655.83,2277.51,139.69,91.52,93.83,93.87,-0.03,11.05,-0.76
"Steve Mason","09-10","CBJ","G",57,3141.93,163.65,1625.9,2196.07,132.05,89.93,92.55,93.99,-1.44,-19.41,-31.6
"Steve Mason","10-11","CBJ","G",54,3026.5,154.29,1560.35,2084.32,131.67,90.11,92.6,93.68,-1.09,-18.18,-22.62
"Steve Mason","11-12","CBJ","G",46,2533.68,145.3,1369.85,1761.48,100.71,89.39,91.75,94.28,-2.53,-26.75,-44.59
"Steve Mason","12-13","CBJ","G",13,712.07,34.4,348.17,465.25,25.42,90.12,92.61,94.54,-1.93,-3.73,-8.98
"Steve Mason","12-13","PHI","G",7,378.07,11.62,207.14,276.01,17.77,94.39,95.79,93.56,2.23,6.63,6.15
"Steve Mason","13-14","PHI","G",61,3485.6,145.25,1742.65,2353.26,139.29,91.66,93.83,94.08,-0.25,4.6,-5.96
"Steve Mason","14-15","PHI","G",51,2885.38,108.24,1499.14,2038.4,124.73,92.78,94.69,93.88,0.81,19.6,16.49
"Steve Mason","15-16","PHI","G",54,3150.43,131.6,1612.71,2172.06,140.53,91.84,93.94,93.53,0.41,5.8,8.93
"Steve Mason","16-17","PHI","G",58,3224.53,143.28,1554.74,2164.41,140.14,90.78,93.38,93.53,-0.15,-8.86,-3.14
"Steve Mason","17-18","WPG","G",13,684.88,36.52,382.9,522.97,33.7,90.46,93.02,93.56,-0.54,-2.94,-2.82
"Steve Valiquette","07-08","NYR","G",13,685.1,24.92,288.4,378.87,23.78,91.36,93.42,93.72,-0.3,1.34,-1.14
"Steve Valiquette","08-09","NYR","G",15,823.08,37.43,415.72,576.81,40.95,91,93.51,92.9,0.61,0.6,3.52
"Steve Valiquette","09-10","NYR","G",6,304.82,18.89,127.32,188.21,14.09,85.16,89.96,92.51,-2.55,-7.59,-4.8
"Stuart Skinner","21-22","EDM","G",13,734.15,31.82,366.73,475.77,32.83,91.32,93.31,93.1,0.21,2.22,1.01
"Stuart Skinner","22-23","EDM","G",50,2903.03,131.79,1514.94,2057,150.19,91.3,93.59,92.7,0.89,13.12,18.4
"Stuart Skinner","23-24","EDM","G",59,3361.27,147.56,1554.63,2211.26,160.63,90.51,93.33,92.74,0.59,2.65,13.07
"Stuart Skinner","24-25","EDM","G",51,2942.45,138.76,1324.51,1958.06,145.76,89.52,92.91,92.56,0.36,-6.21,7
"Thatcher Demko","18-19","VAN","G",9,534.15,25.13,300.11,407.57,23.81,91.63,93.83,94.16,-0.32,1.92,-1.32
"Thatcher Demko","19-20","VAN","G",27,1529.05,77.39,824.04,1097.45,75.46,90.61,92.95,93.12,-0.18,-2.93,-1.93
"Thatcher Demko","20-21","VAN","G",35,2086.77,100.59,1180.25,1592.95,109.29,91.48,93.69,93.14,0.55,8.03,8.7
"Thatcher Demko","21-22","VAN","G",64,3700.63,167.64,1967.92,2664.57,174.94,91.48,93.71,93.43,0.27,15.01,7.3
"Thatcher Demko","22-23","VAN","G",32,1878.43,98.01,1003.23,1387.17,96.52,90.23,92.93,93.04,-0.11,-2.05,-1.49
"Thatcher Demko","23-24","VAN","G",51,3015.8,122.69,1461.27,2049.49,148.52,91.6,94.01,92.75,1.26,18.51,25.83
"Thatcher Demko","24-25","VAN","G",23,1301.97,63.31,572.94,894.81,66.89,88.95,92.92,92.52,0.4,-5.98,3.58
"Thomas Greiss","07-08","S.J","G",3,128.82,6.71,46.69,67.29,3.52,85.63,90.03,94.77,-4.74,-2.46,-3.19
"Thomas Greiss","09-10","S.J","G",15,724.25,32.93,376.6,504.71,35.3,91.26,93.48,93.01,0.47,0.48,2.37
"Thomas Greiss","11-12","S.J","G",19,1042.67,40.03,471.48,613.36,35.25,91.51,93.47,94.25,-0.78,0.78,-4.78
"Thomas Greiss","12-13","S.J","G",6,308.2,12.6,153.71,214.31,12.37,91.8,94.12,94.23,-0.11,0.94,-0.23
"Thomas Greiss","13-14","ARI","G",25,1312.33,49.52,624.73,865.37,51.2,92.07,94.28,94.08,0.19,4.21,1.68
"Thomas Greiss","14-15","PIT","G",20,1159.62,49.06,534.95,714.57,43.24,90.83,93.13,93.95,-0.81,-3.44,-5.82
"Thomas Greiss","15-16","NYI","G",41,2287.32,89.32,1185.58,1613.6,106.83,92.47,94.46,93.38,1.09,11.69,17.51
"Thomas Greiss","16-17","NYI","G",51,2813.28,125.18,1436.57,2062.11,135.04,91.29,93.93,93.45,0.48,-0.99,9.86
"Thomas Greiss","17-18","NYI","G",27,1491.72,94.97,884.05,1198.87,75.54,89.26,92.08,93.7,-1.62,-17.43,-19.43
"Thomas Greiss","18-19","NYI","G",43,2293.65,87.5,1168.37,1598.71,99.17,92.51,94.53,93.8,0.73,17.83,11.67
"Thomas Greiss","19-20","NYI","G",31,1595.22,72.87,832.18,1146.68,70.11,91.24,93.65,93.89,-0.24,2.32,-2.76
"Thomas Greiss","20-21","DET","G",34,1754.53,78.47,903.08,1250.72,72.68,91.31,93.73,94.19,-0.46,4.63,-5.79
"Thomas Greiss","21-22","DET","G",31,1507.73,91.44,852.82,1191.16,77.74,89.28,92.32,93.47,-1.15,-12.28,-13.7
"Thomas Greiss","22-23","STL","G",21,1089.33,65.4,629.75,876.65,59.79,89.61,92.54,93.18,-0.64,-5.16,-5.61
"Tim Thomas","07-08","BOS","G",57,3341.98,136.87,1723.71,2250.95,137.25,92.06,93.92,93.9,0.02,20.06,0.38
"Tim Thomas","08-09","BOS","G",53,3198.92,111.01,1623.77,2149.01,136.47,93.16,94.83,93.65,1.18,37.56,25.46
"Tim Thomas","09-10","BOS","G",43,2441.87,104.28,1227.53,1596.01,93.3,91.5,93.47,94.15,-0.69,4.62,-10.98
"Tim Thomas","10-11","BOS","G",57,3363.97,111.52,1772.17,2376.34,142.05,93.71,95.31,94.02,1.28,43.07,30.53
"Tim Thomas","11-12","BOS","G",59,3351.48,131.28,1639.95,2171.05,122.05,91.99,93.95,94.38,-0.43,10.66,-9.23
"Tim Thomas","13-14","DAL","G",8,363.6,17.76,186.87,267.06,15.68,90.5,93.35,94.13,-0.78,-1.69,-2.08
"Tim Thomas","13-14","FLA","G",40,2288.08,110.31,1226.77,1586.04,100.12,91.01,93.04,93.69,-0.64,-4.82,-10.19
"Tobias Stephan","08-09","DAL","G",10,437.87,26.55,219.46,281.68,17.99,87.9,90.57,93.61,-3.04,-6.47,-8.56
"Tomas Vokoun","07-08","FLA","G",69,4030.62,180.92,2224.49,2985.85,177.74,91.87,93.94,94.05,-0.11,21.6,-3.18
"Tomas Vokoun","08-09","FLA","G",59,3324,138.08,1854.53,2559.97,149.61,92.55,94.61,94.16,0.45,31.6,11.53
"Tomas Vokoun","09-10","FLA","G",63,3695.02,158.14,2093.45,2855.35,172.5,92.45,94.46,93.96,0.5,27.57,14.36
"Tomas Vokoun","10-11","FLA","G",57,3223.87,137.88,1741.67,2339.78,143.3,92.08,94.11,93.88,0.23,14.05,5.42
"Tomas Vokoun","11-12","WSH","G",48,2583.08,106.98,1287.81,1793.39,102.86,91.69,94.03,94.26,-0.23,4.47,-4.12
"Tomas Vokoun","12-13","PIT","G",20,1028.53,40.88,502.04,685.4,42.18,91.86,94.04,93.85,0.19,3.34,1.3
"Trent Miner","24-25","COL","G",2,91.63,3.94,34.34,50.98,2.49,88.53,92.27,95.12,-2.84,-0.51,-1.45
"Tristan Jarry","17-18","PIT","G",26,1363.93,63.04,677.7,920.6,61.23,90.7,93.15,93.35,-0.2,-3.6,-1.81
"Tristan Jarry","18-19","PIT","G",2,120.05,6.82,61.33,74.11,2.61,88.88,90.8,96.48,-5.68,-1.3,-4.21
"Tristan Jarry","19-20","PIT","G",33,1924.1,78.25,976.95,1314.76,79.24,91.99,94.05,93.97,0.08,10.03,0.99
"Tristan Jarry","20-21","PIT","G",39,2183.75,99.05,1085.86,1439.4,90.79,90.88,93.12,93.69,-0.57,0.88,-8.26
"Tristan Jarry","21-22","PIT","G",58,3415.18,139.47,1702.05,2268.25,146.05,91.81,93.85,93.56,0.29,18.5,6.58
"Tristan Jarry","22-23","PIT","G",47,2650.03,127.65,1407.72,1903.42,128.77,90.93,93.29,93.23,0.06,7,1.12
"Tristan Jarry","23-24","PIT","G",51,2740.63,134.22,1386.82,2080.66,146.59,90.32,93.55,92.95,0.59,-0.22,12.37
"Tristan Jarry","24-25","PIT","G",36,2019.9,105.22,980.9,1480.31,100.62,89.27,92.89,93.2,-0.31,-7.06,-4.6
"Troy Grosenick","14-15","S.J","G",2,118.37,2.88,55.16,82.48,4.9,94.78,96.51,94.06,2.45,1.83,2.02
"Troy Grosenick","20-21","L.A","G",2,120,5.73,73.59,98.71,7.25,92.21,94.2,92.66,1.54,1.05,1.52
"Tuukka Rask","07-08","BOS","G",4,184.4,9.64,89.9,126.51,8.54,89.28,92.38,93.25,-0.87,-1.46,-1.1
"Tuukka Rask","09-10","BOS","G",45,2562.18,84.12,1217.14,1634.15,102.17,93.09,94.85,93.75,1.1,23.86,18.05
"Tuukka Rask","10-11","BOS","G",29,1594.37,71.07,879,1192.45,70.11,91.91,94.04,94.12,-0.08,5.61,-0.96
"Tuukka Rask","11-12","BOS","G",23,1289.4,44.6,624.23,855.15,48.87,92.86,94.78,94.29,0.5,9.42,4.27
"Tuukka Rask","12-13","BOS","G",36,2104.68,69.82,972.34,1345.7,84.32,92.82,94.81,93.73,1.08,15.83,14.5
"Tuukka Rask","13-14","BOS","G",58,3386.45,114.36,1624.58,2190.93,121.5,92.96,94.78,94.45,0.33,25.34,7.14
"Tuukka Rask","14-15","BOS","G",70,4063.02,154.94,1996.25,2737.7,154.2,92.24,94.34,94.37,-0.03,15.29,-0.74
"Tuukka Rask","15-16","BOS","G",64,3678.05,157.73,1842.53,2624.24,150.97,91.44,93.99,94.25,-0.26,-0.75,-6.76
"Tuukka Rask","16-17","BOS","G",65,3679.58,136.53,1586.78,2258.14,133.1,91.4,93.95,94.11,-0.15,0.65,-3.43
"Tuukka Rask","17-18","BOS","G",54,3173.08,125.25,1518.94,2110.03,126.05,91.75,94.06,94.03,0.04,7.98,0.8
"Tuukka Rask","18-19","BOS","G",46,2635.12,108.71,1230.52,1694.71,103.87,91.17,93.59,93.87,-0.29,2.22,-4.84
"Tuukka Rask","19-20","BOS","G",41,2401.73,85.07,1179.39,1624.73,92.38,92.79,94.76,94.31,0.45,21.5,7.31
"Tuukka Rask","20-21","BOS","G",24,1395.72,52.74,599.59,849.42,52.33,91.2,93.79,93.84,-0.05,2.44,-0.41
"Tuukka Rask","21-22","BOS","G",4,196.35,14.96,94.43,129.8,8.08,84.16,88.47,93.78,-5.3,-6.19,-6.88
"Ty Conklin","07-08","PIT","G",33,1865.55,76.45,1002.26,1394.4,73.48,92.37,94.52,94.73,-0.21,14.8,-2.97
"Ty Conklin","08-09","DET","G",39,2182.2,90.13,985.85,1332.81,76.97,90.86,93.24,94.22,-0.99,0.07,-13.16
"Ty Conklin","09-10","STL","G",26,1451.18,60.83,760.22,1043.87,66.61,92,94.17,93.62,0.55,6.61,5.78
"Ty Conklin","10-11","STL","G",25,1285.45,68.2,581.62,774.84,47.26,88.27,91.2,93.9,-2.7,-17.47,-20.94
"Ty Conklin","11-12","DET","G",15,804.43,43.15,382.14,525.37,34.19,88.71,91.79,93.49,-1.71,-10.08,-8.96
"Ukko-Pekka Luukkonen","20-21","BUF","G",4,216.7,13.63,149.46,204.09,12.41,90.88,93.32,93.92,-0.6,0.13,-1.22
"Ukko-Pekka Luukkonen","21-22","BUF","G",9,503.07,23.58,283.38,402.35,21.62,91.68,94.14,94.63,-0.49,2.72,-1.96
"Ukko-Pekka Luukkonen","22-23","BUF","G",33,1910.22,115.76,1044.12,1408.24,105.02,88.91,91.78,92.54,-0.76,-15.89,-10.74
"Ukko-Pekka Luukkonen","23-24","BUF","G",54,3081.23,131.43,1475.09,2180.1,153.89,91.09,93.97,92.94,1.03,11.1,22.46
"Ukko-Pekka Luukkonen","24-25","BUF","G",55,3172.22,169.99,1482.86,2259.38,161.22,88.54,92.48,92.86,-0.39,-21.59,-8.77
"Vesa Toskala","07-08","TOR","G",66,3836.9,177.39,1828.22,2574.04,168.96,90.3,93.11,93.44,-0.33,-10.94,-8.43
"Vesa Toskala","08-09","TOR","G",52,2997.4,163,1506.47,2167.85,140.3,89.18,92.48,93.53,-1.05,-25.16,-22.7
"Vesa Toskala","09-10","CGY","G",6,211.92,7.62,91.26,119.19,6.51,91.65,93.61,94.54,-0.93,0.47,-1.11
"Vesa Toskala","09-10","TOR","G",26,1393.03,85.79,695.06,1016.48,67.36,87.66,91.56,93.37,-1.81,-24.13,-18.43
"Viktor Fasth","12-13","ANA","G",25,1428.3,52.15,660.49,964.83,59.9,92.1,94.59,93.79,0.8,6.03,7.75
"Viktor Fasth","13-14","ANA","G",5,304.78,14.47,129.43,186.79,11.33,88.82,92.25,93.93,-1.68,-3.34,-3.14
"Viktor Fasth","13-14","EDM","G",7,396.07,18.14,217.85,316.07,20.94,91.67,94.26,93.37,0.89,0.59,2.8
"Viktor Fasth","14-15","EDM","G",26,1336.48,75.32,692.37,994.5,64.7,89.12,92.43,93.49,-1.07,-16.27,-10.62
"Ville Husso","20-21","STL","G",17,916.97,48.76,458.48,639.91,42.35,89.36,92.38,93.38,-1,-6.57,-6.41
"Ville Husso","21-22","STL","G",40,2341.23,99.87,1227.98,1714.37,114.01,91.87,94.17,93.35,0.82,14.1,14.14
"Ville Husso","22-23","DET","G",56,3220.13,171.23,1620.28,2276.64,158.24,89.43,92.48,93.05,-0.57,-16.24,-12.99
"Ville Husso","23-24","DET","G",19,1012.92,59,551.21,826.16,61.3,89.3,92.86,92.58,0.28,-5.74,2.3
"Ville Husso","24-25","ANA","G",4,200.95,10.03,137.55,201.89,13.74,92.71,95.03,93.19,1.84,3.74,3.71
"Ville Husso","24-25","DET","G",9,438.82,27.95,208.67,314.26,16.66,86.61,91.11,94.7,-3.59,-7.07,-11.29
"Vitek Vanecek","20-21","WSH","G",37,2114.03,94.48,1017.97,1441.9,86.9,90.72,93.45,93.97,-0.53,-0.8,-7.58
"Vitek Vanecek","21-22","WSH","G",42,2317.27,103.76,1119.49,1564.7,101,90.73,93.37,93.55,-0.18,0.15,-2.76
"Vitek Vanecek","22-23","N.J","G",52,2915.53,118.56,1319.47,1914.94,131.84,91.01,93.81,93.12,0.69,7.65,13.28
"Vitek Vanecek","23-24","N.J","G",32,1791.7,95.91,868.02,1219.85,85.24,88.95,92.14,93.01,-0.87,-12.04,-10.67
"Vitek Vanecek","24-25","FLA","G",7,420.65,20.56,189.04,292.13,19.52,89.12,92.96,93.32,-0.36,-1.64,-1.04
"Vitek Vanecek","24-25","S.J","G",18,972.98,63.78,552.53,822.24,55.98,88.46,92.24,93.19,-0.95,-8.48,-7.8
"Wade Dubielewicz","07-08","NYI","G",20,1132.35,51.01,634.2,900.89,66.14,91.96,94.34,92.66,1.68,6.73,15.13
"Wade Dubielewicz","08-09","CBJ","G",3,168.63,9.86,78.67,98.4,5.88,87.47,89.98,94.02,-4.04,-2.66,-3.98
"Wade Dubielewicz","09-10","MIN","G",3,100.52,4.91,35.16,52.88,2.33,86.04,90.71,95.59,-4.88,-1.79,-2.58
"Yann Danis","08-09","NYI","G",31,1760.12,86.17,952.46,1328.54,90.69,90.95,93.51,93.17,0.34,0.98,4.52
"Yann Danis","09-10","N.J","G",12,467.32,15.53,210.94,308.58,18.88,92.64,94.97,93.88,1.09,3.18,3.35
"Yann Danis","12-13","EDM","G",3,110.25,6.63,60.54,81.2,5.82,89.05,91.83,92.83,-1,-1.3,-0.81
"Yaroslav Askarov","22-23","NSH","G",1,57.78,3.8,34.71,50.55,3.58,89.05,92.48,92.92,-0.44,-0.48,-0.22
"Yaroslav Askarov","23-24","NSH","G",2,81.67,1.88,34.39,54.08,3.83,94.53,96.52,92.92,3.61,1.45,1.95
"Yaroslav Askarov","24-25","S.J","G",13,716.68,37.66,365.7,561.19,42.47,89.7,93.29,92.43,0.86,-1.06,4.81
"Zach Fucale","21-22","WSH","G",4,171.58,5.25,63.92,98.66,6.67,91.79,94.68,93.24,1.44,0.69,1.42
"Zach Sawchenko","21-22","S.J","G",7,268.97,15.27,156.53,218.84,15.11,90.24,93.02,93.1,-0.07,-0.74,-0.16
"Zane McIntyre","16-17","BOS","G",8,332.62,21.7,159.4,211.66,14.23,86.39,89.75,93.28,-3.53,-7.92,-7.47
