"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"102","Taylor Pyatt","NYR","L","48","1.2","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","0","1","2","50.00","1","1","1","50.00"
"115","George Parros","FLA","R","39","0.73333333333333","0","3","0.00","0","3","0.00","0","2","0.00","0","0","-","0","0.21","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","3","-","0","0","0","-"
"128","Scott Hartnell","PHI","L","32","1.3833333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.45","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","0","0","0","2","-","0","1","0","-"
"152","Colton Orr","TOR","R","44","0.18333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","0","-"
"191","Brandon Segal","NYR","R","1","0.96666666666667","0","2","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.14","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
"196","Keith Aucoin","NYI","C","41","1.9333333333333","0","4","0.00","0","2","0.00","0","0","-","0","0","-","0","0.16","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","2","2","0.00","0","0","2","0.00"
"198","Zenon Konopka","MIN","C","37","6","0","7","0.00","0","6","0.00","0","5","0.00","0","0","-","0","0.46","0.00","0","4","0.00","0","1","0.00","0","0","-","0","3","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","25","1","0.00","0","0","26","0.00"
"200","Matt Ellis","BUF","L","6","3.35","0","4","0.00","0","4","0.00","0","3","0.00","0","0","-","0","0.33","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","2","4","0.00","0","1","2","0.00"
"205","Derek Meech","WPG","D","16","2.55","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.12","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","3","-","0","2","0","-"
"231","Ben Eager","EDM","L","14","0.3","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.03","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
