"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Michael Kesselring","25-26","BUF","D",32,395.15,44.85,49.65,52.18,50.16,54.41,2.11,2.59,27.74,28.13,46.36,42.48,60.68,60.28,3.02,2.53,-0.48,-0.39,3.88,0.4,0.49,7.6,90.78
"Michael McCarron","25-26","MIN","C",6,54.2,33.44,57.51,51.63,49.49,48.66,1.18,2.36,26.59,19.65,37.7,35.32,52.78,53.87,2.2,2.32,-1.17,6.94,2.38,-1.08,-0.12,4.45,88
"Michael McCarron","25-26","NSH","C",59,685.4,29.9,45.81,46.85,46.71,50.07,1.25,2.93,23.33,27.6,36.65,41.57,49.57,56.56,2.63,2.62,-1.68,-4.26,-4.92,-6.98,0.01,5.35,89.39
"Michael Misa","25-26","S.J","C",28,299.57,58.13,46.59,45.81,47.36,48.17,3.87,2.79,28.85,33.08,40.48,47.88,57.57,63.99,3.05,3.28,1.08,-4.23,-7.4,-6.42,-0.23,13.42,91.57
"Michael Rasmussen","25-26","DET","C",61,656.72,38.32,44.89,46.05,45.25,48.09,1.36,2.19,21.76,26.72,35.62,41.73,51.2,61.96,2.5,2.7,-0.83,-4.95,-6.1,-10.76,-0.2,6.24,91.82
"Mika Zibanejad","25-26","NYR","C",66,964.55,48.55,49.74,48.97,48.79,51.55,2.37,2.51,26.87,27.15,41.08,42.81,56.55,59.36,2.69,2.53,-0.14,-0.28,-1.74,-2.81,0.16,8.82,90.75
"Mikael Backlund","25-26","CGY","C",67,892.68,51.36,51.4,50.73,51.32,47.41,2.14,2.02,28.92,27.34,42.43,41.21,60.55,57.43,2.54,2.81,0.11,1.58,1.22,3.12,-0.28,7.39,92.6
"Mikael Granlund","25-26","ANA","C",43,546.18,39.89,50.04,50.04,48.06,51.81,2.18,3.29,31.14,31.09,46.89,46.82,61.09,66.02,3.25,3.02,-1.11,0.05,0.07,-4.93,0.23,7.01,89.42
"Mike Matheson","25-26","MTL","D",63,1180,51.36,50.01,48.41,47.56,47.85,2.84,2.69,27,26.99,40.39,43.04,55.69,61.39,2.73,2.97,0.15,0.01,-2.65,-5.71,-0.25,10.5,90.05
"Mike Reilly","25-26","CAR","D",33,451.22,63.37,57.04,59.95,61.37,59.89,2.94,1.7,31.27,23.55,51.11,34.15,72.21,45.45,3.63,2.43,1.24,7.72,16.96,26.76,1.2,9.41,92.77
"Mikey Anderson","25-26","L.A","D",65,1120.23,50.29,47.97,49.05,49.92,51.08,2.15,2.13,25.09,27.21,39.89,41.44,55.97,56.14,2.66,2.55,0.02,-2.12,-1.54,-0.17,0.11,8.58,92.18
"Mikhail Sergachev","25-26","UTA","D",64,1091.6,49.24,52.15,52.08,53.02,50.04,2.64,2.72,29.01,26.62,43.22,39.77,61.98,54.92,2.93,2.92,-0.08,2.39,3.45,7.06,0,9.11,89.76
"Mikko Rantanen","25-26","DAL","R",54,803,58.15,47.47,46.51,45.38,50.07,3.09,2.23,25.44,28.16,36.03,41.43,51.09,61.49,2.75,2.75,0.87,-2.72,-5.4,-10.39,0.01,12.16,92.09
"Miles Wood","25-26","CBJ","L",44,486.07,41.34,47,46.22,47.77,49.13,2.15,3.05,26.15,29.49,40.95,47.64,58.5,63.96,2.74,2.84,-0.9,-3.34,-6.69,-5.46,-0.1,8.22,89.65
"Miro Heiskanen","25-26","DAL","D",65,1143.03,58.37,53.05,52.34,51.2,55.44,2.95,2.11,25.81,22.85,38.43,34.99,52.57,50.12,2.9,2.33,0.85,2.97,3.44,2.46,0.57,11.45,90.78
"Mitch Marner","25-26","VGK","R",66,898.82,62.04,57.42,54.66,53.3,55.35,3.43,2.1,29.07,21.56,43.25,35.88,59.89,52.47,3.02,2.43,1.33,7.51,7.38,7.42,0.58,11.79,90.27
"Mitchell Chaffee","25-26","T.B","R",7,57.25,0,47.52,50.33,50.63,57.69,0,0,25.07,27.69,42.19,41.64,57.92,56.48,3.3,2.42,0,-2.62,0.56,1.45,0.88,0,100
"Morgan Barron","25-26","WPG","C",57,598.77,58.66,48.1,48.58,47.71,47.61,2.3,1.62,23.96,25.85,38.51,40.76,51.67,56.63,2.56,2.82,0.68,-1.89,-2.25,-4.96,-0.26,9.6,93.73
"Morgan Frost","25-26","CGY","C",67,792.67,46.9,51.27,49.32,49.75,48.12,2.4,2.72,27.67,26.3,40.78,41.9,57.09,57.66,2.63,2.84,-0.32,1.37,-1.13,-0.56,-0.21,8.68,89.66
"Morgan Geekie","25-26","BOS","C",66,881.23,50.67,47.69,47.62,48.41,44.47,2.46,2.39,24.8,27.2,38.63,42.49,56.08,59.76,2.35,2.94,0.06,-2.41,-3.86,-3.68,-0.59,9.92,91.2
"Morgan Rielly","25-26","TOR","D",65,1113.07,45.75,45.36,47.08,46.88,49.11,3.15,3.73,28.37,34.16,43.97,49.42,58.13,65.86,2.96,3.07,-0.58,-5.8,-5.45,-7.73,-0.11,11.09,89.08
"Moritz Seider","25-26","DET","D",68,1308.27,57.03,56.12,55.69,53.2,57.51,2.68,2.02,29.83,23.32,44.97,35.78,60.54,53.25,3.13,2.31,0.66,6.51,9.19,7.29,0.82,8.98,91.34
"Nate Danielson","25-26","DET","C",28,262.97,32.77,47.16,48.27,47.39,51.1,1.36,2.8,25.81,28.92,39.86,42.72,54.74,60.76,2.97,2.84,-1.44,-3.11,-2.86,-6.02,0.13,5.29,90.32
"Nate Schmidt","25-26","UTA","D",68,1137.82,62.73,55.47,55.65,55.65,55.75,3.28,1.95,28.26,22.68,43.59,34.74,60.3,48.06,3.12,2.47,1.33,5.58,8.85,12.24,0.64,11.61,91.41
"Nathan Bastian","25-26","DAL","R",31,269.75,59.09,50.8,51.98,50.97,52.42,2.52,1.75,23.18,22.45,36.2,33.44,49.23,47.36,2.53,2.3,0.78,0.73,2.76,1.87,0.23,10.88,92.22
"Nathan MacKinnon","25-26","COL","C",65,1062.73,74.03,58.08,56.64,58.54,56.85,4.82,1.69,37.18,26.83,54.93,42.05,78.33,55.47,3.72,2.82,3.13,10.35,12.89,22.85,0.9,12.97,93.69
"Nathan Walker","25-26","STL","L",41,440.7,41.75,47.54,46.2,44.31,49.51,2.46,3.43,21.31,23.51,32.14,37.42,43.97,55.26,2.32,2.37,-0.97,-2.2,-5.28,-11.29,-0.05,11.55,85.39
"Nazem Kadri","25-26","CGY","C",61,900.88,41.49,50.67,50.62,51.83,50.79,2.13,3.01,29.91,29.13,44.56,43.47,64.08,59.56,3.09,3,-0.88,0.79,1.09,4.52,0.1,7.13,89.68
"Nazem Kadri","25-26","COL","C",5,78.62,62.68,53.19,48.29,51.74,51.7,3.88,2.31,29.11,25.63,43.29,46.35,57.66,53.79,3.01,2.82,1.57,3.49,-3.07,3.88,0.2,13.34,90.98
"Neal Pionk","25-26","WPG","D",40,689.3,53.27,47.05,48.44,48.83,43.85,2.18,1.91,25.66,28.87,40.89,43.52,57.42,60.18,2.53,3.25,0.27,-3.22,-2.63,-2.76,-0.71,8.5,93.37
"Nic Dowd","25-26","VGK","C",5,54.1,49.5,64.89,58.7,58.4,67.65,1.1,1.12,26.93,14.57,39.83,28.03,48.62,34.64,3.06,1.46,-0.02,12.35,11.8,13.99,1.6,4.08,92.31
"Nic Dowd","25-26","WSH","C",55,682.8,42.04,47.35,48.15,47.56,46.1,1.51,2.08,23.71,26.36,38.05,40.98,54.16,59.72,2.37,2.77,-0.57,-2.65,-2.93,-5.56,-0.4,6.37,92.1
"Nicholas Robertson","25-26","TOR","L",64,713,47.09,45.61,45.75,44.53,46.72,2.79,3.14,26.23,31.28,40.64,48.19,53.44,66.55,2.63,3,-0.35,-5.05,-7.55,-13.12,-0.37,10.65,89.96
"Nick Bjugstad","25-26","N.J","C",11,95.73,30.92,46.35,44.44,44.66,39.81,1.18,2.63,23.17,26.83,38.09,47.62,47.01,58.25,2.12,3.2,-1.45,-3.65,-9.53,-11.24,-1.08,5.09,90.19
"Nick Bjugstad","25-26","STL","C",35,366.17,35.99,48.55,47.12,45.15,47.56,1.32,2.34,23.12,24.5,35.94,40.33,48.64,59.08,2.38,2.62,-1.03,-1.38,-4.4,-10.45,-0.24,5.7,90.44
"Nick Blankenburg","25-26","NSH","D",49,682.32,41.15,48.37,50.7,52.01,55.38,1.99,2.84,27.06,28.89,43.91,42.69,61.62,56.87,3.29,2.65,-0.86,-1.82,1.22,4.75,0.64,7.35,90.16
"Nick Cousins","25-26","OTT","C",65,719.53,61.01,56.81,54.62,53.85,58.17,2.45,1.57,26.69,20.29,40.87,33.96,57.05,48.89,2.85,2.05,0.89,6.4,6.91,8.16,0.8,9.2,92.27
"Nick Desimone","25-26","UTA","D",37,520.8,56.59,53.14,54.53,54.64,55.47,2.44,1.87,25.81,22.76,41.98,35.01,61.04,50.68,2.72,2.18,0.57,3.05,6.97,10.36,0.54,9.46,91.77
"Nick Foligno","25-26","CHI","L",37,377,51.52,42.42,44.26,44.63,38.67,2.22,2.08,18.12,24.6,30.93,38.95,44.04,54.65,1.75,2.77,0.13,-6.48,-8.02,-10.61,-1.02,12.23,91.52
"Nick Jensen","25-26","OTT","D",61,957.28,48.74,50.72,49.04,49.16,51.66,3.19,3.35,26.37,25.63,39.06,40.58,54.17,56.01,2.79,2.61,-0.16,0.74,-1.52,-1.84,0.18,12.08,86.93
"Nick Lardis","25-26","CHI","L",25,249.62,30.66,46.58,47.17,47.84,41.03,1.43,3.24,20.47,23.47,34.02,38.1,47.62,51.92,1.76,2.54,-1.81,-3,-4.08,-4.3,-0.77,7,86.2
"Nick Leddy","25-26","S.J","D",19,296.65,34.32,38.98,36.44,38.45,38.39,2.01,3.86,20.27,31.74,28.75,50.14,41.3,66.11,2.07,3.33,-1.84,-11.46,-21.39,-24.82,-1.25,9.94,87.85
"Nick Paul","25-26","T.B","L",35,401.23,37.74,48.5,49.51,51.8,46.92,1.96,3.24,24.81,26.35,36.87,37.6,54.97,51.16,2.35,2.65,-1.27,-1.54,-0.73,3.81,-0.31,7.91,87.72
"Nick Perbix","25-26","NSH","D",63,1001.07,42.19,45.32,45.26,47.59,46.99,2.28,3.13,25.6,30.89,38.15,46.14,54.75,60.3,2.65,2.98,-0.85,-5.29,-7.99,-5.55,-0.34,8.92,89.87
