"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Noah Ostlund","25-26","BUF","C",55,662.48,59.74,53.97,53.45,52.63,51.7,2.93,1.98,28.21,24.06,42.37,36.9,57.47,51.73,2.63,2.46,0.96,4.15,5.47,5.74,0.17,10.39,91.79
"Noah Philp","25-26","EDM","C",15,140.73,22.27,43.82,42.49,42.03,32.4,1.24,4.31,20.74,26.58,28.5,38.58,39.62,54.65,1.48,3.09,-3.08,-5.85,-10.08,-15.03,-1.61,5.96,83.77
"Noel Acciari","25-26","PIT","C",53,554.9,58.18,51.11,51.93,51.83,54.07,2.85,2.05,25.18,24.09,40.6,37.58,58.74,54.59,2.78,2.36,0.8,1.09,3.02,4.15,0.42,11.31,91.5
"Olen Zellweger","25-26","ANA","D",66,997.13,53.52,50.44,52.92,52.57,52.09,3,2.6,29.49,28.97,49.17,43.74,67.76,61.14,3.2,2.94,0.39,0.52,5.43,6.62,0.26,10.17,91.01
"Oliver Bjorkstrand","25-26","T.B","R",65,675.78,43.13,48.86,50.13,51.61,50.34,1.78,2.34,24.15,25.28,37.61,37.41,54.95,51.52,2.5,2.46,-0.57,-1.12,0.2,3.43,0.03,7.36,90.72
"Oliver Ekman-Larsson","25-26","TOR","D",65,1158.62,47.74,45.84,46.66,46.51,48.35,3.13,3.42,26.55,31.36,40.79,46.63,54.6,62.79,2.69,2.87,-0.3,-4.81,-5.83,-8.19,-0.18,11.78,89.08
"Oliver Kapanen","25-26","MTL","C",66,767.7,51.71,43.64,45.76,44.03,44.6,3.45,3.22,23.46,30.31,37.81,44.81,50.13,63.74,2.63,3.27,0.23,-6.84,-7.01,-13.6,-0.64,14.69,89.38
"Oliver Moore","25-26","CHI","C",51,560.58,38.55,44.58,46.44,46.21,46.96,2.16,3.44,23.28,28.94,38.5,44.4,50.78,59.11,2.34,2.65,-1.28,-5.67,-5.9,-8.33,-0.3,9.27,88.12
"Olle Lycksell","25-26","OTT","R",7,69.05,37.07,42.07,39.95,41.33,42.67,2.55,4.34,22.25,30.64,27.92,41.96,44.92,63.76,1.69,2.28,-1.78,-8.39,-14.04,-18.85,-0.58,11.48,85.85
"Olli Maatta","25-26","CGY","D",6,115.43,42.18,52.08,48.48,48.18,51.41,2.61,3.58,27.37,25.19,36.98,39.3,50.62,54.44,2.84,2.68,-0.97,2.18,-2.32,-3.82,0.16,9.53,85.8
"Olli Maatta","25-26","UTA","D",22,265.33,35.37,54.72,54.33,54.45,51.86,1.61,2.94,24.34,20.14,38.92,32.71,56.44,47.21,2.58,2.4,-1.33,4.19,6.21,9.22,0.19,6.61,85.42
"Ondrej Palat","25-26","N.J","L",51,582.28,45.04,51.18,50.73,49.96,47.75,2.42,2.95,27.64,26.36,40.95,39.78,56.48,56.56,2.38,2.61,-0.53,1.27,1.18,-0.08,-0.22,8.75,88.8
"Ondrej Palat","25-26","NYI","L",15,190.62,47.9,51.45,48.42,45.78,45.99,2.83,3.08,28.4,26.81,39.1,41.65,52.23,61.86,2.62,3.08,-0.25,1.6,-2.55,-9.63,-0.46,9.97,88.5
"Oskar Back","25-26","DAL","C",57,561.13,55.72,57.13,53.58,52.83,53.51,2.15,1.71,23.5,17.63,33.78,29.26,47.81,42.68,2.57,2.23,0.44,5.86,4.52,5.13,0.34,9.16,90.3
"Oskar Sundqvist","25-26","STL","C",49,498.15,34.09,40.56,39.91,38.57,39.47,2.03,3.92,18.29,26.81,29.01,43.68,40.24,64.09,1.75,2.68,-1.89,-8.52,-14.68,-23.86,-0.93,11.09,85.37
"Otto Stenberg","25-26","STL","C",21,254.6,59.1,39.69,41.65,42.86,39.24,2.1,1.46,19.67,29.9,33.19,46.49,46.85,62.45,1.98,3.07,0.65,-10.22,-13.31,-15.6,-1.09,10.7,95.13
"Owen Beck","25-26","MTL","C",15,137.73,83.52,53.71,55.25,53.08,53.52,2.23,0.44,25.47,21.96,38.93,31.54,54.63,48.28,2.61,2.27,1.79,3.52,7.39,6.35,0.34,8.76,98
"Owen Power","25-26","BUF","D",66,1179.4,50.42,49.71,51.19,51.62,50.1,2.6,2.56,28.26,28.6,44.64,42.56,60.45,56.65,3.01,3,0.04,-0.33,2.07,3.8,0.01,9.2,91.06
"Owen Tippett","25-26","PHI","R",66,860.32,45.21,51.32,50.52,49.31,53.33,2.37,2.87,25.65,24.33,40.07,39.25,53.85,55.35,2.77,2.42,-0.5,1.32,0.82,-1.5,0.35,9.22,88.22
"Ozzy Wiesblatt","25-26","NSH","C",35,335.03,42.82,45.85,45.98,48.14,49.36,2.71,3.62,22.56,26.64,34.19,40.17,49.7,53.53,2.61,2.67,-0.91,-4.08,-5.98,-3.83,-0.07,12,86.43
"Parker Ford","25-26","WPG","C",11,95.63,44.89,44.15,44,42.4,32.43,1.96,2.4,20.44,25.86,33.23,42.31,46.72,63.46,1.73,3.6,-0.45,-5.42,-9.07,-16.75,-1.87,9.58,90.71
"Parker Kelly","25-26","COL","C",66,681.55,56.49,59.37,56.62,57.74,55.61,2.51,1.94,29.59,20.25,44.56,34.15,67.75,49.6,2.73,2.18,0.58,9.34,10.41,18.16,0.55,8.5,90.43
"Parker Wotherspoon","25-26","PIT","D",67,1147.52,54.47,53.22,52.08,52.79,50.53,2.77,2.32,27.81,24.45,42.51,39.12,59.55,53.25,2.94,2.88,0.46,3.36,3.39,6.3,0.06,9.97,90.52
"Patrick Kane","25-26","DET","R",53,711.68,49.97,53.28,52.75,49.8,54.15,2.74,2.74,32.44,28.44,46.82,41.93,60.24,60.72,3.17,2.69,0,4,4.89,-0.49,0.49,8.43,90.37
"Paul Cotter","25-26","N.J","L",64,683.7,27.51,42.76,41.7,42.21,40.63,1.11,2.93,21.49,28.77,32.65,45.66,46.16,63.21,2.03,2.97,-1.82,-7.28,-13,-17.04,-0.94,5.18,89.8
"Pavel Buchnevich","25-26","STL","L",67,874.9,45.45,48.05,48.38,49.04,49.44,2.41,2.89,26.58,28.74,40.45,43.16,55.41,57.57,2.91,2.98,-0.48,-2.15,-2.71,-2.17,-0.07,9.05,89.95
"Pavel Dorofeyev","25-26","VGK","R",67,889.25,55.27,55.63,53.75,54.54,55.36,2.62,2.12,26.99,21.52,41.3,35.53,60.39,50.34,2.74,2.21,0.5,5.47,5.76,10.06,0.53,9.71,90.15
"Pavel Mintyukov","25-26","ANA","D",62,912.82,45.81,48.69,49.55,48.8,48.43,2.35,2.77,26.73,28.17,44.07,44.88,59.71,62.65,3.06,3.26,-0.43,-1.44,-0.81,-2.93,-0.2,8.77,90.15
"Pavel Zacha","25-26","BOS","C",64,773.23,53.86,48.37,49.12,48.47,44.64,3.14,2.69,26.21,27.98,40.94,42.41,54.91,58.36,2.43,3.01,0.45,-1.77,-1.47,-3.46,-0.58,11.99,90.37
"Pavol Regenda","25-26","S.J","L",19,214.82,52.05,49.93,46.84,49.15,47.11,2.8,2.58,26.96,27.03,37,42,55.15,57.07,2.83,3.17,0.22,-0.08,-4.99,-1.92,-0.35,10.39,90.45
"Peyton Krebs","25-26","BUF","C",67,865.73,49.55,48.79,47.27,48.08,48.41,2.58,2.62,25.9,27.18,39.65,44.23,55.06,59.46,2.62,2.79,-0.05,-1.29,-4.59,-4.4,-0.17,9.95,90.35
"Philip Broberg","25-26","STL","D",66,1236.18,49.35,45.81,46.77,45.44,50.4,2.36,2.42,23.8,28.15,36.31,41.34,48.67,58.43,2.7,2.65,-0.06,-4.35,-5.02,-9.76,0.04,9.92,91.39
"Philip Tomasino","25-26","PIT","R",9,106.33,26.5,40.56,44.63,47.21,42.79,0.6,1.66,18.96,27.79,31.67,39.29,52.77,59.01,1.92,2.57,-1.06,-8.83,-7.62,-6.25,-0.65,3.15,94.03
"Philipp Kurashev","25-26","S.J","C",41,522.63,49.68,45.89,44.38,46.57,44.8,2.81,2.85,23.23,27.4,33.56,42.06,50.63,58.1,2.25,2.77,-0.04,-4.16,-8.5,-7.46,-0.52,12.1,89.6
"Philippe Myers","25-26","TOR","D",33,429.43,39.85,42.84,44.17,42.77,44.01,2.51,3.79,23.58,31.46,37.39,47.27,49.04,65.61,2.19,2.78,-1.28,-7.88,-9.88,-16.57,-0.6,10.65,87.95
"Phillip Danault","25-26","L.A","C",30,399.1,57.66,51.87,50.05,51.26,48.5,1.81,1.33,25.86,24,39.99,39.92,59.59,56.65,2.36,2.5,0.48,1.86,0.07,2.93,-0.15,7,94.46
"Phillip Danault","25-26","MTL","C",30,355.27,41.03,49.99,49.3,49.85,43.7,2.22,3.19,24.72,24.74,36.99,38.05,55.67,56.02,2.5,3.22,-0.97,-0.01,-1.06,-0.34,-0.72,8.97,87.12
"Pierre-Luc Dubois","25-26","WSH","C/L",16,208.93,52.31,54.48,54.4,51.25,54.74,2.54,2.31,30.93,25.85,46.22,38.74,61.46,58.46,3.33,2.75,0.22,5.09,7.48,3,0.58,8.21,91.04
"Pierre-Olivier Joseph","25-26","VAN","D",24,302.25,29.95,43.04,47.06,46.52,41.58,1.77,4.15,22.62,29.94,39.62,44.57,53.33,61.3,2.08,2.93,-2.38,-7.32,-4.94,-7.97,-0.84,7.85,86.14
"Pius Suter","25-26","STL","C",50,649.85,51.6,51.86,50.36,49.45,51.71,2.19,2.05,28.66,26.6,42.75,42.15,55.29,56.51,3,2.8,0.14,2.06,0.6,-1.22,0.2,7.63,92.29
"Pontus Holmberg","25-26","T.B","R",58,756.03,52.47,52.49,54,55.09,57.06,2.17,1.97,25.09,22.71,40.56,34.54,56.99,46.46,2.84,2.13,0.2,2.38,6.01,10.52,0.7,8.66,91.33
"Quinn Hughes","25-26","MIN","D",36,806.18,56.63,51.44,53.5,53.71,55.22,3.77,2.89,30.28,28.59,46.97,40.82,65.35,56.31,3.15,2.55,0.88,1.69,6.15,9.04,0.6,12.47,89.88
"Quinn Hughes","25-26","VAN","D",26,525.65,44.73,50.59,52.1,52.72,50.24,2.44,3.02,28.9,28.23,48.81,44.87,66.27,59.43,3.33,3.3,-0.58,0.67,3.94,6.84,0.03,8.45,89.3
"Quinton Byfield","25-26","L.A","R",64,911.22,43.18,50.82,52.45,52.43,53.07,1.99,2.62,27.42,26.54,44.7,40.53,62.6,56.81,2.89,2.55,-0.63,0.88,4.17,5.79,0.33,7.26,90.13
"Radek Faksa","25-26","DAL","C",56,522.1,45.4,44.9,45.56,45.94,44.25,1.41,1.7,17.49,21.46,26.57,31.75,40.71,47.91,1.82,2.29,-0.29,-3.97,-5.18,-7.19,-0.47,8.07,92.09
"Radko Gudas","25-26","ANA","D",52,763.2,47.88,50.54,51.73,51.67,52.69,2.52,2.74,28.57,27.96,47.78,44.59,66.54,62.23,3.27,2.94,-0.22,0.61,3.19,4.31,0.33,8.8,90.21
"Rasmus Andersson","25-26","CGY","D",48,832.45,51.52,48.8,48.04,48.36,47.1,2.88,2.71,28.34,29.73,41.83,45.25,58.12,62.05,2.66,2.99,0.17,-1.39,-3.42,-3.93,-0.33,10.15,90.9
"Rasmus Andersson","25-26","VGK","D",18,322.65,39.29,51.12,48.84,48.91,48.49,2.4,3.71,25.96,24.82,39.27,41.15,54.98,57.43,2.81,2.98,-1.31,1.13,-1.87,-2.45,-0.17,9.26,85.05
"Rasmus Dahlin","25-26","BUF","D",63,1189.6,57.74,54.86,53.01,52.66,53.78,3.14,2.3,30.95,25.46,45.34,40.19,61.32,55.12,3.13,2.69,0.84,5.49,5.15,6.2,0.44,10.15,90.97
"Rasmus Ristolainen","25-26","PHI","D",29,506.35,35.93,46.8,45.68,45.47,45.52,1.19,2.12,20.37,23.16,32.96,39.19,45.52,54.6,2.09,2.51,-0.93,-2.79,-6.23,-9.08,-0.41,5.84,90.84
"Rasmus Sandin","25-26","WSH","D",61,974.53,51.85,49.42,49.86,48.44,51.85,2.5,2.32,25.41,26.01,39.73,39.95,55.26,58.82,2.8,2.6,0.18,-0.6,-0.23,-3.56,0.2,9.84,91.08
"Reid Schaefer","25-26","NSH","L",31,307.2,33.53,45.11,46.06,45.61,46.96,1.56,3.1,23.05,28.05,35.81,41.93,50.33,60,2.46,2.78,-1.54,-5,-6.12,-9.68,-0.32,6.78,88.96
"Reilly Smith","25-26","VGK","R",60,725.35,39.81,51.45,48.69,48.89,46.96,1.83,2.77,26,24.53,39.01,41.11,55.31,57.82,2.55,2.89,-0.94,1.47,-2.1,-2.51,-0.33,7.05,88.7
"Rickard Rakell","25-26","PIT","R",46,632.35,55.28,49.49,49.14,49.15,49.1,2.7,2.18,26.19,26.74,41.16,42.61,57.8,59.8,2.9,3,0.52,-0.54,-1.45,-2,-0.11,10.31,91.83
"Ridly Greig","25-26","OTT","C",61,786.1,53.94,53.11,52.99,52.1,51.25,3,2.56,27.23,24.04,41,36.37,56.42,51.86,2.76,2.63,0.44,3.19,4.62,4.56,0.13,11.02,89.34
"Robby Fabbri","25-26","STL","C",15,179.35,37.39,47.01,45.58,43.4,42.32,1.64,2.74,21.69,24.45,31.86,38.04,43.4,56.61,1.78,2.43,-1.1,-2.76,-6.18,-13.21,-0.65,7.54,88.79
"Robert Thomas","25-26","STL","C",50,694.02,58.71,49.98,50.31,51.67,52.93,3.21,2.26,26.01,26.04,39.2,38.72,55.82,52.21,2.91,2.59,0.95,-0.03,0.48,3.61,0.32,12.35,91.32
"Rodrigo Abols","25-26","PHI","C",42,408.12,45.98,45.76,43.48,42.97,39.32,1.6,1.88,18.83,22.32,30.17,39.21,43.79,58.12,1.72,2.66,-0.28,-3.49,-9.04,-14.33,-0.94,8.52,91.56
"Roman Josi","25-26","NSH","D",54,1007,44.52,48.9,49.67,50.55,49.82,2.61,3.25,28,29.26,43.06,43.62,59.87,58.58,2.83,2.85,-0.64,-1.26,-0.56,1.3,-0.02,9.31,88.9
"Roope Hintz","25-26","DAL","C",53,668.88,66.27,53.54,52.38,51.19,56.46,3.27,1.66,27.23,23.63,40.64,36.94,56.18,53.57,2.82,2.18,1.6,3.6,3.69,2.62,0.65,12,92.96
"Ross Colton","25-26","COL","C",60,703.6,59.84,62.58,61.06,60.88,59.79,3.38,2.27,38.34,22.92,57.79,36.86,79.4,51.03,3.7,2.49,1.11,15.41,20.93,28.37,1.21,8.82,90.1
"Ross Johnston","25-26","ANA","L",62,596.72,51.4,45.34,47.54,47.77,47.13,2.68,2.54,21.97,26.49,36.51,40.29,52.76,57.68,2.51,2.82,0.15,-4.52,-3.78,-4.92,-0.31,12.22,90.42
"Rutger McGroarty","25-26","PIT","R",20,225.33,47.09,58.95,58.51,57.09,53.33,2.61,2.93,31.61,22.02,47.9,33.96,64.63,48.58,3.29,2.88,-0.32,9.6,13.94,16.05,0.41,8.25,86.7
"Ryan Donato","25-26","CHI","C",66,856.37,45.55,45.25,46.75,47.33,43.71,2.12,2.53,23.77,28.76,38.52,43.88,51.85,57.7,2.23,2.87,-0.41,-4.99,-5.35,-5.84,-0.64,8.92,91.19
"Ryan Graves","25-26","PIT","D",19,281,44.23,55.78,55.89,53.77,57.4,1.54,1.94,26.32,20.87,41.91,33.07,60.59,52.1,2.74,2.03,-0.4,5.46,8.83,8.49,0.71,5.84,90.71
"Ryan Greene","25-26","CHI","C",65,848.85,44.95,43,42.47,43,43.16,2.53,3.1,25.54,33.86,37.87,51.3,50.79,67.33,2.63,3.46,-0.57,-8.32,-13.43,-16.54,-0.83,9.91,90.85
"Ryan Hartman","25-26","MIN","R",64,922.07,49.57,49.03,50.06,49.69,52.74,1.96,2,28.18,29.3,44.55,44.44,61.96,62.75,3.07,2.75,-0.03,-1.11,0.11,-0.79,0.32,6.96,93.19
"Ryan Leonard","25-26","WSH","R",61,708.5,59.53,48.53,47.86,46.22,46.02,2.72,1.85,25.12,26.64,39.76,43.31,54.26,63.12,2.75,3.22,0.87,-1.52,-3.55,-8.87,-0.48,10.83,93.06
"Ryan Lindgren","25-26","SEA","D",62,955.23,52.24,44.1,44.67,45.14,41.02,1.99,1.82,22.71,28.78,36.54,45.27,52.06,63.26,2.25,3.24,0.17,-6.07,-8.72,-11.2,-0.99,8.76,93.68
"Ryan Lomberg","25-26","CGY","L",56,502.07,44.85,47.94,48.97,47.34,43.05,1.64,2.02,23.41,25.42,38.98,40.62,56.13,62.45,2.2,2.9,-0.38,-2.01,-1.64,-6.32,-0.71,7.02,92.05
"Ryan McDonagh","25-26","T.B","D",32,482.68,51.97,48.45,50.49,49.33,56.21,2.86,2.64,24.03,25.57,39.91,39.13,54.64,56.12,3.11,2.42,0.22,-1.53,0.78,-1.48,0.69,11.88,89.68
"Ryan McLeod","25-26","BUF","C",67,848.77,57.28,50.63,51.44,50.79,51.6,3.8,2.83,29.58,28.83,46.11,43.52,59.18,57.34,3.31,3.1,0.97,0.74,2.59,1.84,0.21,12.85,90.17
"Ryan Nugent-Hopkins","25-26","EDM","C",58,763.27,45.26,51.4,49.48,50.27,55.74,2.63,3.18,29.45,27.84,43.51,44.43,59.63,58.98,3.6,2.86,-0.55,1.61,-0.92,0.65,0.74,8.93,88.58
"Ryan O'Reilly","25-26","NSH","C",65,921.58,55.54,49.3,50.51,52.49,51.78,3.04,2.44,27.59,28.38,43.31,42.43,60.43,54.7,3.04,2.83,0.61,-0.78,0.88,5.73,0.21,11.03,91.41
"Ryan Poehling","25-26","ANA","C",60,695.13,55.24,47.46,48.64,48.21,48.35,3.2,2.59,25.44,28.16,41.75,44.09,58.31,62.63,2.93,3.13,0.61,-2.72,-2.34,-4.32,-0.2,12.57,90.8
"Ryan Pulock","25-26","NYI","D",64,1092.63,57.45,48.97,48.19,47.06,47.47,2.57,1.9,26.09,27.19,40.13,43.14,54.49,61.29,2.74,3.03,0.67,-1.1,-3.01,-6.8,-0.29,9.84,93.01
"Ryan Reaves","25-26","S.J","R",49,387.43,30.02,40.33,42.08,43.25,46.51,1.43,3.34,20.03,29.63,30.17,41.52,44.3,58.12,2.22,2.55,-1.9,-9.6,-11.35,-13.82,-0.33,7.15,88.74
"Ryan Shea","25-26","PIT","D",67,1073.03,57.59,50.06,51,50.35,51.76,3.5,2.58,27.85,27.79,44.55,42.8,60.12,59.27,3.19,2.97,0.92,0.06,1.75,0.85,0.22,12.58,90.71
"Ryan Strome","25-26","ANA","C",33,350.5,42.57,54.38,54.22,53.99,57.09,2.19,2.96,29.36,24.63,47.5,40.1,65.49,55.82,3.15,2.37,-0.77,4.73,7.4,9.67,0.78,7.46,88
"Ryan Strome","25-26","CGY","C",6,84.17,42.79,45.21,43.28,46.4,47.87,3.64,4.86,26.55,32.18,36.96,48.44,52.83,61.03,3.05,3.32,-1.23,-5.63,-11.48,-8.2,-0.27,13.69,84.89
"Ryan Ufko","25-26","NSH","D",5,57.83,44.18,44.3,50.35,54.16,40.87,3.23,4.08,24.68,31.03,40.55,39.98,56.23,47.6,2.23,3.23,-0.85,-6.35,0.57,8.63,-1,13.07,86.86
"Ryan Winterton","25-26","SEA","C",61,654.68,51.17,44.43,44.01,44.04,46.91,2.52,2.4,22.45,28.08,35.36,44.99,48.05,61.06,2.6,2.94,0.12,-5.63,-9.63,-13.01,-0.34,11.21,91.45
"Ryker Evans","25-26","SEA","D",51,774.92,55.8,45.12,44.82,44.19,47.3,3.14,2.49,23.63,28.74,35.87,44.16,48.64,61.44,2.56,2.85,0.65,-5.12,-8.29,-12.79,-0.29,13.28,91.35
"Sam Bennett","25-26","FLA","C",65,853.85,53.1,51.05,51.18,52.5,50.67,3.2,2.83,29.03,27.84,45.71,43.61,63,57,3.06,2.98,0.37,1.2,2.11,5.99,0.08,11.02,89.85
"Sam Carrick","25-26","NYR","C",60,559.27,43.01,43.77,45.61,46.28,49.27,1.64,2.17,20.58,26.44,34.47,41.1,51.27,59.51,2.4,2.47,-0.53,-5.86,-6.63,-8.24,-0.07,7.97,91.78
"Sam Colangelo","25-26","ANA","R",9,85.43,30.56,35.01,38.59,44.56,34.31,1.5,3.4,20.02,37.16,32.28,51.38,52.36,65.14,1.64,3.15,-1.9,-17.14,-19.1,-12.78,-1.5,7.47,90.85
"Sam Dickinson","25-26","S.J","D",55,801.07,49.97,45.92,44.1,44.73,44.83,2.82,2.83,24.04,28.32,34.98,44.33,50.23,62.07,2.53,3.12,0,-4.28,-9.35,-11.84,-0.58,11.75,90.02
"Sam Lafferty","25-26","CHI","C",22,187.37,52.57,46.95,45.02,47.84,45.16,2.16,1.95,19.37,21.88,28.19,34.42,42.3,46.12,1.54,1.87,0.21,-2.52,-6.23,-3.81,-0.33,11.14,91.1
"Sam Malinski","25-26","COL","D",66,1036.02,69.57,59.29,58.01,58.6,58.41,3.32,1.45,33.44,22.97,51.68,37.41,73.3,51.78,3.35,2.38,1.87,10.48,14.27,21.52,0.96,9.92,93.68
"Sam Reinhart","25-26","FLA","C",64,874.8,43.88,49.48,50.17,50.46,50.98,1.98,2.54,24.99,25.51,40.32,40.05,55.46,54.45,2.69,2.59,-0.55,-0.52,0.27,1.01,0.1,7.94,90.05
"Sam Rinzel","25-26","CHI","D",38,552.13,51.37,42.75,45.08,45.27,43.15,2.84,2.69,23.27,31.17,39.06,47.57,52.64,63.65,2.27,2.99,0.15,-7.9,-8.52,-11.01,-0.72,12.19,91.38
"Sam Steel","25-26","DAL","C",67,871.15,56.69,48.61,48.29,47.53,51.55,2.53,1.93,23.02,24.33,35.31,37.81,49.33,54.44,2.6,2.45,0.6,-1.32,-2.5,-5.12,0.16,10.98,92.06
"Sammy Blais","25-26","MTL","L",13,110.4,84.51,51.55,54.29,51.94,53.77,2.79,0.51,26.82,25.21,38.41,32.34,51.26,47.43,3.1,2.66,2.28,1.61,6.07,3.82,0.43,10.4,97.97
"Sammy Blais","25-26","TOR","L",8,64.47,42.25,54.77,46.75,38.73,49.3,2.76,3.78,23.94,19.77,31.92,36.36,38.94,61.6,2.3,2.36,-1.01,4.17,-4.44,-22.66,-0.07,11.55,80.89
"Samuel Girard","25-26","COL","D",40,653.48,58.69,57.67,56.02,57.65,56.12,3.27,2.3,30.89,22.68,46.99,36.89,68.95,50.65,2.97,2.32,0.97,8.22,10.09,18.3,0.65,10.57,89.86
"Samuel Girard","25-26","PIT","D",7,114.22,38.84,52.74,48.2,49.78,53.3,0.99,1.55,28.89,25.89,41.88,45.01,57.32,57.82,3.22,2.82,-0.57,3,-3.13,-0.5,0.4,3.42,93.99
"Samuel Helenius","25-26","L.A","C",39,318.23,47.46,48.8,50.02,48.1,52.25,1.9,2.1,23.33,24.48,38.01,37.97,54.77,59.11,2.3,2.1,-0.2,-1.15,0.04,-4.34,0.2,8.14,91.41
"Samuel Honzek","25-26","CGY","L",18,193.55,46.63,58.67,58.16,56.48,61.65,2.45,2.8,30.91,21.78,44.65,32.13,60.66,46.75,2.91,1.81,-0.35,9.13,12.53,13.91,1.1,7.91,87.15
"Sandis Vilmanis","25-26","FLA","L",19,187.57,50.14,56.27,53.15,53.68,55.31,2.25,2.24,26.06,20.25,41.43,36.51,55.21,47.64,2.53,2.05,0.01,5.81,4.92,7.57,0.49,8.63,88.96
"Scott Laughton","25-26","L.A","C",6,74.33,74.27,51.66,53.14,54.05,57.72,2.47,0.86,25.97,24.3,46.48,40.98,66.73,56.73,2.87,2.1,1.61,1.67,5.5,10,0.77,9.51,96.48
"Scott Laughton","25-26","TOR","C",43,469.83,40.21,41.42,41.87,40.19,46.35,1.66,2.46,21.63,30.59,34.23,47.53,44.33,65.97,2.2,2.55,-0.81,-8.96,-13.3,-21.64,-0.35,7.66,91.94
"Scott Mayfield","25-26","NYI","D",65,966.28,41.3,47.26,46.94,45.17,45.75,1.75,2.49,23.41,26.13,35.95,40.65,48.78,59.2,2.46,2.92,-0.74,-2.72,-4.69,-10.42,-0.46,7.48,90.47
"Scott Morrow","25-26","NYR","D",29,403.97,42.51,48.37,47.56,49.11,48.84,1.75,2.37,26.12,27.88,40.62,44.79,59.06,61.21,2.93,3.07,-0.62,-1.76,-4.17,-2.15,-0.14,6.72,91.49
"Scott Sabourin","25-26","T.B","R",18,140.65,50.79,49.02,48.4,46.64,59.04,2.62,2.54,24.17,25.14,37.42,39.89,46.93,53.7,2.87,1.99,0.08,-0.97,-2.47,-6.77,0.88,10.84,89.9
"Sean Couturier","25-26","PHI","C",65,843.2,45.22,51.86,49.54,49.4,52.33,2.16,2.62,24.73,22.96,37.57,38.27,53.33,54.61,2.61,2.38,-0.46,1.78,-0.7,-1.29,0.23,8.73,88.61
"Sean Durzi","25-26","UTA","D",47,820.62,43.07,51.56,51.96,53.34,50.51,2.41,3.18,28.39,26.67,44.05,40.72,64.39,56.33,2.95,2.89,-0.77,1.72,3.33,8.06,0.06,8.48,88.07
"Sean Kuraly","25-26","BOS","C",67,696.05,46.8,51.35,50.24,49.78,46.24,2.26,2.57,27.4,25.96,42.49,42.08,60.79,61.34,2.63,3.05,-0.31,1.44,0.41,-0.54,-0.43,8.27,90.08
"Sean Monahan","25-26","CBJ","C",62,784.32,53.96,54.7,52.69,53.34,53.42,2.91,2.49,33.45,27.7,48.46,43.51,69.42,60.72,3.3,2.88,0.43,5.75,4.95,8.7,0.42,8.71,91.02
"Sean Walker","25-26","CAR","D",66,1190.32,48.69,59.64,60.67,62.07,57.08,2.49,2.62,32.06,21.69,50.8,32.93,72.58,44.34,3.26,2.46,-0.13,10.37,17.87,28.23,0.81,7.76,87.92
"Sebastian Aho","25-26","CAR","C",66,886.97,56.92,59.18,60.33,61.85,56.45,3.4,2.57,35.54,24.51,55.27,36.35,74.57,45.99,3.55,2.74,0.83,11.03,18.92,28.58,0.81,9.56,89.51
"Seth Jarvis","25-26","CAR","C",58,753.68,54.61,59.7,60.4,61.61,55.38,2.96,2.46,34.36,23.19,53.41,35.01,72.35,45.09,3.26,2.63,0.5,11.17,18.39,27.26,0.63,8.61,89.4
"Seth Jones","25-26","FLA","D",40,648.23,52.54,51.8,51.33,52.05,52.21,2.31,2.08,28.11,26.15,44.44,42.14,61.56,56.71,2.87,2.63,0.22,1.95,2.3,4.85,0.24,8.21,92.03
"Shakir Mukhamadullin","25-26","S.J","D",35,527.62,48.26,45.16,43.31,42.51,45.93,2.69,2.88,24.35,29.56,33.65,44.06,45.79,61.92,2.43,2.86,-0.19,-5.21,-10.4,-16.13,-0.43,11.04,90.26
"Shane Pinto","25-26","OTT","C",56,748.5,54.4,55.32,54.48,52.02,57.48,3.07,2.57,27.24,22,41.91,35.01,55.53,51.23,3.01,2.23,0.5,5.24,6.9,4.31,0.78,11.27,88.3
"Shane Wright","25-26","SEA","C",66,780.18,57.15,47.34,47.14,45.62,50.31,2.23,1.67,24.98,27.8,38.74,43.45,52.75,62.88,2.67,2.63,0.56,-2.81,-4.71,-10.13,0.03,8.94,93.98
"Shayne Gostisbehere","25-26","CAR","D",45,672.17,57.78,61.9,60.02,60.49,55.43,3.43,2.51,35.16,21.64,53.18,35.42,70.85,46.28,3.37,2.71,0.92,13.51,17.75,24.57,0.66,9.76,88.42
"Shea Theodore","25-26","VGK","D",55,1013.92,57.83,56.69,53.09,52.72,55.83,2.61,1.9,30.46,23.27,43.11,38.1,60.56,54.32,2.96,2.34,0.71,7.18,5.02,6.24,0.62,8.56,91.83
"Sidney Crosby","25-26","PIT","C",56,843.95,52.44,50.68,51.08,50.21,49.58,2.95,2.68,28.38,27.62,44.56,42.67,60.48,59.98,3.1,3.15,0.27,0.76,1.89,0.5,-0.05,10.4,90.31
"Simon Benoit","25-26","TOR","D",60,902.38,37.32,38.87,39.58,39.08,41.71,1.64,2.76,19.2,30.19,31,47.33,42.85,66.8,2.03,2.83,-1.12,-10.99,-16.33,-23.95,-0.81,8.56,90.86
