"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"8","Ryan Reaves","S.J","R","48","0.78333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","1","1","0","3","100.00","1","2","0","100.00"
"17","Ian Cole","UTA","D","65","2.7833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","6","-","0","0","0","-"
"27","Zach Bogosian","MIN","D","32","3.2","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","-","-","-","0","1","0","3","-","1","2","0","100.00"
"48","Dmitry Kulikov","FLA","D","7","0.65","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","0","1","100.00","2","0","0","100.00"
"49","Nick Leddy","S.J","D","19","1.7333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","5","100.00","2","1","0","100.00"
"54","Brian Dumoulin","L.A","D","64","7.65","8","0","100.00","8","0","100.00","4","0","100.00","0","0","-","0.91","0","100.00","5","0","100.00","4","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","1","1","1","24","50.00","1","1","1","50.00"
"57","Casey Cizikas","NYI","C","64","2.5166666666667","6","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.84","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","2","1","0","12","100.00","3","1","0","100.00"
"59","Ben Chiarot","DET","D","65","6.7166666666667","5","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.67","0","100.00","5","0","100.00","1","0","100.00","0","0","-","4","0","100.00","0","0","-","2","1","66.67","0","0","-","0.00","-","0.00","2","1","2","38","50.00","4","4","2","66.67"
"66","Chris Tanev","TOR","D","11","0.48333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","2","100.00","2","0","0","100.00"
"72","Tyler Pitlick","MIN","C","32","0.93333333333333","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","3","0","100.00","0","0","-","100.00","-","1.00","0","0","0","1","-","1","1","0","100.00"
"76","Nick Bjugstad","N.J, STL","C","43","4.2166666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","2","4","0","10","100.00","2","4","0","100.00"
"95","Josh Manson","COL","D","63","4.8833333333333","10","0","100.00","9","0","100.00","4","0","100.00","0","0","-","0.89","0","100.00","5","0","100.00","3","0","100.00","0","0","-","2","0","100.00","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","2","4","0","7","100.00","2","4","0","100.00"
"104","Mike Reilly","CAR","D","31","5.3","9","0","100.00","6","0","100.00","5","0","100.00","0","0","-","0.36","0","100.00","4","0","100.00","2","0","100.00","0","0","-","2","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","3","0","1","8","75.00","6","1","1","85.71"
"105","Scott Mayfield","NYI","D","63","1.2666666666667","5","0","100.00","4","0","100.00","4","0","100.00","0","0","-","0.81","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","1","0","4","100.00","3","1","0","100.00"
"120","Jonas Brodin","MIN","D","46","4.9666666666667","3","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","0.56","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","50.00","-","0.50","3","1","0","19","100.00","4","2","0","100.00"
"131","Barclay Goodrow","S.J","C","62","3.7666666666667","4","0","100.00","2","0","100.00","0","0","-","0","0","-","0.13","0","100.00","3","0","100.00","0","0","-","0","0","-","3","0","100.00","0","0","-","4","1","80.00","0","0","-","-","-","-","6","3","1","9","85.71","6","4","1","85.71"
"132","Luke Glendening","N.J, PHI","C","54","2.1166666666667","5","0","100.00","5","0","100.00","2","0","100.00","0","0","-","0.46","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","2","1","0","4","100.00","4","1","0","100.00"
"137","Brendan Gaunce","CBJ","C","25","1.3","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.18","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","1","0","4","100.00","1","1","0","100.00"
"140","Scott Laughton","L.A, TOR","C","46","4.8333333333333","6","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.62","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","0","0","1","13","0.00","1","0","1","50.00"
"144","Zemgus Girgensons","T.B","C","56","3.55","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.35","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","5","8","0","10","100.00","5","8","0","100.00"
"159","Jordan Martinook","CAR","L","61","2.7","6","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.38","0","100.00","4","0","100.00","1","0","100.00","0","0","-","3","0","100.00","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","6","4","1","9","85.71","6","4","1","85.71"
"162","Teddy Blueger","VAN","C","17","2.9166666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","4","1","0","4","100.00","5","2","0","100.00"
"167","Josh Anderson","MTL","R","57","5.45","6","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.37","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","10","0","100.00","0","0","-","0.00","-","0.00","7","6","1","12","87.50","7","7","2","77.78"
"171","Alexander Kerfoot","UTA","C","17","2.0833333333333","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","5","-","0","1","0","-"
"172","Liam O'Brien","UTA","C","32","0.71666666666667","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","2","-","0","1","0","-"
"182","Mattias Janmark","EDM","C","43","1.0666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","2","100.00","1","1","0","100.00"
"187","Miles Wood","CBJ","L","44","1.3833333333333","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0.26","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","2","1","0","1","100.00","3","1","0","100.00"
"200","William Carrier","CAR","L","53","1.8833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.18","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","6","4","0","9","100.00","6","4","0","100.00"
"219","Ross Johnston","ANA","L","62","2.1666666666667","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.22","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","2","0","7","100.00","3","2","0","100.00"
"220","Nathan Walker","STL","L","40","2.7333333333333","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.37","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","2","0","12","100.00","2","2","0","100.00"
"241","Robby Fabbri","MIN, STL","C","17","5.5","4","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.28","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","0","0","4","100.00","3","3","0","100.00"
"242","Kasperi Kapanen","EDM","R","24","2.2833333333333","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.23","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","2","2","0","7","100.00","3","2","0","100.00"
"248","Nicolas Aube-Kubel","MIN","R","4","1.1","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","3","0","100.00","0","0","-","100.00","-","1.00","0","0","0","2","-","1","1","0","100.00"
"253","Juho Lammikko","N.J","C","24","0.66666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","0","2","100.00","1","1","0","100.00"
