"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"323","Patrick O'Sullivan","PHX","C","23","0.15","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"440","Benoit Pouliot","BOS","L","74","0.83333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","3","100.00","1","1","0","100.00"
"503","Tim Stapleton","WPG","C","63","2.9","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","1","1","3","66.67","2","1","1","66.67"
"563","Sean Collins","WSH","D","2","0.48333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"587","James van Riemsdyk","PHI","L","43","1.3","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","7","-","0","1","0","-"
"681","Matt Donovan","NYI","D","3","0.91666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","0","-","0","1","0","-"
"686","Andrei Loktionov","L.A","C","39","0.86666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","2","-","0","1","0","-"
"774","Andy Miele","PHX","C","7","0.083333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"457","James Neal","PIT","L, R","80","2.1166666666667","4","1","80.00","4","1","80.00","4","1","80.00","0","0","-","0.4","0.04","91.13","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","0","0","6","-","0","0","1","0.00"
"351","Matt Moulson","NYI","L","82","2.9","4","2","66.67","4","2","66.67","2","2","50.00","0","0","-","0.15","0.08","64.53","2","1","66.67","1","0","100.00","0","0","-","1","1","50.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","3","0","8","-","1","3","1","50.00"
"338","John Mitchell","NYR","C","63","2.7666666666667","3","2","60.00","3","2","60.00","2","2","50.00","0","0","-","0.15","0.11","58.05","2","1","66.67","0","1","0.00","0","0","-","2","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","0","1","3","0.00","0","0","1","0.00"
"5","Ray Whitney","PHX","L","82","2.3","4","3","57.14","3","3","50.00","3","3","50.00","0","2","0.00","0.06","1.33","4.33","3","2","60.00","1","2","33.33","0","1","0.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","33.33","0.333","0","1","0","8","-","3","1","1","75.00"
"67","Tomas Kaberle","CAR, MTL","D","72","9.0166666666667","8","6","57.14","4","4","50.00","4","3","57.14","0","2","0.00","0.12","0.85","12.41","2","2","50.00","2","1","66.67","0","1","0.00","0","1","0.00","0","0","-","5","2","71.43","0","1","0.00","0.00","33.33","0.333","1","5","1","18","50.00","4","7","4","50.00"
"220","Kyle Wellwood","WPG","C","77","3.85","4","3","57.14","3","1","75.00","2","1","66.67","0","0","-","0.28","0.16","63.40","2","1","66.67","1","0","100.00","0","0","-","1","1","50.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","2","2","4","0.00","0","3","2","0.00"
"294","Nathan Horton","BOS","R","46","2.0666666666667","4","3","57.14","4","3","57.14","4","3","57.14","0","0","-","0.17","0.3","36.87","2","2","50.00","1","1","50.00","0","0","-","1","1","50.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","0","2","1","7","0.00","0","2","1","0.00"
"1","Jaromir Jagr","PHI","R","73","2.1666666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.13","0.1","54.73","1","1","50.00","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","1","0","5","-","0","1","0","-"
"13","Jason Arnott","STL","C","72","2.0333333333333","1","1","50.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","8","0.00","1","0","1","50.00"
"19","Vinny Prospal","CBJ","L","82","3.7666666666667","4","4","50.00","3","2","60.00","2","2","50.00","0","0","-","0.06","0.17","25.41","1","1","50.00","0","1","0.00","0","0","-","1","0","100.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","1","2","1","9","50.00","1","2","1","50.00"
"50","Daniel Briere","PHI","C","70","5.7666666666667","2","2","50.00","1","1","50.00","1","1","50.00","0","0","-","0.04","0.03","54.31","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","1","2","19","0.00","0","3","3","0.00"
"102","Scott Gomez","MTL","C","38","2.3166666666667","2","2","50.00","1","2","33.33","1","0","100.00","0","0","-","0.04","0.12","24.55","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","1","1","50.00","0","0","-","0.00","-","0.00","0","0","2","3","0.00","1","1","2","33.33"
"108","Erik Cole","MTL","L","82","11.933333333333","7","7","50.00","6","5","54.55","5","4","55.56","1","0","100.00","0.2","0.57","25.76","4","2","66.67","1","2","33.33","0","0","-","3","0","100.00","1","0","100.00","2","4","33.33","0","0","-","20.00","100.00","1.200","4","3","3","29","57.14","5","4","7","41.67"
"124","Michael Ryder","DAL","R","82","2.0666666666667","1","1","50.00","1","1","50.00","0","1","0.00","0","1","0.00","0.08","0.48","13.65","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","3","3","0","8","100.00","3","5","0","100.00"
