"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"93","Petr Sykora","PIT","R","76","0.56666666666667","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","3","0","0","2","100.00","4","0","0","100.00"
"213","Mike Rupp","N.J","L","72","0.21666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"406","Tom Cavanagh","S.J","R","17","0.58333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","1","1","0.00","0","1","1","0.00"
"545","Alexander Sulzer","NSH","D","2","0.083333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"655","Mike Iggulden","NYI","C","11","0.56666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"675","Matt Pelech","CGY","R","5","3.05","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","1","4","0.00","0","1","1","0.00"
"711","Jared Ross","PHI","C","10","0.55","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"720","Ville Koistinen","NSH","D","38","4.25","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","4","0","16","-","0","4","0","-"
"777","Michal Repik","FLA","R","5","0.11666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"791","Alex Pietrangelo","STL","D","8","1.4833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","1","1","50.00","1","1","2","33.33"
"378","Mike Cammalleri","CGY","C","81","4.2833333333333","3","1","75.00","1","1","50.00","1","1","50.00","0","0","-","0.02","0.05","33.58","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","0","0","2","14","0.00","0","0","2","0.00"
"41","Markus Naslund","NYR","L","82","7.15","2","1","66.67","2","1","66.67","1","1","50.00","0","0","-","0.15","0.08","64.89","2","1","66.67","1","0","100.00","0","0","-","1","1","50.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","1","3","16","0.00","0","1","4","0.00"
