"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"8","Doug Weight","NYI","C","18","0.51666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","4","100.00","1","0","1","50.00"
"287","Brandon Segal","DAL","R","46","0.55","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","3","-","1","0","0","100.00"
"290","Marc-Andre Bergeron","T.B","D","23","1.05","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","1","5","50.00","1","0","1","50.00"
"337","Erik Christensen","NYR","C","63","0.8","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","5","-","0","0","0","-"
"450","Rob Schremp","ATL, NYI","C","63","1.1666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","1","1","0.00","0","0","1","0.00"
"455","Bryan Bickell","CHI","L","78","0.16666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","0","-","0","1","0","-"
"581","Peter Harrold","L.A","D","19","0.93333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","2","1","0","0","100.00","3","1","0","100.00"
"727","Patrick Wiercioch","OTT","D","8","0.1","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"738","Mark Olver","COL","C","18","0.15","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","0","100.00","1","0","0","100.00"
"60","Marc Savard","BOS","C","25","2.7","3","1","75.00","2","0","100.00","2","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","1","66.67","0","0","-","0.00","-","0.00","1","1","1","5","50.00","1","1","1","50.00"
"352","Nathan Horton","BOS","R","80","2.6333333333333","4","2","66.67","2","1","66.67","2","1","66.67","0","1","0.00","0.04","0.13","21.60","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0","0","-","3","1","75.00","0","0","-","0.00","0.00","0.000","1","0","0","7","100.00","3","0","0","100.00"
"766","Jacob Josefson","N.J","C","28","0.56666666666667","2","1","66.67","2","1","66.67","1","1","50.00","0","1","0.00","0.07","0.13","33.56","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","1","50.00","0","1","0.00","0.00","0.00","0.000","0","0","0","7","-","1","0","0","100.00"
"782","Tyler Seguin","BOS","C","74","3.2166666666667","2","1","66.67","1","1","50.00","1","1","50.00","0","0","-","0.1","0.05","67.64","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","0","0","0","9","-","0","1","0","-"
"32","Andrew Brunette","MIN","L","82","0.96666666666667","3","2","60.00","2","0","100.00","2","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","2","33.33","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","0","-"
"354","Thomas Vanek","BUF","L","80","5.5833333333333","9","7","56.25","7","6","53.85","6","4","60.00","0","2","0.00","0.25","2.22","10.13","4","5","44.44","3","2","60.00","0","1","0.00","1","3","25.00","0","0","-","3","2","60.00","0","1","0.00","0.00","50.00","0.500","3","1","1","13","75.00","9","3","1","90.00"
"276","Ryane Clowe","S.J","L","75","6.4666666666667","8","7","53.33","7","6","53.85","4","3","57.14","0","0","-","0.37","0.52","41.54","2","4","33.33","1","3","25.00","0","0","-","1","1","50.00","0","0","-","4","3","57.14","0","0","-","0.00","100.00","1.000","1","1","4","13","20.00","1","1","4","20.00"
"11","Ray Whitney","PHX","L","75","2.0666666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.03","0.09","26.34","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","1","0","2","4","33.33","1","0","2","33.33"
"236","Colton Orr","TOR","R","46","0.38333333333333","1","1","50.00","1","1","50.00","1","0","100.00","0","0","-","0.02","0.09","15.39","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"322","David Van Der Gulik","COL","L","6","3.8333333333333","3","3","50.00","3","1","75.00","0","0","-","0","0","-","0.18","0.02","88.47","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","3","0.00","0","0","-","-","-","-","1","0","1","4","50.00","1","0","1","50.00"
"516","Jack Skille","CHI, FLA","R","62","3.6","3","3","50.00","3","3","50.00","2","2","50.00","0","2","0.00","0.14","0.27","35.06","2","2","50.00","0","0","-","0","0","-","2","2","50.00","0","1","0.00","1","1","50.00","0","1","0.00","0.00","0.00","0.000","1","1","2","4","33.33","2","2","2","50.00"
"641","Brad Mills","N.J","C","4","2.95","3","3","50.00","3","2","60.00","2","2","50.00","0","1","0.00","0.24","0.24","49.73","2","2","50.00","1","1","50.00","0","1","0.00","1","1","50.00","0","0","-","1","1","50.00","0","0","-","0.00","50.00","0.500","0","1","0","5","-","0","1","0","-"
"674","David Perron","STL","L","10","5.3","2","2","50.00","2","2","50.00","2","1","66.67","1","0","100.00","0.14","0.15","48.54","2","1","66.67","1","0","100.00","1","0","100.00","1","1","50.00","0","0","-","0","1","0.00","0","0","-","50.00","100.00","1.500","0","0","0","11","-","1","0","0","100.00"
"680","Patrick Kane","CHI","R","73","3.8166666666667","7","7","50.00","7","4","63.64","5","2","71.43","0","0","-","0.37","0.44","45.34","4","4","50.00","2","2","50.00","0","0","-","2","2","50.00","0","0","-","2","2","50.00","0","0","-","0.00","100.00","1.000","1","3","0","11","100.00","1","3","0","100.00"
"742","Ben Smith","CHI","R","6","0.61666666666667","1","1","50.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","1","50.00","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"745","Matt Bartkowski","BOS","D","6","1.5666666666667","1","1","50.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
"748","Christian Hanson","TOR","C","6","3.65","2","2","50.00","2","2","50.00","0","2","0.00","0","0","-","0.04","0.09","30.93","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","2","33.33","0","0","-","-","100.00","1.00","0","0","4","4","0.00","0","0","4","0.00"
"750","Dan Sexton","ANA","R","47","1.7166666666667","1","1","50.00","0","1","0.00","0","1","0.00","0","0","-","0","0.06","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","1","0","100.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
"760","Brayden Schenn","L.A","C","8","1.05","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.1","0.04","73.43","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","0","1","1","2","0.00","0","1","1","0.00"
"781","Taylor Hall","EDM","L","65","2.1","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.01","0.03","19.78","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","1","2","1","7","50.00","2","2","3","40.00"
"599","Ben Maxwell","ATL","C","12","8.5333333333333","6","7","46.15","3","5","37.50","1","3","25.00","0","0","-","0.26","0.24","51.62","2","1","66.67","0","0","-","0","0","-","2","1","66.67","0","0","-","4","6","40.00","0","0","-","0.00","100.00","1.000","2","0","1","15","66.67","2","0","1","66.67"
