"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"802","Dmitrij Jaskin","STL","R","2","14.983333333333","16","6","72.73","12","4","75.00","9","3","75.00","0","1","0.00","0.55","0.16","77.28","7","2","77.78","3","1","75.00","0","1","0.00","4","1","80.00","0","0","-","8","3","72.73","0","0","-","0.00","66.67","0.667","2","5","1","15","66.67","3","8","3","50.00"
"796","Andy Miele","PHX","C","1","9.0333333333333","12","5","70.59","6","4","60.00","3","2","60.00","1","0","100.00","0.31","0.21","59.99","3","3","50.00","2","1","66.67","0","0","-","1","2","33.33","1","0","100.00","9","1","90.00","0","0","-","33.33","100.00","1.333","3","2","0","9","100.00","3","2","0","100.00"
"720","Mattias Ekholm","NSH","D","1","15.033333333333","14","6","70.00","11","4","73.33","8","3","72.73","0","1","0.00","0.78","0.39","67.01","9","4","69.23","2","2","50.00","0","1","0.00","7","2","77.78","0","0","-","4","0","100.00","0","0","-","0.00","66.67","0.667","0","4","2","12","0.00","3","7","2","60.00"
"358","JT Wyman","T.B","R","1","11.966666666667","11","5","68.75","11","4","73.33","8","4","66.67","0","1","0.00","0.35","0.16","69.11","4","3","57.14","1","0","100.00","0","0","-","3","3","50.00","0","1","0.00","6","2","75.00","0","0","-","0.00","75.00","0.750","5","3","2","8","71.43","6","5","3","66.67"
"199","Andrew Murray","STL","C","1","7.8166666666667","8","4","66.67","6","4","60.00","5","4","55.56","0","0","-","0.16","0.25","38.37","2","2","50.00","0","1","0.00","0","0","-","2","1","66.67","0","0","-","3","2","60.00","0","0","-","0.00","100.00","1.000","0","2","2","9","0.00","1","3","3","25.00"
"505","Benn Ferriero","NYR","R","4","35.933333333333","45","24","65.22","37","16","69.81","28","11","71.79","1","1","50.00","2.17","1.42","60.44","19","11","63.33","11","7","61.11","0","1","0.00","8","4","66.67","0","0","-","24","13","64.86","1","0","100.00","3.57","90.91","0.945","7","6","2","31","77.78","11","9","8","57.89"
"368","Jake Dowell","MIN","C","2","15.75","13","7","65.00","9","6","60.00","6","2","75.00","0","0","-","0.5","0.17","74.97","5","1","83.33","2","0","100.00","0","0","-","3","1","75.00","0","0","-","6","6","50.00","0","0","-","0.00","100.00","1.000","3","4","4","13","42.86","3","6","6","33.33"
"636","Shawn Lalonde","CHI","D","1","14.316666666667","13","7","65.00","9","4","69.23","6","3","66.67","1","0","100.00","0.39","0.13","75.26","5","2","71.43","2","0","100.00","0","0","-","3","2","60.00","0","0","-","6","3","66.67","1","0","100.00","16.67","100.00","1.167","5","2","5","7","50.00","8","2","7","53.33"
"552","Anthony Peluso","WPG","R","5","24.016666666667","27","15","64.29","23","11","67.65","20","9","68.97","2","1","66.67","1.09","0.7","60.70","8","9","47.06","5","7","41.67","1","1","50.00","3","2","60.00","1","0","100.00","16","5","76.19","0","0","-","10.00","88.89","0.989","5","9","2","21","71.43","12","11","5","70.59"
"631","Jared Staal","CAR","R","2","25.516666666667","27","15","64.29","18","10","64.29","13","8","61.90","0","2","0.00","0.66","0.47","58.36","8","5","61.54","4","1","80.00","0","1","0.00","4","4","50.00","0","1","0.00","15","8","65.22","0","0","-","0.00","75.00","0.750","0","7","4","25","0.00","2","8","12","14.29"
