"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"5","Adam Foote","COL","D","47","7.95","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","5","5","1","19","83.33","5","6","1","83.33"
"37","Scott Nichol","S.J","C","56","1.5","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","2","3","0.00","1","0","2","33.33"
"41","Ethan Moreau","CBJ","L","37","2.5833333333333","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.14","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","0","0","-","0","0","-","50.00","-","0.50","7","2","0","6","100.00","7","3","0","100.00"
"66","Jody Shelley","PHI","L","58","2.45","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","3","0","5","100.00","2","4","0","100.00"
"69","Ruslan Salei","DET","D","75","7.2333333333333","6","0","100.00","5","0","100.00","5","0","100.00","0","0","-","0.21","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","3","2","19","60.00","3","4","2","60.00"
"76","Josh Green","ANA","C","12","0.083333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"78","Colin White","N.J","D","69","3.3333333333333","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.43","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","0","1","5","75.00","4","0","1","80.00"
"82","Arron Asham","PIT","R","44","1.1","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","0","2","100.00","1","1","0","100.00"
"92","Samuel Pahlsson","CBJ","C","82","6.2833333333333","6","0","100.00","5","0","100.00","4","0","100.00","1","0","100.00","0.42","0","100.00","4","0","100.00","2","0","100.00","0","0","-","2","0","100.00","1","0","100.00","2","0","100.00","0","0","-","25.00","-","0.25","11","3","1","23","91.67","13","3","1","92.86"
"113","Adam Mair","N.J","C","65","5.9","6","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.18","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","1","3","2","18","33.33","1","3","2","33.33"
"141","Jarkko Ruutu","ANA, OTT","L","73","4.2","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","6","4","0","12","100.00","7","5","1","87.50"
"150","Rob Scuderi","L.A","D","82","5.3833333333333","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","4","6","1","22","80.00","4","6","1","80.00"
"158","Karlis Skrastins","DAL","D","74","3.7833333333333","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","4","3","1","11","80.00","5","5","1","83.33"
"163","Jeff Halpern","MTL","C","72","8.8833333333333","8","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.3","0","100.00","4","0","100.00","1","0","100.00","0","0","-","3","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","2","4","14","42.86","5","2","4","55.56"
"179","Michael Zigomanis","TOR","C","8","0.51666666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","0","1","100.00","2","1","0","100.00"
"189","George Parros","ANA","R","78","1.1333333333333","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","4","1","1","1","80.00","6","1","1","85.71"
"197","Eric Godard","PIT","R","19","0.45","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","1","-","0","2","0","-"
"204","Rostislav Klesla","CBJ, PHX","D","61","3.8333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","6","3","0","18","100.00","7","4","0","100.00"
"210","Anton Volchenkov","N.J","D","57","1.15","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","4","100.00","2","0","0","100.00"
"211","David Hale","OTT","D","25","0.35","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","1","1","0.00","0","0","1","0.00"
"222","Andreas Lilja","ANA","D","52","1.7833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","3","1","1","5","75.00","3","2","1","75.00"
"228","Brian Fahey","WSH","D","7","4.3833333333333","8","0","100.00","7","0","100.00","6","0","100.00","0","0","-","0.63","0","100.00","4","0","100.00","3","0","100.00","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","0","2","1","2","0.00","2","2","1","66.67"
"235","Deryk Engelland","PIT","D","63","1.5666666666667","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.21","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","1","0","4","100.00","2","3","0","100.00"
"236","Matthew Lombardi","NSH","C","2","4.8333333333333","9","0","100.00","6","0","100.00","4","0","100.00","0","0","-","0.45","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","0","1","0","4","-","2","1","0","100.00"
"239","Colton Orr","TOR","R","46","2.0666666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","3","0","4","100.00","3","3","0","100.00"
"242","Warren Peters","MIN","C","11","0.45","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","1","-","1","0","0","100.00"
