"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"66","Reilly Smith","NYR, VGK","R","79","1219.8166666667","1180","1260","48.36","869","922","48.52","593","620","48.89","62","56","52.54","61.98","64.53","48.99","567","585","49.22","239","229","51.07","28","28","50.00","328","356","47.95","22","18","55.00","657","766","46.17","9","10","47.37","10.46","90.97","1.014","189","316","250","886","43.05","357","407","446","44.46"
"662","Simon Holmstrom","NYI","R","75","1264.8666666667","1269","1355","48.36","941","959","49.53","598","609","49.54","65","67","49.24","65.35","71.2","47.86","576","631","47.72","233","267","46.60","27","31","46.55","343","364","48.51","22","16","57.89","808","787","50.66","13","17","43.33","10.87","89.00","0.999","230","238","226","928","50.44","428","354","422","50.35"
"425","Trent Frederic","BOS, EDM","C","58","795.85","764","816","48.35","507","585","46.43","341","357","48.85","24","38","38.71","36.12","38.72","48.26","359","355","50.28","160","149","51.78","18","19","48.65","199","206","49.14","6","11","35.29","399","483","45.24","0","7","0.00","7.04","89.36","0.964","123","166","109","699","53.02","203","213","230","46.88"
"690","Drew O'Connor","PIT, VAN","L","84","1214.85","1155","1235","48.33","826","904","47.75","501","612","45.01","40","69","36.70","55.71","64.24","46.44","524","586","47.21","231","239","49.15","20","29","40.82","293","347","45.78","12","28","30.00","621","723","46.21","6","11","35.29","7.98","88.73","0.967","151","222","189","1070","44.41","278","315","361","43.51"
"491","Jesper Boqvist","FLA","C","78","1033.1833333333","925","990","48.30","632","749","45.76","412","483","46.03","38","54","41.30","40.5","47.11","46.23","414","443","48.31","158","192","45.14","19","28","40.43","256","251","50.49","9","13","40.91","572","604","48.64","8","13","38.10","9.22","88.82","0.980","206","222","156","941","56.91","343","294","288","54.36"
"413","Carl Grundstrom","S.J","R","56","537.4","515","552","48.27","368","384","48.94","243","270","47.37","12","35","25.53","21.11","22.88","47.99","217","234","48.12","84","90","48.28","5","13","27.78","133","144","48.01","3","13","18.75","284","338","45.66","4","8","33.33","4.94","87.04","0.920","66","120","66","450","50.00","115","171","147","43.89"
"514","Alexandre Texier","STL","C","31","387.11666666667","349","374","48.27","235","273","46.26","151","185","44.94","18","16","52.94","16.87","16.24","50.95","159","172","48.04","58","80","42.03","8","6","57.14","101","92","52.33","4","7","36.36","207","206","50.12","6","3","66.67","11.92","91.35","1.033","63","80","37","320","63.00","106","114","85","55.50"
"765","Alex Steeves","TOR","C","7","69.233333333333","55","59","48.25","42","39","51.85","30","24","55.56","3","0","100.00","2.05","2.01","50.49","23","23","50.00","8","13","38.10","0","0","-","15","10","60.00","2","0","100.00","30","41","42.25","1","0","100.00","10.00","100.00","1.100","6","17","15","61","28.57","7","24","19","26.92"
"10","Kris Letang","PIT","D","74","1740.8833333333","1663","1785","48.23","1185","1299","47.71","789","870","47.56","84","102","45.16","86.77","94.49","47.87","770","881","46.64","318","364","46.63","42","51","45.16","452","517","46.65","24","35","40.68","1004","1033","49.29","11","15","42.31","10.65","88.28","0.989","214","344","282","1174","43.15","563","505","605","48.20"
"685","Marc Del Gaizo","NSH","D","46","770.6","717","770","48.22","507","521","49.32","352","366","49.03","29","33","46.77","33.53","30.93","52.02","323","337","48.94","142","122","53.79","18","16","52.94","181","215","45.71","6","8","42.86","372","456","44.93","5","9","35.71","8.24","90.98","0.992","69","141","91","706","43.13","166","234","216","43.46"
"867","Marc Gatcomb","NYI","C","39","381.7","309","332","48.21","215","231","48.21","148","152","49.33","14","18","43.75","12.25","16.31","42.90","123","155","44.24","52","75","40.94","9","11","45.00","71","80","47.02","3","3","50.00","192","175","52.32","2","4","33.33","9.46","88.16","0.976","76","87","38","328","66.67","122","132","88","58.10"
"480","Conor Timmins","PIT, TOR","D","68","1150.7","1084","1165","48.20","786","848","48.10","519","564","47.92","46","48","48.94","52.84","57.15","48.04","507","548","48.06","200","224","47.17","20","24","45.45","307","324","48.65","13","16","44.83","642","712","47.42","10","8","55.56","8.86","91.49","1.004","140","215","194","1124","41.92","330","324","345","48.89"
"674","Valtteri Puustinen","PIT","R","13","128.6","107","115","48.20","79","80","49.69","55","58","48.67","4","6","40.00","6.39","5.08","55.69","49","47","51.04","24","19","55.81","3","2","60.00","25","28","47.17","0","2","0.00","60","70","46.15","1","2","33.33","7.27","89.66","0.969","20","18","11","124","64.52","27","26","24","52.94"
"709","Danil Gushchin","S.J","L","12","147.6","134","144","48.20","95","103","47.98","59","68","46.46","5","6","45.45","4.86","6.34","43.39","51","76","40.16","20","24","45.45","2","2","50.00","31","52","37.35","3","3","50.00","91","74","55.15","0","0","-","8.47","91.18","0.997","24","24","20","112","54.55","46","38","38","54.76"
"424","Riley Tufte","BOS","L","6","55.166666666667","39","42","48.15","26","33","44.07","18","23","43.90","0","3","0.00","1.1","2.16","33.83","20","18","52.63","3","6","33.33","0","1","0.00","17","12","58.62","0","2","0.00","27","23","54.00","0","0","-","0.00","86.96","0.870","9","17","8","48","52.94","14","22","17","45.16"
"306","Michael Amadio","OTT","R","72","1014.9","937","1010","48.13","658","699","48.49","436","467","48.28","48","34","58.54","47.81","41.14","53.75","437","441","49.77","166","180","47.98","19","17","52.78","271","261","50.94","19","12","61.29","492","625","44.05","7","5","58.33","11.01","92.72","1.037","147","239","202","910","42.12","213","307","365","36.85"
