"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"416","Lawson Crouse","ARI","L","81","1008.3333333333","1003","1067","48.45","724","778","48.20","499","522","48.87","40","45","47.06","44.36","45.02","49.63","474","489","49.22","196","201","49.37","23","19","54.76","278","288","49.12","12","16","42.86","563","660","46.03","5","10","33.33","8.02","91.38","0.994","146","276","173","737","45.77","271","351","365","42.61"
"627","K'Andre Miller","NYR","D","80","1456.3166666667","1439","1532","48.43","1009","1074","48.44","707","738","48.93","56","68","45.16","58.93","62.22","48.64","661","686","49.07","268","270","49.81","29","36","44.62","393","416","48.58","16","23","41.03","824","896","47.91","11","9","55.00","7.92","90.79","0.987","152","376","175","967","46.48","409","529","453","47.45"
"608","Trey Fix-Wolansky","CBJ","R","11","114.5","134","143","48.38","94","99","48.70","72","66","52.17","6","6","50.00","5.25","7.4","41.48","55","75","42.31","20","36","35.71","3","2","60.00","35","39","47.30","3","1","75.00","77","68","53.10","0","3","0.00","8.33","90.91","0.992","26","19","13","95","66.67","44","31","27","61.97"
"706","Cole Caufield","MTL","R","82","1199.9833333333","1193","1273","48.38","867","913","48.71","601","614","49.47","58","44","56.86","55.34","57.09","49.22","564","649","46.50","209","245","46.04","29","16","64.44","355","404","46.77","22","22","50.00","711","650","52.24","6","6","50.00","9.65","92.83","1.025","236","293","139","771","62.93","382","395","308","55.36"
"134","Ryan Johansen","COL","C","63","686.5","625","667","48.37","421","477","46.88","303","329","47.94","22","25","46.81","22.36","27.58","44.77","248","271","47.78","106","127","45.49","12","15","44.44","142","144","49.65","2","6","25.00","407","420","49.21","8","4","66.67","7.26","92.40","0.997","119","123","107","569","52.65","188","192","234","44.55"
"148","Colin Blackwell","CHI","C","44","540.1","487","520","48.36","344","369","48.25","248","239","50.92","13","17","43.33","19.01","21.79","46.59","205","252","44.86","80","112","41.67","10","9","52.63","125","140","47.17","2","3","40.00","295","321","47.89","1","5","16.67","5.24","92.89","0.981","72","122","95","387","43.11","144","175","203","41.50"
"241","Alex Kerfoot","ARI","C","82","1027.15","959","1024","48.36","655","732","47.22","425","503","45.80","43","49","46.74","39.78","44.48","47.21","453","489","48.09","185","179","50.82","28","20","58.33","268","310","46.37","8","20","28.57","568","607","48.34","7","9","43.75","10.12","90.26","1.004","169","226","197","749","46.17","303","310","346","46.69"
"606","Mark Kastelic","OTT","C","63","474.63333333333","441","471","48.36","299","309","49.18","203","213","48.80","15","19","44.12","17.07","17.61","49.24","184","204","47.42","73","74","49.66","9","9","50.00","111","130","46.06","0","6","0.00","268","277","49.17","6","4","60.00","7.39","91.08","0.985","73","99","66","486","52.52","131","133","130","50.19"
"23","Erik Johnson","BUF, PHI","D","67","790.46666666667","731","781","48.35","519","551","48.50","371","369","50.14","28","44","38.89","32.67","35.72","47.77","348","360","49.15","148","167","46.98","11","24","31.43","200","193","50.89","9","14","39.13","391","447","46.66","8","6","57.14","7.55","88.08","0.956","105","140","107","754","49.53","200","210","212","48.54"
"301","Curtis Lazar","N.J","C","71","781.43333333333","689","737","48.32","476","536","47.04","340","362","48.43","33","29","53.23","34.43","31.38","52.32","304","309","49.59","142","133","51.64","24","16","60.00","162","176","47.93","2","10","16.67","413","461","47.25","7","3","70.00","9.71","91.99","1.017","107","205","156","694","40.68","191","257","252","43.12"
"108","Radko Gudas","ANA","D","66","1056.85","980","1049","48.30","707","734","49.06","472","496","48.76","46","41","52.87","39.81","40.02","49.87","403","481","45.59","164","192","46.07","28","22","56.00","239","289","45.27","13","12","52.00","561","628","47.18","5","7","41.67","9.75","91.73","1.015","69","222","154","825","30.94","223","311","338","39.75"
"487","Boris Katchouk","CHI, OTT","L","59","601.55","566","606","48.29","390","417","48.33","275","290","48.67","15","24","38.46","22.43","24.24","48.07","269","291","48.04","103","117","46.82","10","13","43.48","166","174","48.82","3","6","33.33","302","330","47.78","2","5","28.57","5.45","91.72","0.972","71","90","72","550","49.65","144","142","165","46.60"
"846","Mackie Samoskevich","FLA","R","7","79.266666666667","70","75","48.28","53","60","46.90","40","46","46.51","0","3","0.00","2.58","3.37","43.37","27","27","50.00","10","13","43.48","0","2","0.00","17","14","54.84","0","1","0.00","51","48","51.52","0","0","-","0.00","93.48","0.935","14","18","10","61","58.33","27","26","16","62.79"
"406","Caleb Jones","COL","D","25","292.7","264","283","48.26","188","194","49.21","131","128","50.58","12","9","57.14","11.9","12.41","48.93","123","122","50.20","60","48","55.56","9","4","69.23","63","74","45.99","2","3","40.00","138","169","44.95","1","2","33.33","9.16","92.97","1.021","20","44","35","279","36.36","45","80","79","36.29"
"547","Urho Vaakanainen","ANA","D","68","1029.25","928","995","48.26","667","711","48.40","462","489","48.58","41","44","48.24","35.93","39.49","47.64","375","432","46.47","152","193","44.06","21","25","45.65","223","239","48.27","14","12","53.85","557","618","47.40","6","7","46.15","8.87","91.00","0.999","82","220","144","865","36.28","238","297","317","42.88"
"857","Simon Edvinsson","DET","D","16","265.45","247","265","48.24","177","187","48.63","126","133","48.65","13","13","50.00","10.69","11.05","49.16","124","118","51.24","46","40","53.49","6","7","46.15","78","78","50.00","5","4","55.56","145","164","46.93","2","2","50.00","10.32","90.23","1.005","33","45","32","231","50.77","70","70","80","46.67"
