"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"22","Hal Gill","MTL, NSH","D","76","2.4666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","2","3","8","0.00","0","2","3","0.00"
"46","Jody Shelley","PHI","L","30","3.7","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.26","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","2","1","0","7","100.00","3","1","0","100.00"
"56","Colin White","S.J","D","54","4.0666666666667","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","3","2","0","7","100.00","5","2","0","100.00"
"64","Craig Adams","PIT","R","82","1.6","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","0","0","4","100.00","3","0","0","100.00"
"81","Kristian Huselius","CBJ","L","2","8.15","9","0","100.00","6","0","100.00","3","0","100.00","1","0","100.00","0.66","0","100.00","7","0","100.00","3","0","100.00","0","0","-","4","0","100.00","1","0","100.00","2","0","100.00","0","0","-","33.33","-","0.33","6","1","1","1","85.71","10","1","1","90.91"
"117","Rob Scuderi","L.A","D","82","8.45","10","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.36","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","7","5","0","13","100.00","9","5","0","100.00"
"135","Mike Commodore","DET, T.B","D","30","1.2333333333333","5","0","100.00","4","0","100.00","4","0","100.00","0","0","-","0.53","0","100.00","4","0","100.00","2","0","100.00","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","0","0","1","100.00","4","0","0","100.00"
"138","Doug Janik","DET","D","9","0.61666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","4","-","0","0","0","-"
"144","Derek MacKenzie","CBJ","C","66","3.2666666666667","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.22","0","100.00","3","0","100.00","0","0","-","0","0","-","3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","33.33","-","0.33","4","1","0","11","100.00","5","1","0","100.00"
"150","Radek Martinek","CBJ","D","7","3.6666666666667","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","2","0","4","100.00","3","3","0","100.00"
"156","Sean Avery","NYR","L","15","0.23333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"160","Mike Weaver","FLA","D","82","7.4333333333333","4","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.4","0","100.00","4","0","100.00","3","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","8","8","4","26","66.67","10","9","4","71.43"
"184","Jon Disalvatore","MIN","R","1","1.0333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.11","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"191","Deryk Engelland","PIT","D","73","0.91666666666667","4","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","1","1","3","75.00","3","1","1","75.00"
"196","Jason Jaffray","WPG","L","13","2.4","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","1","0","3","100.00","3","1","0","100.00"
"203","Mike Komisarek","TOR","D","45","2.5166666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","4","1","2","50.00","1","4","1","50.00"
"211","Colby Armstrong","TOR","R","29","2.5","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","2","0","2","100.00","5","2","0","100.00"
"221","Jay McClement","COL","C","80","4.3166666666667","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.09","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","4","1","3","15","57.14","5","1","3","62.50"
"225","Stephane Veilleux","MIN, N.J","L","22","1.4666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","0","-"
"231","Cody McCormick","BUF","C","50","0.18333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","1","0","1","100.00","1","1","0","100.00"
"242","Andrew Murray","S.J","C","39","1.6666666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","0","0","2","100.00","4","0","0","100.00"
"252","Sheldon Brookbank","ANA","D","80","6.05","5","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.28","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","33.33","-","0.33","4","4","0","17","100.00","5","4","0","100.00"
