"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"41","John Tavares","TOR","C","65","0.76666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","1","66.67","0","0","-","-","-","-","2","1","1","10","66.67","2","1","1","66.67"
"47","Nazem Kadri","CGY, COL","C","63","4.75","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","3","1","22","66.67","3","3","2","60.00"
"118","Ryan Strome","ANA, CGY","C","36","0.45","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","100.00","-","1.00","0","0","0","4","-","0","1","0","-"
"294","Mathew Barzal","NYI","C","64","4.5166666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","-","0.00","1","0","1","22","50.00","1","0","1","50.00"
"307","Kyle Capobianco","DAL","D","31","0.3","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.08","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","3","-","0","1","0","-"
"362","Dennis Cholowski","N.J","D","15","1.5166666666667","3","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","0.21","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","50.00","-","0.50","0","1","0","3","-","0","2","0","-"
"488","Jonatan Berggren","DET, STL","R","38","1.0666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"742","Matthew Wood","NSH","R","53","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.09","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","100.00","-","1.00","0","0","0","2","-","0","0","0","-"
"753","Connor Clattenburg","EDM","C","5","0.2","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"772","Igor Chernyshov","S.J","L","15","0.1","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
