"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"736","Teddy Purcell","L.A, T.B","L","60","100.51666666667","149","24","86.13","105","20","84.00","72","16","81.82","7","1","87.50","8.11","1.64","83.19","61","16","79.22","20","6","76.92","2","0","100.00","41","10","80.39","2","1","66.67","81","6","93.10","3","0","100.00","9.72","93.75","1.035","46","18","3","54","93.88","69","26","7","90.79"
"687","Jamie McGinn","S.J","L","59","17.566666666667","31","5","86.11","19","5","79.17","11","5","68.75","0","0","-","1.87","0.25","88.27","13","1","92.86","5","1","83.33","0","0","-","8","0","100.00","0","0","-","17","3","85.00","0","0","-","0.00","100.00","1.000","14","5","0","18","100.00","15","6","1","93.75"
"740","Luca Caputi","PIT, TOR","L","23","50.366666666667","74","12","86.05","54","8","87.10","39","7","84.78","1","0","100.00","4.93","0.56","89.83","33","9","78.57","15","3","83.33","1","0","100.00","18","6","75.00","0","0","-","38","2","95.00","0","0","-","2.56","100.00","1.026","20","3","2","39","90.91","29","12","3","90.63"
"104","Glen Metropolit","MTL","C","69","123.01666666667","197","32","86.03","146","29","83.43","103","25","80.47","18","1","94.74","13.27","2.74","82.86","93","18","83.78","39","10","79.59","11","1","91.67","54","8","87.10","4","0","100.00","93","6","93.94","3","0","100.00","17.48","96.00","1.135","66","12","3","75","95.65","88","21","4","95.65"
"486","Lee Stempniak","PHX, TOR","R","80","214.3","357","58","86.02","267","47","85.03","201","37","84.45","23","5","82.14","24.44","3.33","88.01","154","26","85.56","59","13","81.94","7","3","70.00","95","13","87.96","3","0","100.00","190","20","90.48","12","1","92.31","11.44","86.49","0.979","113","20","3","71","97.41","193","42","10","95.07"
"65","Ed Jovanovski","PHX","D","66","195.45","301","49","86.00","226","42","84.33","164","29","84.97","20","4","83.33","17.85","2.89","86.05","137","27","83.54","63","12","84.00","11","2","84.62","74","15","83.15","4","0","100.00","151","17","89.88","5","2","71.43","12.20","86.21","0.984","108","17","5","60","95.58","174","32","12","93.55"
"162","Mike Mottau","N.J","D","79","51","55","9","85.94","37","9","80.43","30","4","88.24","2","0","100.00","2.63","0.58","81.98","22","4","84.62","7","3","70.00","1","0","100.00","15","1","93.75","1","0","100.00","28","4","87.50","0","0","-","6.67","100.00","1.067","15","9","4","84","78.95","26","12","4","86.67"
"716","Nikolay Kulemin","TOR","L","78","128.01666666667","214","35","85.94","152","29","83.98","101","19","84.17","6","1","85.71","12.47","2.1","85.60","93","22","80.87","30","12","71.43","2","0","100.00","63","10","86.30","3","1","75.00","114","10","91.94","1","0","100.00","5.94","94.74","1.007","65","12","2","48","97.01","118","22","4","96.72"
"223","Martin Havlat","MIN","R","73","250.7","421","69","85.92","327","59","84.72","242","49","83.16","29","12","70.73","27.92","6.05","82.19","204","46","81.60","98","21","82.35","15","5","75.00","106","25","80.92","7","6","53.85","201","14","93.49","7","1","87.50","11.98","75.51","0.875","126","22","0","55","100.00","237","42","7","97.13"
"681","Nick Foligno","OTT","L","61","103.41666666667","128","21","85.91","98","18","84.48","76","15","83.52","9","2","81.82","7.78","1.25","86.12","61","10","85.92","20","6","76.92","7","1","87.50","41","4","91.11","0","1","0.00","62","7","89.86","2","0","100.00","11.84","86.67","0.985","45","13","5","53","90.00","69","30","7","90.79"
"220","Taylor Pyatt","PHX","L","74","55.566666666667","67","11","85.90","49","9","84.48","33","9","78.57","5","0","100.00","4.28","0.33","92.80","31","5","86.11","14","1","93.33","3","0","100.00","17","4","80.95","1","0","100.00","32","3","91.43","1","0","100.00","15.15","100.00","1.152","28","11","2","45","93.33","35","12","5","87.50"
"153","Maxim Afinogenov","ATL","R","82","257.71666666667","365","60","85.88","270","50","84.38","203","38","84.23","28","3","90.32","23.9","4","85.65","153","34","81.82","70","18","79.55","16","2","88.89","83","16","83.84","2","1","66.67","188","22","89.52","10","0","100.00","13.79","92.11","1.059","118","21","5","107","95.93","184","43","14","92.93"
