"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"8","Claude Lemieux","S.J","R","18","0.6","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","4","100.00","1","0","0","100.00"
"44","Jassen Cullimore","FLA","D","68","3.8333333333333","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","3","0","100.00","1","0","100.00","33.33","-","0.33","2","2","0","7","100.00","4","2","0","100.00"
"58","Derek Armstrong","L.A","C","56","8.5666666666667","7","0","100.00","5","0","100.00","2","0","100.00","1","0","100.00","0.31","0","100.00","4","0","100.00","0","0","-","0","0","-","4","0","100.00","1","0","100.00","3","0","100.00","0","0","-","50.00","-","0.50","9","7","1","14","90.00","9","8","1","90.00"
"64","Chris Gratton","CBJ, T.B","C","24","1.85","3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","6","-","0","0","0","-"
"73","Shean Donovan","OTT","R","65","1","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.11","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","1","0","7","-","0","1","0","-"
"91","Scott Nichol","NSH","C","43","3.15","5","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.2","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","4","5","0","11","100.00","6","5","0","100.00"
"97","Wade Belak","FLA, NSH","R","53","1.0833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","4","0","0","3","100.00","4","0","0","100.00"
"101","Ryan Johnson","VAN","C","62","3.7","3","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.25","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","4","5","1","6","80.00","6","6","3","66.67"
"105","Jason Strudwick","EDM","D","71","3.2","4","0","100.00","1","0","100.00","0","0","-","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","-","-","-","3","3","0","6","100.00","3","3","0","100.00"
"126","Jay McKee","STL","D","69","3.9333333333333","5","0","100.00","4","0","100.00","4","0","100.00","1","0","100.00","0.45","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","25.00","-","0.25","2","3","0","15","100.00","3","5","0","100.00"
"161","Trent Whitfield","STL","C","3","2.0833333333333","6","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.39","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"163","Matt Bradley","WSH","R","81","9.8166666666667","10","0","100.00","8","0","100.00","6","0","100.00","0","0","-","0.68","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","8","3","3","15","72.73","9","5","3","75.00"
"164","Brian Willsie","COL","R","42","7.55","6","0","100.00","4","0","100.00","2","0","100.00","0","0","-","0.5","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","4","3","0","14","100.00","7","5","0","100.00"
