Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
1,A.J. Greer,24-25,FLA,L,81,777.05,6,10,1,17,86,124,162,11.38,6.98,4.84,9.18,30,43,8,218,84,35,23,6,6,-12,16,31,-15
2,Aaron Ekblad,24-25,FLA,D,56,1316.65,3,14,16,33,106,178,291,5.48,2.83,1.69,3.08,64,57,23,89,53,24,15,1,1,-9,0,0,0
3,Aatu Raty,24-25,VAN,C,33,351.68,7,2,2,11,34,47,60,3.99,20.59,14.89,8.49,7,8,2,80,20,7,5,0,0,-2,192,141,51
4,Adam Boqvist,24-25,FLA,D,18,231.17,2,3,1,6,21,30,53,1.08,9.52,6.67,3.6,10,8,4,6,15,3,0,0,0,-3,0,0,0
5,Adam Boqvist,24-25,NYI,D,17,261.35,2,2,4,8,19,29,52,1.13,10.53,6.9,3.9,9,13,0,7,16,2,1,0,0,-1,0,0,0
6,Adam Edstrom,24-25,NYR,C,51,472.95,5,3,1,9,41,60,73,7.61,12.2,8.33,12.68,34,19,7,94,34,6,8,1,1,2,0,4,-4
7,Adam Fantilli,24-25,CBJ,C,82,1433.18,32,13,9,54,192,281,395,20.02,16.67,11.39,7.12,56,89,23,112,98,9,21,0,0,12,420,600,-180
8,Adam Fox,24-25,NYR,D,74,1720.4,10,30,21,61,135,208,339,12.31,7.41,4.81,5.92,108,76,40,40,92,16,12,0,0,-4,0,0,0
9,Adam Gaudette,24-25,OTT,R,81,844.22,19,4,3,26,91,138,192,12.97,20.88,13.77,9.4,28,38,8,68,60,6,3,0,0,-3,176,174,2
10,Adam Henrique,24-25,EDM,C,81,1186.17,12,5,10,27,104,147,181,14.11,11.54,8.16,9.6,85,57,19,58,48,8,4,0,0,-4,562,448,114
11,Adam Klapka,24-25,CGY,R,31,299.22,6,4,0,10,44,59,75,4.77,13.64,10.17,8.08,25,11,6,107,32,7,4,1,1,-3,6,11,-5
12,Adam Larsson,24-25,SEA,D,82,1737.23,7,9,12,28,111,180,263,6.55,6.31,3.89,3.64,147,55,33,104,87,13,4,1,1,-9,0,0,0
13,Adam Lowry,24-25,WPG,C,73,1126.27,16,8,10,34,99,163,196,17.27,16.16,9.82,10.6,60,44,20,140,87,4,7,4,4,3,615,573,42
14,Adam Pelech,24-25,NYI,D,60,1267.78,0,4,16,20,109,182,278,5.2,0,0,2.86,87,58,36,72,120,16,7,0,1,-8,0,0,0
15,Adam Wilsby,24-25,NSH,D,23,416.27,1,1,3,5,34,45,76,1.56,2.94,2.22,3.47,17,24,10,18,42,3,3,0,0,0,0,0,0
