Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
16,Adrian Kempe,24-25,L.A,R,81,1551.62,35,27,11,73,236,366,496,28.32,14.83,9.56,7.74,36,78,13,99,57,18,20,0,0,2,11,13,-2
17,Akil Thomas,24-25,L.A,C,25,247.85,1,1,1,3,20,27,36,3.01,5,3.7,11.15,12,5,1,42,31,1,2,1,1,1,18,23,-5
18,Albert Johansson,24-25,DET,D,61,998.02,3,2,4,9,48,73,130,1.92,6.25,4.11,2.63,83,54,15,70,118,10,10,0,0,0,0,0,0
19,Alec Martinez,24-25,CHI,D,44,824.05,5,0,7,12,38,68,116,1.7,13.16,7.35,2.5,81,41,9,24,64,4,0,0,0,-4,0,0,0
20,Aleksander Barkov,24-25,FLA,C,67,1357.28,20,27,24,71,148,234,301,21.34,13.51,8.55,9.12,54,52,34,87,63,8,13,0,0,5,580,446,134
21,Alex Alexeyev,24-25,WSH,D,8,128.57,0,0,0,0,7,12,15,0.15,0,0,1.25,14,7,2,9,16,0,0,0,0,0,0,0,0
22,Alex Carrier,24-25,MTL,D,51,1062.72,2,7,8,17,59,84,125,2.55,3.39,2.38,3.04,120,38,9,44,131,14,5,0,0,-9,0,0,0
23,Alex Carrier,24-25,NSH,D,28,563.65,1,4,2,7,23,37,57,1.36,4.35,2.7,3.68,49,26,13,31,69,6,9,0,0,3,0,0,0
24,Alex Debrincat,24-25,DET,R,82,1464.93,39,23,8,70,244,358,456,32.33,15.98,10.89,9.03,38,71,29,33,96,12,26,1,1,14,26,32,-6
25,Alex Holtz,24-25,VGK,R,53,614,4,4,4,12,69,110,136,7.99,5.8,3.64,7.26,15,35,3,39,61,5,4,0,0,-1,3,10,-7
26,Alex Iafallo,24-25,WPG,L,82,1089.05,15,12,4,31,109,156,189,14.45,13.76,9.62,9.26,61,30,26,53,35,5,7,1,1,2,12,13,-1
27,Alex Kerfoot,24-25,UTA,C,81,1235.53,11,12,5,28,98,146,175,15.88,11.22,7.53,10.88,67,78,30,58,120,7,16,0,0,9,259,234,25
28,Alex Killorn,24-25,ANA,L,82,1416.63,19,11,7,37,133,203,287,16.1,14.29,9.36,7.93,23,62,11,77,71,15,14,0,0,-1,8,13,-5
29,Alex Laferriere,24-25,L.A,R,77,1272.95,19,15,8,42,193,300,384,23.96,9.84,6.33,7.99,43,48,14,124,104,10,14,0,0,4,36,61,-25
30,Alex Newhook,24-25,MTL,C,82,1240.83,15,6,5,26,118,197,264,18.5,12.71,7.61,9.39,32,38,15,89,103,12,10,0,0,-2,239,319,-80
31,Alex Ovechkin,24-25,WSH,L,65,1152.08,44,19,10,73,236,355,508,30.44,18.64,12.39,8.57,13,47,12,110,28,7,3,0,0,-4,0,2,-2
32,Alex Petrovic,24-25,DAL,D,5,70.53,0,0,0,0,5,10,16,0.3,0,0,3,6,5,1,10,6,2,0,0,0,-2,0,0,0
33,Alex Pietrangelo,24-25,VGK,D,71,1590.55,4,14,15,33,123,202,291,7,3.25,1.98,3.47,139,106,25,41,100,8,8,0,0,0,0,0,0
34,Alex Romanov,24-25,NYI,D,64,1427.63,4,8,8,20,99,145,252,3.76,4.04,2.76,2.59,165,81,24,148,159,10,10,0,0,0,0,0,0
35,Alex Steeves,24-25,TOR,C,7,69.23,1,0,1,2,7,11,12,0.98,14.29,9.09,8.91,1,0,0,19,11,0,1,0,0,1,0,0,0
36,Alex Texier,24-25,STL,C,31,387.12,6,4,1,11,50,71,89,5.27,12,8.45,7.42,11,13,5,20,15,5,4,0,0,-1,0,2,-2
37,Alex Tuch,24-25,BUF,R,82,1578.85,36,15,16,67,197,314,392,30.57,18.27,11.46,9.74,113,75,46,73,54,16,10,3,3,-6,77,111,-34
38,Alex Turcotte,24-25,L.A,C,68,797.57,9,11,5,25,79,121,148,11.4,11.39,7.44,9.42,30,39,9,46,100,10,6,0,0,-4,54,67,-13
39,Alex Vlasic,24-25,CHI,D,82,1907.55,4,12,14,30,103,149,211,4.19,3.88,2.68,2.81,157,97,53,59,151,6,7,0,0,1,0,0,0
40,Alex Wennberg,24-25,S.J,C,77,1452,10,13,12,35,82,123,182,12.19,12.2,8.13,9.91,80,41,38,30,68,7,20,0,0,13,508,562,-54
41,Alexei Toropchenko,24-25,STL,R,80,999.4,4,6,8,18,90,123,171,10.12,4.44,3.25,8.23,53,24,6,223,97,10,8,1,2,-1,4,5,-1
42,Alexis Lafrenière,24-25,NYR,L,82,1394.45,17,21,7,45,153,239,302,18.57,11.11,7.11,7.77,27,46,25,120,85,14,13,0,0,-1,13,26,-13
43,Aliaksei Protas,24-25,WSH,C,76,1250.67,30,25,11,66,141,217,249,21.78,21.28,13.82,10.04,33,56,19,20,81,10,16,0,0,6,6,19,-13
44,Anders Lee,24-25,NYI,L,82,1398.93,29,16,9,54,233,337,392,39.03,12.45,8.61,11.58,39,67,12,120,86,15,11,1,1,-4,12,15,-3
45,Andre Burakovsky,24-25,SEA,L,79,1139.37,10,18,9,37,116,169,220,12.1,8.62,5.92,7.16,27,38,18,33,96,6,13,0,0,7,3,3,0
46,Andre Lee,24-25,L.A,L,19,173.72,1,2,0,3,16,23,30,2.16,6.25,4.35,9.39,10,8,4,35,33,3,4,1,1,1,0,0,0
47,Andreas Athanasiou,24-25,CHI,C,8,80.22,1,0,0,1,8,12,15,1.06,12.5,8.33,8.83,6,2,2,6,1,0,0,0,0,0,26,30,-4
48,Andreas Englund,24-25,L.A,D,11,113.78,1,0,0,1,4,6,7,0.07,25,16.67,1.17,7,8,1,21,13,1,0,2,2,-1,0,0,0
49,Andreas Englund,24-25,NSH,D,24,350.33,0,1,1,2,13,20,36,0.39,0,0,1.95,33,15,5,58,29,3,1,4,4,-2,0,0,0
51,Andrei Kuzmenko,24-25,L.A,L,22,363.28,5,8,4,17,30,56,75,5.34,16.67,8.93,9.54,11,21,7,8,29,1,5,0,0,4,0,0,0
52,Andrei Kuzmenko,24-25,PHI,L,7,119.98,2,1,2,5,13,18,21,1.84,15.38,11.11,10.22,2,9,1,3,6,0,2,0,0,2,0,0,0
53,Andrei Svechnikov,24-25,CAR,R,72,1232.2,20,18,10,48,179,276,377,28.49,11.17,7.25,10.32,22,99,17,148,80,27,24,1,1,-3,1,3,-2
54,Andrew Copp,24-25,DET,C,56,823.33,10,10,3,23,68,99,119,12.68,14.71,10.1,12.81,35,37,18,9,38,4,4,0,0,0,317,310,7
55,Andrew Mangiapane,24-25,WSH,L,81,1055.13,14,9,5,28,95,141,183,15.58,14.74,9.93,11.05,30,49,11,74,53,12,18,0,0,6,5,7,-2
56,Andrew Peeke,24-25,BOS,D,76,1414.67,1,9,7,17,80,127,205,3.44,1.25,0.79,2.71,126,98,15,105,166,5,2,1,1,-3,0,0,0
57,Angus Crookshank,24-25,OTT,L,8,78.67,0,1,0,1,9,12,21,1.03,0,0,8.58,4,6,0,11,12,0,1,0,0,1,1,2,-1
58,Anthony Beauvillier,24-25,PIT,L,63,819.17,13,3,4,20,118,165,212,14.77,11.02,7.88,8.95,25,21,15,108,60,7,15,0,0,8,4,7,-3
59,Anthony Beauvillier,24-25,WSH,L,18,223.63,2,1,2,5,29,43,52,3.51,6.9,4.65,8.16,10,8,0,31,18,0,1,0,0,1,7,6,1
60,Anthony Cirelli,24-25,T.B,C,80,1495.23,27,16,16,59,161,234,292,28.36,16.77,11.54,12.12,72,66,21,25,90,14,23,0,0,9,647,645,2
61,Anthony Duclair,24-25,NYI,L,44,661.37,7,4,0,11,61,89,121,7.23,11.48,7.87,8.12,21,43,9,26,40,5,10,0,0,5,0,1,-1
62,Anthony Mantha,24-25,CGY,R,13,180.73,4,2,1,7,15,28,35,2.44,26.67,14.29,8.71,8,7,3,15,8,3,1,1,1,-2,3,6,-3
63,Anthony Richard,24-25,PHI,C,15,185.45,2,4,0,6,19,31,36,1.58,10.53,6.45,5.1,8,6,3,8,9,0,2,0,0,2,0,2,-2
64,Anton Lundell,24-25,FLA,C,79,1320.28,17,19,9,45,157,237,316,18.93,10.83,7.17,7.99,54,60,27,110,84,13,16,0,0,3,542,481,61
65,Anze Kopitar,24-25,L.A,C,81,1535.42,21,29,17,67,97,146,197,16.25,21.65,14.38,11.13,67,65,30,31,48,2,12,0,0,10,879,658,221
66,Arber Xhekaj,24-25,MTL,D,70,1023.68,1,2,3,6,69,108,175,3.32,1.45,0.93,3.07,63,59,16,180,79,29,12,6,6,-17,0,0,0
67,Arshdeep Bains,24-25,VAN,L,13,136.55,1,0,0,1,8,12,16,1.31,12.5,8.33,10.92,7,4,1,17,7,0,0,0,0,0,3,1,2
68,Artem Zub,24-25,OTT,D,56,1155.47,2,4,7,13,57,83,136,3.12,3.51,2.41,3.76,118,50,19,57,77,17,12,0,0,-5,0,0,0
69,Artemi Panarin,24-25,NYR,L,80,1574.65,37,27,24,88,236,397,585,26.93,15.68,9.32,6.78,11,97,25,18,44,8,12,0,0,4,0,1,-1
70,Arthur Kaliyev,24-25,NYR,R,14,156.95,3,1,0,4,21,27,35,1.54,14.29,11.11,5.7,2,4,0,7,10,1,0,0,0,-1,0,0,0
71,Artturi Lehkonen,24-25,COL,L,69,1406.33,27,11,7,45,148,233,292,29.16,18.24,11.59,12.52,39,55,12,33,74,17,11,0,0,-6,7,9,-2
72,Artyom Levshunov,24-25,CHI,D,18,365.68,0,3,3,6,21,35,66,1.13,0,0,3.23,20,26,4,19,37,4,0,0,0,-4,0,0,0
73,Austin Watson,24-25,DET,L,13,102.1,3,0,0,3,13,18,23,1.07,23.08,16.67,5.94,2,5,1,36,15,1,0,1,1,-1,2,1,1
74,Auston Matthews,24-25,TOR,C,67,1371.63,33,27,18,78,260,388,479,40.71,12.69,8.51,10.49,89,62,29,45,38,10,17,0,0,7,695,528,167
75,Barclay Goodrow,24-25,S.J,C,77,1061.33,5,2,1,8,73,110,141,8.92,6.85,4.55,8.11,60,54,26,149,66,20,9,7,7,-11,108,144,-36
76,Barrett Hayton,24-25,UTA,C,82,1320.32,20,13,13,46,152,244,304,30.36,13.16,8.2,12.44,44,46,16,31,104,15,21,1,1,6,555,464,91
77,Beck Malenstyn,24-25,BUF,L,76,800.22,4,5,1,10,67,105,133,6.67,5.97,3.81,6.35,63,39,10,189,101,12,18,1,1,6,19,15,4
78,Ben Chiarot,24-25,DET,D,81,1719.82,4,7,2,13,109,162,261,4.15,3.67,2.47,2.56,142,86,26,127,139,27,17,1,1,-10,0,0,0
79,Ben Hutton,24-25,VGK,D,11,145.57,0,1,1,2,11,20,28,0.41,0,0,2.05,19,4,0,10,25,0,0,0,0,0,0,0,0
80,Ben Jones,24-25,MIN,C,26,217.93,0,0,0,0,25,41,52,1.92,0,0,4.68,11,9,2,51,17,0,2,2,2,2,12,13,-1
81,Ben Meyers,24-25,SEA,C,8,66.82,0,0,0,0,4,5,10,0.46,0,0,9.2,1,1,1,9,7,1,0,0,0,-1,24,25,-1
82,Blake Coleman,24-25,CGY,C/L,82,1450.13,15,16,8,39,193,292,382,27.12,7.77,5.14,9.29,66,78,31,176,66,18,12,0,0,-6,38,41,-3
83,Blake Lizotte,24-25,PIT,C,59,750.63,11,6,3,20,52,79,103,6.82,21.15,13.92,8.63,29,36,10,60,74,13,4,0,0,-9,177,169,8
84,Bo Horvat,24-25,NYI,C,81,1634.02,28,19,10,57,243,360,449,30.45,11.52,7.78,8.46,40,91,22,100,66,8,11,0,0,3,766,553,213
85,Bobby Brink,24-25,PHI,R,79,1171.63,12,15,14,41,105,159,214,15.14,11.43,7.55,9.52,30,58,21,97,78,11,9,0,0,-2,17,40,-23
86,Bobby McMann,24-25,TOR,C,74,1072.75,20,7,7,34,169,235,289,16.7,11.83,8.51,7.11,23,33,16,136,65,11,9,1,1,-2,4,17,-13
87,Bokondji Imama,24-25,PIT,L,16,90.65,1,0,0,1,10,12,13,0.34,10,8.33,2.83,7,3,0,45,7,5,0,2,2,-5,0,0,0
88,Boone Jenner,24-25,CBJ,C,26,467.63,7,6,6,19,71,109,122,12.89,9.86,6.42,11.83,18,24,4,43,14,2,7,0,0,5,105,100,5
89,Bowen Byram,24-25,BUF,D,82,1861.27,7,14,17,38,94,144,209,8.39,7.45,4.86,5.83,116,84,15,74,146,18,11,0,0,-7,0,0,0
90,Brad Lambert,24-25,WPG,C,5,58.03,0,0,1,1,1,4,9,0.18,0,0,4.5,4,1,0,5,4,1,0,0,0,-1,5,10,-5
91,Brad Marchand,24-25,BOS,L,61,1125.68,21,16,10,47,173,250,339,27.84,12.14,8.4,11.14,27,71,19,66,50,26,31,0,0,5,5,7,-2
92,Brad Marchand,24-25,FLA,L,10,176.22,2,2,0,4,19,29,39,2.02,10.53,6.9,6.97,7,15,2,15,6,1,1,0,0,0,0,1,-1
93,Braden Schneider,24-25,NYR,D,80,1429.35,6,6,9,21,95,140,224,3.65,6.32,4.29,2.61,145,96,19,146,214,9,7,0,0,-2,0,0,0
94,Brady Skjei,24-25,NSH,D,82,1795.07,10,10,13,33,156,216,324,7.15,6.41,4.63,3.31,93,101,32,51,89,21,10,0,0,-11,0,0,0
95,Brady Tkachuk,24-25,OTT,L,72,1313.08,29,15,10,54,295,421,506,38.09,9.83,6.89,9.05,33,48,19,228,66,39,31,5,5,-8,178,169,9
96,Brandon Carlo,24-25,BOS,D,63,1183.5,1,1,7,9,65,102,161,2.56,1.54,0.98,2.51,119,82,14,64,92,12,6,0,0,-6,0,0,0
97,Brandon Carlo,24-25,TOR,D,20,384.22,0,0,3,3,13,27,42,0.4,0,0,1.48,38,25,7,26,54,4,0,1,1,-4,0,0,0
98,Brandon Duhaime,24-25,WSH,R,82,1094.18,9,7,5,21,83,137,176,14.02,10.84,6.57,10.23,66,38,12,165,96,14,15,10,10,1,18,25,-7
99,Brandon Hagel,24-25,T.B,L,82,1700.92,35,34,21,90,226,319,444,34.14,15.49,10.97,10.7,60,96,30,59,137,24,27,0,0,3,8,15,-7
151,Chandler Stephenson,24-25,SEA,C,78,1521.73,13,18,20,51,72,104,130,8.02,18.06,12.5,7.71,50,58,30,33,63,12,15,0,0,3,759,716,43
152,Charlie Coyle,24-25,BOS,C,64,1129.23,15,3,4,22,92,144,187,12.51,16.3,10.42,8.69,49,42,38,92,24,9,14,0,0,5,266,275,-9
153,Charlie Coyle,24-25,COL,C,19,281.33,2,7,4,13,23,31,36,3.16,8.7,6.45,10.19,12,12,4,15,16,3,1,0,0,-2,108,121,-13
154,Charlie McAvoy,24-25,BOS,D,50,1184.83,7,7,9,23,99,141,205,5.96,7.07,4.96,4.23,81,72,26,89,122,23,14,0,0,-9,0,0,0
155,Chris Kreider,24-25,NYR,L,68,1139.28,22,3,5,30,151,215,260,23.84,14.57,10.23,11.09,26,39,9,79,27,12,4,0,0,-8,27,41,-14
156,Chris Tanev,24-25,TOR,D,75,1481.2,3,7,8,18,43,66,120,1.58,6.98,4.55,2.39,190,80,10,20,157,12,10,0,0,-2,0,0,0
157,Chris Wagner,24-25,COL,R,28,198.67,1,0,0,1,28,40,47,2.42,3.57,2.5,6.05,13,4,1,57,18,2,4,2,2,2,48,60,-12
158,Christian Dvorak,24-25,MTL,C,82,1249.98,12,15,6,33,104,167,221,16.8,11.54,7.19,10.06,74,66,18,44,84,8,11,0,0,3,591,469,122
159,Christian Fischer,24-25,DET,R,45,501.6,1,3,4,8,30,47,65,3.64,3.33,2.13,7.74,19,14,4,88,34,3,8,1,1,5,9,7,2
160,Claude Giroux,24-25,OTT,R,81,1474.63,15,21,14,50,139,190,238,13.95,10.79,7.89,7.34,41,66,19,64,37,9,13,0,0,4,600,376,224
161,Clayton Keller,24-25,UTA,R,81,1548.57,30,25,35,90,218,333,445,28.64,13.76,9.01,8.6,30,79,27,11,77,14,27,0,0,13,10,20,-10
162,Cody Ceci,24-25,DAL,D,31,627.32,0,3,6,9,31,49,86,1.24,0,0,2.53,55,24,7,24,61,5,5,0,0,0,0,0,0
163,Cody Ceci,24-25,S.J,D,54,1175.68,4,3,8,15,60,81,135,2.16,6.67,4.94,2.67,100,53,16,51,74,7,5,0,0,-2,0,0,0
164,Cody Glass,24-25,N.J,C,14,203.3,2,3,2,7,13,27,36,2.37,15.38,7.41,8.78,7,10,1,10,19,2,1,0,0,-1,64,71,-7
165,Cody Glass,24-25,PIT,C,51,683.97,4,9,2,15,77,112,152,8.02,5.19,3.57,7.16,31,22,11,43,48,6,7,0,0,1,178,160,18
166,Cole Caufield,24-25,MTL,R,82,1482.23,37,22,11,70,238,350,430,29.69,15.55,10.57,8.48,31,56,23,65,66,7,19,0,0,12,6,9,-3
167,Cole Koepke,24-25,BOS,L,73,820.85,10,5,2,17,85,129,162,11.53,11.76,7.75,8.94,26,33,8,177,74,6,8,1,1,2,0,2,-2
168,Cole Perfetti,24-25,WPG,C,82,1245.5,18,18,14,50,140,224,284,21.02,12.86,8.04,9.38,45,55,20,71,83,10,9,0,0,-1,21,46,-25
169,Cole Reinhardt,24-25,OTT,L,17,139.43,1,1,0,2,13,17,22,1.27,7.69,5.88,7.47,2,7,1,37,13,5,1,1,1,-4,1,0,1
170,Cole Schwindt,24-25,VGK,R,42,388.77,1,2,5,8,32,51,68,4.58,3.12,1.96,8.98,17,21,6,41,37,0,9,0,0,9,111,107,4
171,Cole Sillinger,24-25,CBJ,C,66,1116.3,11,14,8,33,129,181,231,13.23,8.53,6.08,7.31,36,50,21,73,84,10,10,1,0,-1,301,349,-48
172,Cole Smith,24-25,NSH,L/R,71,966.15,4,4,4,12,69,101,140,8.85,5.8,3.96,8.76,29,41,18,162,116,12,15,7,6,2,9,8,1
173,Colin Blackwell,24-25,DAL,C,63,728.45,6,7,4,17,63,86,129,6.48,9.52,6.98,7.53,23,34,15,84,66,8,14,0,1,7,151,157,-6
174,Colin Miller,24-25,WPG,D,60,871.08,4,6,5,15,68,108,188,2.56,5.88,3.7,2.37,50,53,12,84,108,14,13,0,0,-1,0,0,0
175,Collin Graf,24-25,S.J,R,33,523.37,5,4,2,11,40,55,64,4.71,12.5,9.09,8.56,15,15,7,20,19,4,3,0,0,-1,4,8,-4
176,Colton Dach,24-25,CHI,C,25,303.2,2,2,3,7,27,39,47,4.9,7.41,5.13,12.56,12,12,13,86,27,6,7,1,1,1,7,5,2
177,Colton Parayko,24-25,STL,D,64,1520.17,16,10,10,36,125,178,251,8.01,12.8,8.99,4.5,149,86,27,93,126,4,5,0,0,1,0,0,0
178,Colton Sissons,24-25,NSH,C,72,1033.85,7,11,3,21,82,123,151,10.57,8.54,5.69,8.59,67,32,20,99,63,11,9,0,0,-2,342,281,61
179,Connor Bedard,24-25,CHI,C,82,1663.42,23,28,16,67,195,288,402,21.28,11.79,7.99,7.39,37,90,26,47,58,25,15,0,0,-10,251,406,-155
180,Connor Brown,24-25,EDM,R,82,1148.8,13,7,10,30,123,171,212,14.71,10.57,7.6,8.6,37,55,26,19,72,5,4,0,0,-1,16,28,-12
181,Connor Clifton,24-25,BUF,D,73,1171.08,1,6,9,16,63,103,179,3.1,1.59,0.97,3.01,116,67,26,207,150,20,9,1,1,-11,0,0,0
182,Connor Dewar,24-25,PIT,C,17,245.65,4,0,3,7,27,34,51,3.85,14.81,11.76,11.32,19,17,2,49,17,2,4,1,1,2,1,2,-1
183,Connor Dewar,24-25,TOR,C,31,309.12,0,1,2,3,28,38,53,4.03,0,0,10.61,18,19,4,80,31,0,4,1,1,4,52,69,-17
184,Connor McDavid,24-25,EDM,C,67,1476.1,26,50,24,100,197,282,370,29.74,13.2,9.22,10.55,17,74,32,40,63,11,22,1,0,10,370,406,-36
185,Connor McMichael,24-25,WSH,C,82,1378.3,26,13,18,57,178,257,322,28.48,14.61,10.12,11.08,36,68,20,39,64,17,10,1,1,-7,51,58,-7
186,Connor Murphy,24-25,CHI,D,68,1401.82,2,3,14,19,84,118,193,4.19,2.38,1.69,3.55,160,64,17,117,131,22,16,2,2,-6,0,0,0
187,Connor Zary,24-25,CGY,C,54,868,13,5,9,27,110,161,211,14.9,11.82,8.07,9.25,26,40,10,26,72,7,9,0,1,3,90,151,-61
188,Conor Garland,24-25,VAN,R,81,1510.85,19,20,10,49,172,271,356,23.63,11.05,7.01,8.72,58,63,20,49,100,16,27,2,3,12,5,13,-8
189,Conor Geekie,24-25,T.B,C,52,640.92,8,4,2,14,58,89,123,6.88,13.79,8.99,7.73,25,29,8,97,80,8,12,0,1,5,73,99,-26
190,Conor Sheary,24-25,T.B,L,5,56.67,0,0,0,0,3,5,8,0.73,0,0,14.6,1,0,0,2,5,2,2,0,0,0,0,1,-1
191,Conor Timmins,24-25,PIT,D,17,318.3,1,3,3,7,18,30,57,0.8,5.56,3.33,2.67,13,15,1,15,26,3,2,0,0,-1,0,0,0
192,Conor Timmins,24-25,TOR,D,51,832.4,2,3,3,8,51,80,132,2.19,3.92,2.5,2.74,77,44,10,40,103,12,5,0,0,-7,0,0,0
193,Corey Perry,24-25,EDM,R,81,966.9,19,6,5,30,99,153,200,17.84,19.19,12.42,11.66,26,44,13,36,72,13,21,5,5,8,17,16,1
194,Corey Schueneman,24-25,STL,D,4,56.2,0,0,0,0,4,6,9,0.11,0,0,1.83,7,2,0,1,5,0,0,0,0,0,0,0,0
195,Craig Smith,24-25,CHI,C,40,466.22,9,6,1,16,73,97,122,5.56,12.33,9.28,5.73,20,26,10,30,24,9,6,0,0,-3,7,13,-6
196,Craig Smith,24-25,DET,C,19,202.77,0,1,1,2,16,32,46,1.87,0,0,5.84,11,12,6,26,16,3,0,0,0,-3,1,2,-1
197,Curtis Lazar,24-25,N.J,C,48,507.22,2,2,1,5,26,39,50,2.63,7.69,5.13,6.74,17,11,3,105,45,7,7,0,0,0,205,195,10
198,Cutter Gauthier,24-25,ANA,L,82,1160.73,20,13,10,43,190,306,410,19.84,10.53,6.54,6.48,51,81,22,68,76,10,13,0,0,3,21,35,-14
199,Dakota Joshua,24-25,VAN,C,57,738.77,7,5,2,14,52,84,109,10.41,13.46,8.33,12.39,29,36,12,193,67,9,5,2,2,-4,23,19,4
201,Damon Severson,24-25,CBJ,D,70,1333.83,6,13,6,25,91,133,197,7.15,6.59,4.51,5.38,104,85,28,43,54,21,10,1,1,-11,0,0,0
202,Daniel Sprong,24-25,N.J,R,11,137.33,0,2,0,2,24,34,50,1.51,0,0,4.44,4,5,1,21,12,0,0,0,0,0,0,1,-1
203,Daniel Sprong,24-25,SEA,R,10,123.68,1,0,1,2,12,23,33,1.41,8.33,4.35,6.13,0,3,2,6,9,0,2,0,0,2,0,1,-1
204,Daniel Sprong,24-25,VAN,R,9,104.9,1,2,0,3,19,23,29,0.66,5.26,4.35,2.87,0,6,1,5,6,1,0,0,0,-1,0,2,-2
205,Daniil Miromanov,24-25,CGY,D,44,777.9,2,3,4,9,52,75,143,2.13,3.85,2.67,2.84,55,42,11,20,57,6,2,0,0,-4,0,0,0
206,Danil Gushchin,24-25,S.J,L,12,147.6,0,1,0,1,16,28,41,2.3,0,0,8.21,6,1,0,6,8,3,2,0,0,-1,1,0,1
207,Dante Fabbro,24-25,CBJ,D,62,1342.35,9,5,12,26,82,130,205,2.58,10.98,6.92,1.98,136,66,23,66,140,20,13,0,0,-7,0,0,0
208,Dante Fabbro,24-25,NSH,D,6,78.55,0,0,0,0,7,9,14,0.19,0,0,2.11,7,12,1,1,5,0,0,0,0,0,0,0,0
209,Danton Heinen,24-25,PIT,L,28,350.87,3,5,3,11,36,52,63,4.81,8.33,5.77,9.25,12,22,8,31,15,0,1,0,0,1,4,9,-5
210,Danton Heinen,24-25,VAN,L,51,711.08,6,4,8,18,44,68,102,6.07,13.64,8.82,8.93,25,26,11,50,42,8,5,1,1,-3,14,19,-5
211,Darnell Nurse,24-25,EDM,D,76,1700.18,5,16,12,33,188,271,393,7.56,2.66,1.85,2.79,136,69,16,160,72,21,9,4,4,-12,0,0,0
212,Darren Raddysh,24-25,T.B,D,73,1262.95,6,12,19,37,109,183,283,5.59,5.5,3.28,3.05,68,55,10,38,114,7,6,0,0,-1,0,0,0
213,David Gustafsson,24-25,WPG,C,36,323.3,2,2,2,6,30,46,58,3.66,6.67,4.35,7.96,18,7,2,19,52,1,1,1,1,0,99,99,0
214,David Jiricek,24-25,CBJ,D,6,67.18,0,0,1,1,5,7,13,0.15,0,0,2.14,4,4,1,6,8,2,3,0,0,1,0,0,0
215,David Jiricek,24-25,MIN,D,6,78.23,1,1,0,2,4,9,12,0.49,25,11.11,5.44,3,11,2,6,10,1,0,0,0,-1,0,0,0
216,David Kampf,24-25,TOR,C,59,731.18,5,7,1,13,45,68,81,6.16,11.11,7.35,9.06,26,30,17,50,47,7,7,0,0,0,278,265,13
217,David Pastrnak,24-25,BOS,R,82,1655.27,43,45,18,106,319,444,624,35.65,13.48,9.68,8.03,24,118,40,58,88,21,35,0,0,14,3,5,-2
