"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"40","Brad May","ANA","L","61","2.1333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","2","2","0","2","100.00","2","3","0","100.00"
"79","Darren McCarty","DET","R","3","0.35","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","0","0","1","100.00","1","0","0","100.00"
"106","Rory Fitzpatrick","PHI","D","19","3.5833333333333","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.15","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","0","0","-","0","0","-","50.00","-","0.50","2","2","0","2","100.00","5","2","0","100.00"
"129","Wade Belak","FLA, TOR","R","47","0.6","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.18","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","1","-","1","0","0","100.00"
"149","Andre Roy","T.B","R","63","7.0666666666667","11","0","100.00","11","0","100.00","10","0","100.00","1","0","100.00","0.92","0","100.00","5","0","100.00","3","0","100.00","1","0","100.00","2","0","100.00","0","0","-","6","0","100.00","0","0","-","10.00","-","0.10","4","2","0","4","100.00","5","3","0","100.00"
"150","Shane Hnidy","ANA, BOS","D","76","11.266666666667","12","0","100.00","9","0","100.00","8","0","100.00","0","0","-","0.65","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","3","3","2","17","60.00","6","3","2","75.00"
"151","Eric Boulton","ATL","L","74","3.1666666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.22","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","7","0","3","8","70.00","7","0","4","63.64"
"164","Jay McKee","STL","D","66","8.4666666666667","11","0","100.00","7","0","100.00","7","0","100.00","1","0","100.00","0.41","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","9","0","100.00","1","0","100.00","14.29","-","0.14","4","3","1","17","80.00","10","3","1","90.91"
"168","Brad Larsen","ATL","L","62","2.9666666666667","5","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.31","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","5","0","2","12","71.43","6","0","3","66.67"
"193","Steve Begin","MTL","L","44","4.4","6","0","100.00","6","0","100.00","2","0","100.00","0","0","-","0.54","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","4","1","0","13","100.00","5","1","0","100.00"
"194","Colin White","N.J","D","57","6.3333333333333","5","0","100.00","4","0","100.00","3","0","100.00","0","0","-","0.23","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","9","4","1","8","90.00","9","8","1","90.00"
"223","Aaron Downey","DET","R","56","2.2666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","0","0","7","100.00","3","1","0","100.00"
"225","Mike Johnson","STL","R","21","8.95","11","0","100.00","9","0","100.00","5","0","100.00","0","0","-","0.75","0","100.00","7","0","100.00","3","0","100.00","0","0","-","4","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","1","1","2","15","33.33","2","2","3","40.00"
"238","Jeremy Reich","BOS","C","58","1.9666666666667","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.15","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","3","100.00","1","1","0","100.00"
"245","Quintin Laing","WSH","L","39","2.0333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","3","0","6","100.00","1","3","0","100.00"
"255","Mark Smith","CGY","C","54","3.3166666666667","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.29","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","3","0","8","100.00","1","3","0","100.00"
"291","Joe DiPenta","ANA","D","23","3.0833333333333","3","0","100.00","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","8","-","0","1","0","-"
"297","Matt Walker","STL","D","43","6.8333333333333","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","3","4","0","15","100.00","3","6","0","100.00"
"300","Rob Davison","NYI, S.J","D","34","4.2333333333333","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.16","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","5","0","0","9","100.00","6","1","2","75.00"
"328","Branislav Mezei","FLA","D","57","2.0333333333333","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0.13","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","0","2","0","7","-","0","2","0","-"
