"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"870","Cameron Butler","CBJ","R","1","0.9","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","1","0","0","0","100.00","3","0","0","100.00"
"538","Cale Fleury","SEA","D","1","13.5","20","5","80.00","16","4","80.00","8","3","72.73","1","0","100.00","0.88","0.21","80.59","11","3","78.57","2","1","66.67","1","0","100.00","9","2","81.82","0","0","-","14","2","87.50","0","0","-","12.50","100.00","1.125","2","1","0","14","100.00","8","3","0","100.00"
"245","Jayson Megna","BOS","C","1","11.75","13","4","76.47","8","4","66.67","6","4","60.00","0","0","-","0.31","0.17","63.87","5","3","62.50","1","1","50.00","0","0","-","4","2","66.67","0","0","-","7","0","100.00","0","0","-","0.00","100.00","1.000","0","1","1","13","0.00","0","2","1","0.00"
"917","Ondrej Pavel","COL","C","2","12.2","15","5","75.00","9","3","75.00","6","3","66.67","0","1","0.00","0.68","0.11","86.01","8","1","88.89","3","0","100.00","0","0","-","5","1","83.33","0","0","-","7","3","70.00","0","1","0.00","0.00","66.67","0.667","1","4","0","15","100.00","3","6","1","75.00"
"798","Mavrik Bourque","DAL","C","1","10.933333333333","20","7","74.07","13","5","72.22","7","4","63.64","0","0","-","0.66","0.2","77.02","6","3","66.67","3","1","75.00","0","0","-","3","2","60.00","0","0","-","14","6","70.00","0","0","-","0.00","100.00","1.000","2","4","3","8","40.00","4","4","3","57.14"
"697","Kirby Dach","MTL","C","2","26.033333333333","33","14","70.21","23","13","63.89","17","11","60.71","3","0","100.00","1.38","0.55","71.61","15","5","75.00","7","4","63.64","2","0","100.00","8","1","88.89","1","0","100.00","17","8","68.00","0","0","-","17.65","100.00","1.176","5","7","1","14","83.33","10","9","4","71.43"
"918","Cole McWard","VAN","D","1","9.0833333333333","9","4","69.23","4","4","50.00","2","2","50.00","0","0","-","0.31","0.29","51.13","2","3","40.00","1","2","33.33","0","0","-","1","1","50.00","0","0","-","8","1","88.89","0","0","-","0.00","100.00","1.000","1","1","0","10","100.00","3","1","1","75.00"
"913","Bradly Nadeau","CAR","L","1","19.133333333333","22","10","68.75","17","8","68.00","11","5","68.75","0","3","0.00","1.03","0.46","69.08","10","5","66.67","3","3","50.00","0","1","0.00","7","2","77.78","0","1","0.00","11","4","73.33","0","1","0.00","0.00","40.00","0.400","1","1","3","17","25.00","2","4","3","40.00"
"498","Brett Murray","BUF","L","2","15.933333333333","10","5","66.67","8","5","61.54","8","2","80.00","0","1","0.00","0.31","0.14","69.44","3","2","60.00","1","0","100.00","0","0","-","2","2","50.00","0","1","0.00","10","4","71.43","0","0","-","0.00","50.00","0.500","4","4","0","15","100.00","8","5","2","80.00"
"454","Matthew Tkachuk","FLA","L","80","1491.2","2222","1141","66.07","1558","900","63.38","1077","657","62.11","128","60","68.09","132.61","61.39","68.35","1177","524","69.19","529","233","69.42","62","28","68.89","648","291","69.01","42","23","64.62","1291","638","66.93","19","4","82.61","11.88","90.87","1.028","369","288","143","949","72.07","747","399","294","71.76"
