"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"28","Radek Dvorak","ANA","R","9","0.65","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","1","1","1","50.00","2","1","1","66.67"
"36","Marty Reasoner","NYI","C","31","1.9833333333333","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.25","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","1","0","6","100.00","3","2","0","100.00"
"41","Steve Begin","CGY","L","36","0.96666666666667","3","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.48","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","50.00","-","0.50","3","2","0","4","100.00","5","3","0","100.00"
"45","Toni Lydman","ANA","D","35","8.7","7","0","100.00","6","0","100.00","4","0","100.00","1","0","100.00","0.55","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","4","0","100.00","0","0","-","25.00","-","0.25","7","2","0","19","100.00","10","2","0","100.00"
"61","Scott Hannan","NSH, S.J","D","33","0.55","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","100.00","-","1.00","3","3","0","2","100.00","3","3","0","100.00"
"67","Andrew Ference","BOS","D","48","7.9","11","0","100.00","9","0","100.00","5","0","100.00","0","0","-","0.7","0","100.00","5","0","100.00","3","0","100.00","0","0","-","2","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","4","1","0","10","100.00","7","1","2","77.78"
"70","Tom Kostopoulos","N.J","R","15","1.8","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","5","-","0","0","0","-"
"75","Bryan Allen","ANA","D","41","4.1333333333333","3","0","100.00","3","0","100.00","1","0","100.00","1","0","100.00","0.37","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","1","0","100.00","0","0","-","0","0","-","100.00","-","1.00","4","0","0","6","100.00","4","0","0","100.00"
"83","John Erskine","WSH","D","30","3.3833333333333","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","3","1","0","9","100.00","3","1","0","100.00"
"93","Rob Scuderi","L.A","D","48","7.0166666666667","8","0","100.00","4","0","100.00","3","0","100.00","0","0","-","0.39","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","6","4","0","24","100.00","7","5","0","100.00"
"101","Jeff Halpern","MTL, NYR","C","46","1.3166666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","0","1","3","75.00","3","0","1","75.00"
"105","Barret Jackman","STL","D","46","1.5166666666667","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.81","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","100.00","-","1.00","2","0","0","8","100.00","2","0","0","100.00"
"109","Matt Carkner","NYI","D","22","0.4","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","2","100.00","2","1","0","100.00"
"110","Chris Kelly","BOS","C","34","3.75","8","0","100.00","6","0","100.00","4","0","100.00","1","0","100.00","0.52","0","100.00","5","0","100.00","2","0","100.00","1","0","100.00","3","0","100.00","0","0","-","2","0","100.00","0","0","-","25.00","-","0.25","4","2","2","8","66.67","5","2","2","71.43"
"119","Douglas Murray","PIT, S.J","D","43","2.2833333333333","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.23","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","2","1","6","0.00","0","2","1","0.00"
"120","Jerred Smithson","EDM, FLA","C","45","2.1166666666667","6","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","2","1","1","8","66.67","5","1","1","83.33"
"128","Rostislav Klesla","PHX","D","38","1.15","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","1","9","66.67","2","0","1","66.67"
"132","Brooks Orpik","PIT","D","46","6.9833333333333","6","0","100.00","4","0","100.00","4","0","100.00","1","0","100.00","0.87","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","2","0","100.00","0","0","-","25.00","-","0.25","5","5","0","16","100.00","6","6","0","100.00"
"133","Anton Volchenkov","N.J","D","37","2.3333333333333","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.24","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","6","100.00","3","0","0","100.00"
"148","Greg Zanon","COL","D","44","4.7333333333333","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.35","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","5","3","0","9","100.00","5","3","0","100.00"
"152","Paul Gaustad","NSH","C","23","12.383333333333","14","0","100.00","11","0","100.00","9","0","100.00","0","0","-","0.84","0","100.00","7","0","100.00","2","0","100.00","0","0","-","5","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","11","2","0","10","100.00","14","3","0","100.00"
"166","Colby Armstrong","MTL","R","37","2.4166666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.12","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","2","0","5","100.00","3","3","0","100.00"
"168","David Steckel","ANA, TOR","C","34","1.4833333333333","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.15","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","2","0","5","-","1","2","0","100.00"
"170","Tim Jackman","CGY","R","42","4","12","0","100.00","10","0","100.00","9","0","100.00","1","0","100.00","1.18","0","100.00","7","0","100.00","5","0","100.00","1","0","100.00","2","0","100.00","0","0","-","4","0","100.00","0","0","-","11.11","-","0.11","5","1","0","6","100.00","7","1","0","100.00"
"175","Jay McClement","TOR","C","48","3.2","3","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","2","0","4","100.00","4","3","0","100.00"
"188","Andrew Alberts","VAN","D","24","0.33333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","1","0","0","100.00"
"195","Zbynek Michalek","PHX","D","34","6.1166666666667","6","0","100.00","6","0","100.00","5","0","100.00","2","0","100.00","0.56","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","3","0","100.00","1","0","100.00","40.00","-","0.40","2","6","2","14","50.00","4","6","2","66.67"
"200","Zenon Konopka","MIN","C","37","2.2666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","8","-","0","0","0","-"
"212","Matt Greene","L.A","D","5","1.1833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
