Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
688,Scott Sabourin,25-26,T.B,R,17,131.08,1,2,1,4,8,17,19,2.01,12.5,5.88,11.82,10,6,0,37,15,10,5,4,4,-5,0,2,-2
689,Sean Couturier,25-26,PHI,C,61,1046.48,6,9,13,28,95,145,190,12.3,6.32,4.14,8.48,36,57,26,67,39,12,10,0,0,-2,541,470,71
690,Sean Durzi,25-26,UTA,D,42,854.68,5,7,10,22,66,100,179,4.65,7.58,5,4.65,70,51,7,24,73,10,8,0,0,-2,0,0,0
691,Sean Kuraly,25-26,BOS,C,63,860.02,5,7,5,17,83,120,148,8.99,6.02,4.17,7.49,39,48,14,68,40,8,6,1,1,-2,275,283,-8
692,Sean Monahan,25-26,CBJ,C,58,1016.8,12,8,10,30,101,136,176,15.5,11.88,8.82,11.4,26,43,18,30,33,6,10,0,0,4,526,455,71
693,Sean Walker,25-26,CAR,D,63,1388.73,6,6,8,20,130,200,356,8.03,4.62,3,4.02,96,75,23,100,145,23,13,1,1,-10,0,0,0
694,Sebastian Aho,25-26,CAR,C,63,1242.73,23,28,14,65,144,242,307,22.42,15.97,9.5,9.26,19,87,26,53,55,13,16,0,0,3,482,468,14
695,Seth Jarvis,25-26,CAR,C,55,1046.62,27,12,13,52,170,244,277,26.36,15.88,11.07,10.8,23,46,32,75,94,3,14,0,0,11,28,39,-11
696,Seth Jones,25-26,FLA,D,40,939.95,6,6,12,24,78,130,194,4.88,7.69,4.62,3.75,47,52,10,38,57,8,7,0,0,-1,0,0,0
697,Shakir Mukhamadullin,25-26,S.J,D,31,518.85,4,1,3,8,27,39,64,0.92,14.81,10.26,2.36,40,34,4,16,52,7,2,0,0,-5,0,0,0
698,Shane Pinto,25-26,OTT,C,52,978.13,17,10,6,33,117,184,231,21.67,14.53,9.24,11.78,37,36,18,73,62,18,16,0,0,-2,296,286,10
699,Shane Wright,25-26,SEA,C,62,866.38,11,8,4,23,89,136,163,14.24,12.36,8.09,10.47,50,62,12,49,67,4,4,0,0,0,179,274,-95
