Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
468,Kyle Burroughs,23-24,S.J,D,73,1397.6,2,3,3,8,79,122,194,3.69,2.53,1.64,3.02,134,20,29,223,126,28,13,3,3,-15,0,0,0
469,Kyle Connor,23-24,WPG,L,65,1282.1,34,13,14,61,221,290,398,24.27,15.38,11.72,8.37,19,31,39,13,44,3,8,0,1,6,2,5,-3
470,Kyle MacLean,23-24,NYI,C,32,323.28,4,3,2,9,26,38,43,2.87,15.38,10.53,7.55,6,9,8,57,18,3,6,1,1,3,105,142,-37
471,Kyle Okposo,23-24,BUF,R,61,830.45,12,7,3,22,107,145,183,12.14,11.21,8.28,8.37,34,11,19,60,58,11,8,0,0,-3,129,142,-13
472,Kyle Okposo,23-24,FLA,R,6,64.18,0,0,0,0,8,9,12,0.34,0,0,3.78,1,1,1,12,6,1,0,0,0,-1,2,2,0
473,Kyle Palmieri,23-24,NYI,C,82,1411.08,30,10,14,54,220,313,385,35.28,13.64,9.58,11.27,42,37,21,87,87,14,23,0,0,9,13,21,-8
474,Landon Slaggert,23-24,CHI,L,16,180.23,1,1,2,4,14,21,27,1.7,7.14,4.76,8.1,6,2,6,14,13,2,4,0,0,2,0,5,-5
475,Lars Eller,23-24,PIT,C,82,1309.17,15,8,8,31,154,226,300,17.96,9.74,6.64,7.95,56,37,54,53,103,16,20,0,0,4,487,445,42
476,Lawson Crouse,23-24,ARI,L,81,1362.18,23,15,4,42,172,233,309,20.97,13.37,9.87,9,57,28,35,175,59,13,16,2,2,3,28,62,-34
477,Leo Carlsson,23-24,ANA,C,55,996.02,12,11,6,29,109,144,184,11.88,11.01,8.33,8.25,25,34,41,27,39,8,16,0,0,8,195,366,-171
478,Leon Draisaitl,23-24,EDM,C,81,1676.33,41,38,27,106,217,327,426,29.07,18.89,12.54,8.89,26,92,82,56,142,28,21,0,0,-7,826,625,201
479,Liam Foudy,23-24,NSH,C,12,121.77,0,2,1,3,7,13,22,0.83,0,0,6.38,4,1,3,6,12,1,4,0,0,3,0,0,0
480,Liam O'Brien,23-24,ARI,C,75,729.7,5,7,2,14,72,103,133,8.57,6.94,4.85,8.32,33,14,9,226,79,19,8,11,11,-11,6,22,-16
481,Liam Ohgren,23-24,MIN,L,4,58.05,1,0,1,2,8,11,14,0.64,12.5,9.09,5.82,0,0,2,2,5,0,1,0,0,1,0,2,-2
482,Logan Cooley,23-24,ARI,C,82,1296.82,20,18,6,44,150,216,283,17.96,13.33,9.26,8.31,27,52,31,50,142,9,26,0,0,17,262,427,-165
483,Logan Couture,23-24,S.J,C,6,112.52,0,1,0,1,7,14,20,1.27,0,0,9.07,8,1,2,8,4,2,1,0,0,-1,46,50,-4
484,Logan Morrison,23-24,SEA,C,4,52.53,0,0,0,0,6,10,16,0.93,0,0,9.3,8,0,3,2,4,0,1,0,0,1,14,17,-3
485,Logan O'Connor,23-24,COL,R,57,852.17,13,7,5,25,85,130,174,12.3,15.29,10,9.46,38,12,38,58,80,12,8,2,2,-4,29,35,-6
486,Logan Stankoven,23-24,DAL,C,24,352.13,6,5,3,14,51,78,104,7.15,11.76,7.69,9.17,11,8,13,20,34,2,7,0,0,5,11,6,5
487,Logan Stanley,23-24,WPG,D,25,344.18,1,0,1,2,29,45,69,0.81,3.45,2.22,1.8,40,15,5,43,35,8,1,4,4,-7,0,0,0
488,Louie Belpedio,23-24,PHI,D,12,158.43,2,1,1,4,12,14,21,0.54,16.67,14.29,3.86,18,2,4,16,7,0,0,0,0,0,0,0,0
489,Louis Crevier,23-24,CHI,D,24,376.4,0,1,2,3,18,22,42,0.37,0,0,1.68,50,9,4,29,35,2,0,0,0,-2,0,0,0
490,Lucas Johansen,23-24,WSH,D,6,85.6,0,1,0,1,4,6,9,0.15,0,0,2.5,7,2,3,1,7,2,0,0,0,-2,0,0,0
491,Lucas Raymond,23-24,DET,L,82,1455.65,31,24,17,72,163,227,311,22.17,19.02,13.66,9.77,27,25,48,68,146,15,39,0,1,25,4,6,-2
492,Lukas Reichel,23-24,CHI,L,65,917.18,5,7,4,16,84,104,136,10.14,5.95,4.81,9.75,25,35,33,27,50,6,7,0,0,1,86,112,-26
493,Lukas Rousek,23-24,BUF,R,15,159.42,0,1,1,2,4,8,12,0.48,0,0,6,7,0,3,4,12,0,1,0,0,1,3,0,3
494,Luke Evangelista,23-24,NSH,R,80,1116.43,16,17,6,39,172,222,278,18.92,9.3,7.21,8.52,23,46,38,29,113,9,18,0,0,9,1,3,-2
495,Luke Glendening,23-24,T.B,C,81,942.1,10,1,0,11,57,83,111,6.97,17.54,12.05,8.4,53,4,11,122,109,12,7,1,1,-5,531,417,114
496,Luke Hughes,23-24,N.J,D,82,1760.9,9,16,22,47,135,199,401,7.4,6.67,4.52,3.72,55,69,42,24,132,14,21,0,1,8,0,0,0
497,Luke Kunin,23-24,S.J,C,77,1212.03,11,7,0,18,98,146,196,12.95,11.22,7.53,8.87,60,15,22,154,67,19,20,9,9,1,218,262,-44
498,Luke Schenn,23-24,NSH,D,63,956.62,1,4,2,7,81,109,188,2.49,1.23,0.92,2.28,76,41,14,196,97,12,2,5,5,-10,0,0,0
499,Mackenzie Entwistle,23-24,CHI,R,67,762.93,5,2,4,11,66,96,127,7.55,7.58,5.21,7.86,32,12,29,131,60,11,11,3,3,0,172,221,-49
501,MacKenzie Weegar,23-24,CGY,D,82,1880.18,20,14,18,52,208,285,471,9.05,9.62,7.02,3.18,200,75,46,189,115,24,9,1,1,-15,0,0,0
502,Mackie Samoskevich,23-24,FLA,R,7,84.27,0,0,0,0,11,15,17,0.86,0,0,5.73,3,5,1,5,10,0,1,0,0,1,0,1,-1
503,Marat Khusnutdinov,23-24,MIN,C,16,209.77,1,0,3,4,6,16,21,1.34,16.67,6.25,8.38,9,4,7,13,12,3,3,0,0,0,50,53,-3
504,Marc-Edouard Vlasic,23-24,S.J,D,57,928.05,6,2,4,12,72,108,158,2.99,8.33,5.56,2.77,108,27,16,31,43,8,4,0,0,-4,0,0,0
505,Marc Del Gaizo,23-24,NSH,D,9,148.15,0,0,3,3,8,13,26,0.36,0,0,2.77,10,4,4,19,10,1,2,0,0,1,0,0,0
506,Marc Staal,23-24,PHI,D,35,482.78,1,2,2,5,20,37,59,1.38,5,2.7,3.73,44,9,4,30,30,7,3,0,0,-4,0,0,0
507,Marco Rossi,23-24,MIN,C,82,1371.87,21,10,9,40,167,238,295,21.82,12.57,8.82,9.17,37,21,33,34,69,16,29,1,1,13,335,414,-79
508,Marco Scandella,23-24,STL,D,65,810.8,2,4,2,8,42,67,107,2.48,4.76,2.99,3.7,49,16,22,70,64,5,5,1,1,0,0,0,0
509,Marcus Foligno,23-24,MIN,L,55,796.52,10,8,4,22,56,84,108,9.31,17.86,11.9,11.08,40,18,26,177,41,12,11,7,7,-1,7,11,-4
510,Marcus Johansson,23-24,MIN,L,78,1239.25,11,9,10,30,113,173,247,12.72,9.73,6.36,7.35,29,33,26,43,95,11,17,0,0,6,6,26,-20
511,Marcus Pettersson,23-24,PIT,D,82,1859.02,4,8,18,30,106,176,267,4.28,3.77,2.27,2.43,159,32,26,116,203,17,8,2,2,-9,0,0,0
512,Mario Ferraro,23-24,S.J,D,78,1783.8,3,9,9,21,124,169,270,5.53,2.42,1.78,3.27,195,30,24,119,95,18,8,0,0,-10,0,0,0
513,Mark Friedman,23-24,VAN,D,23,281.35,0,0,1,1,16,33,45,0.76,0,0,2.3,35,3,2,32,39,3,7,1,1,4,0,0,0
514,Mark Giordano,23-24,TOR,D,46,764.38,3,2,4,9,59,83,147,2.63,5.08,3.61,3.17,86,27,9,54,89,14,4,1,1,-10,0,0,0
515,Mark Jankowski,23-24,NSH,C,32,406,7,2,6,15,48,73,90,7.39,14.58,9.59,10.12,11,12,18,7,23,4,2,0,0,-2,82,81,1
516,Mark Kastelic,23-24,OTT,C,63,486.63,5,1,4,10,61,78,90,6.56,8.2,6.41,8.41,31,15,13,122,59,14,14,7,7,0,190,159,31
517,Mark Scheifele,23-24,WPG,C,74,1493.73,25,32,15,72,154,219,270,24.84,16.23,11.42,11.34,40,33,45,63,156,16,28,3,3,12,603,650,-47
518,Mark Stone,23-24,VGK,R,56,1086.78,16,20,17,53,117,162,212,18.03,13.68,9.88,11.13,40,29,62,34,39,11,12,0,0,1,0,4,-4
519,Martin Fehervary,23-24,WSH,D,66,1295.65,3,5,8,16,61,86,139,3.09,4.92,3.49,3.59,109,14,8,189,134,12,11,0,0,-1,0,0,0
520,Martin Necas,23-24,CAR,C,77,1336.43,24,17,12,53,231,323,438,20.96,10.39,7.43,6.49,31,52,23,77,111,21,24,0,0,3,47,91,-44
521,Martin Pospisil,23-24,CGY,C,63,801.33,8,8,8,24,117,162,202,13.57,6.84,4.94,8.38,22,23,26,235,72,31,23,3,0,-11,23,28,-5
522,Mason Appleton,23-24,WPG,C,82,1315.93,14,12,10,36,122,190,241,14.73,11.48,7.37,7.75,44,12,24,107,116,13,13,0,0,0,9,8,1
523,Mason Lohrei,23-24,BOS,D,41,695.27,4,3,6,13,43,59,102,2.49,9.3,6.78,4.22,63,29,9,36,65,9,4,0,0,-5,0,0,0
524,Mason Marchment,23-24,DAL,L,81,1219.8,22,18,13,53,150,230,283,20.74,14.67,9.57,9.02,34,45,43,102,135,22,24,2,2,2,4,5,-1
525,Mason McTavish,23-24,ANA,C,64,1041.65,19,16,7,42,130,191,262,17.82,14.62,9.95,9.33,33,17,23,66,38,38,29,0,0,-9,437,408,29
526,Mason Morelli,23-24,VGK,L,9,96.78,3,0,1,4,9,12,14,0.89,33.33,25,7.42,6,2,3,16,18,0,1,0,0,1,2,4,-2
527,Mason Shaw,23-24,MIN,C,20,163.7,1,2,0,3,21,30,39,1.45,4.76,3.33,4.83,6,1,3,27,28,2,0,2,2,-2,7,1,6
528,Mathew Barzal,23-24,NYI,C,80,1610.6,23,38,19,80,240,320,413,23.76,9.58,7.19,7.43,52,90,84,53,55,17,27,0,0,10,49,65,-16
529,Mathieu Joseph,23-24,OTT,R,72,1185.98,11,16,8,35,124,189,235,16.71,8.87,5.82,8.84,49,36,69,102,104,18,26,1,1,8,22,44,-22
530,Mathieu Olivier,23-24,CBJ,R,54,609.2,5,3,4,12,54,79,93,6.65,9.26,6.33,8.42,36,5,10,158,53,15,10,8,8,-5,4,12,-8
531,Matias MacCelli,23-24,ARI,L,82,1331.18,17,26,14,57,149,205,288,18.51,11.41,8.29,9.03,20,56,22,27,77,4,13,0,0,9,6,10,-4
532,Mats Zuccarello,23-24,MIN,R,69,1303.58,12,33,18,63,173,247,334,17.29,6.94,4.86,7,50,38,38,25,69,15,21,0,0,6,27,45,-18
533,Matt Benning,23-24,S.J,D,14,258.72,0,2,0,2,13,21,32,0.23,0,0,1.1,29,9,5,19,25,8,2,0,0,-6,0,0,0
534,Matt Boldy,23-24,MIN,L,75,1418.33,29,26,14,69,227,350,507,28.1,12.78,8.29,8.03,32,49,61,33,118,24,21,0,0,-3,37,51,-14
535,Matt Coronato,23-24,CGY,R,34,428.78,3,4,2,9,58,91,113,6.19,5.17,3.3,6.8,7,14,16,7,50,3,4,0,0,1,5,14,-9
536,Matt Duchene,23-24,DAL,C,80,1341.3,25,26,14,65,172,257,347,25.18,14.53,9.73,9.8,48,58,36,31,96,10,12,0,0,2,360,277,83
537,Matt Dumba,23-24,ARI,D,58,1164.05,4,1,5,10,60,98,151,4.26,6.67,4.08,4.35,84,33,7,149,69,20,10,1,1,-10,0,1,-1
538,Matt Dumba,23-24,T.B,D,18,335.6,0,0,2,2,25,35,50,0.77,0,0,2.2,24,12,2,48,38,9,3,1,1,-6,0,0,0
539,Matt Grzelcyk,23-24,BOS,D,63,1108.65,2,7,2,11,60,99,152,2.54,3.33,2.02,2.57,76,29,12,55,84,11,3,1,0,-9,0,0,0
540,Matt Martin,23-24,NYI,L,57,530.82,4,3,1,8,48,62,75,5.25,8.33,6.45,8.47,29,11,12,148,30,9,8,5,5,-1,7,11,-4
541,Matt Nieto,23-24,PIT,L,22,255.45,1,3,0,4,13,23,27,2.1,7.69,4.35,9.13,9,4,4,14,23,2,0,0,0,-2,0,0,0
542,Matt Rempe,23-24,NYR,C,17,95.63,1,1,0,2,12,14,20,1.56,8.33,7.14,11.14,5,0,1,43,18,3,2,7,5,-3,4,4,0
543,Matt Roy,23-24,L.A,D,81,1692.48,5,12,8,25,135,206,294,6.79,3.7,2.43,3.3,197,55,12,149,155,16,5,0,0,-11,0,0,0
544,Matthew Highmore,23-24,OTT,C,7,53.97,0,0,2,2,1,6,6,0.5,0,0,8.33,4,2,0,3,11,0,1,0,0,1,2,2,0
545,Matthew Kessel,23-24,STL,D,39,654.97,1,2,4,7,28,45,82,1.38,3.57,2.22,3.07,65,19,15,42,58,6,2,0,0,-4,0,0,0
546,Matthew Knies,23-24,TOR,L,80,1094.2,15,12,8,35,115,161,188,14.95,13.04,9.32,9.29,30,29,38,171,137,20,16,1,1,-4,0,1,-1
547,Matthew Phillips,23-24,WSH,R,28,281.67,1,3,1,5,17,25,37,3.5,5.88,4,14,14,4,4,7,31,0,2,0,0,2,1,2,-1
548,Matthew Poitras,23-24,BOS,C,33,442.07,5,4,6,15,40,49,77,3.97,12.5,10.2,8.1,15,15,19,17,54,3,13,0,0,10,111,143,-32
549,Matthew Tkachuk,23-24,FLA,L,80,1491.2,26,43,20,89,281,395,501,40.91,9.25,6.58,10.36,28,62,39,148,77,29,47,2,3,19,3,6,-3
550,Mattias Ekholm,23-24,EDM,D,79,1662.9,11,23,11,45,177,249,361,11.19,6.21,4.42,4.49,93,58,40,139,135,21,14,1,2,-6,0,0,0
551,Mattias Janmark,23-24,EDM,C,71,844.57,4,4,4,12,67,90,110,9.19,5.97,4.44,10.21,19,17,15,54,64,13,11,2,2,-2,32,43,-11
552,Mattias Samuelsson,23-24,BUF,D,41,840.5,1,2,4,7,44,61,94,1.12,2.27,1.64,1.84,86,24,8,106,71,13,5,0,0,-8,0,0,0
553,Matty Beniers,23-24,SEA,C,77,1383.17,15,15,7,37,132,190,272,15.68,11.36,7.89,8.25,44,31,45,48,119,10,17,0,0,7,527,584,-57
554,Max Domi,23-24,TOR,C,80,1102.8,9,23,15,47,137,190,253,12.95,6.57,4.74,6.82,22,42,26,59,77,24,13,6,6,-11,226,226,0
555,Max Jones,23-24,ANA,L,52,627.02,5,8,2,15,76,111,133,10.12,6.58,4.5,9.12,14,9,17,122,58,14,22,1,1,8,5,11,-6
556,Max Pacioretty,23-24,WSH,L,47,678.38,4,11,8,23,95,142,186,10.1,4.21,2.82,7.11,22,16,14,73,68,10,7,1,2,-2,5,12,-7
557,Max Willman,23-24,N.J,C,18,149.98,3,0,1,4,17,18,24,1.18,17.65,16.67,6.56,7,1,3,23,26,1,1,0,0,0,2,4,-2
558,Maxence Guenette,23-24,OTT,D,7,96.52,0,0,0,0,6,8,21,0.23,0,0,2.88,6,3,1,6,3,1,0,0,0,-1,0,0,0
559,Maxime Lajoie,23-24,TOR,D,7,89.02,0,0,1,1,1,1,8,0.01,0,0,1,7,1,3,12,19,0,0,0,0,0,0,0,0
560,Maxwell Crozier,23-24,T.B,D,13,170.45,0,2,0,2,13,18,32,0.49,0,0,2.72,11,5,6,16,14,1,3,1,1,2,0,0,0
561,Michael Amadio,23-24,VGK,R,73,977.6,14,6,7,27,117,150,191,12.66,11.97,9.33,8.44,34,25,33,48,120,8,14,0,0,6,69,65,4
562,Michael Bunting,23-24,CAR,L,60,906.67,13,18,5,36,113,167,238,16.44,11.5,7.78,9.84,15,41,22,24,48,20,26,1,1,6,6,16,-10
563,Michael Bunting,23-24,PIT,L,21,363.82,6,8,5,19,55,75,94,9.09,10.91,8,12.12,6,6,16,22,21,1,8,0,0,7,1,0,1
564,Michael Carcone,23-24,ARI,L,74,834.05,21,4,4,29,111,152,223,12.31,18.92,13.82,8.1,22,13,11,54,101,15,11,1,1,-4,4,9,-5
565,Michael Eyssimont,23-24,T.B,C,81,960.72,11,7,7,25,149,214,284,12.85,7.38,5.14,6,31,22,31,136,170,22,26,6,6,4,6,7,-1
566,Michael Kesselring,23-24,ARI,D,65,1026.53,5,7,9,21,76,134,196,3.25,6.58,3.73,2.43,59,28,14,106,87,24,9,2,2,-15,0,0,0
567,Michael McCarron,23-24,NSH,R,70,893.68,12,6,4,22,94,143,169,12.05,12.77,8.39,8.43,55,17,23,139,94,15,13,8,8,-2,357,314,43
568,Michael McLeod,23-24,N.J,C,45,681.48,10,4,5,19,73,101,125,10.19,13.7,9.9,10.09,22,18,20,101,65,5,12,0,0,7,424,228,196
569,Michael Pezzetta,23-24,MTL,L,61,475.53,3,6,3,12,42,61,94,3.44,7.14,4.92,5.64,29,17,2,238,58,12,5,7,7,-7,6,8,-2
570,Michael Rasmussen,23-24,DET,C,75,1139.32,13,14,6,33,101,148,185,16.17,12.87,8.78,10.93,76,13,18,121,136,21,19,1,1,-2,58,62,-4
571,Michael Sgarbossa,23-24,WSH,C,25,274.27,4,3,0,7,27,39,45,3.63,14.81,10.26,9.31,3,11,8,16,27,1,5,0,0,4,58,68,-10
572,Mika Zibanejad,23-24,NYR,C,81,1599.1,26,30,16,72,221,340,414,26.07,11.76,7.65,7.67,55,46,48,49,69,10,24,0,0,14,548,564,-16
573,Mikael Backlund,23-24,CGY,C,82,1577.23,15,20,4,39,209,307,391,23.47,7.18,4.89,7.64,33,56,61,69,66,12,12,0,0,0,778,769,9
574,Mikael Granlund,23-24,S.J,C,69,1446.2,12,24,24,60,134,187,258,16.12,8.96,6.42,8.62,55,21,49,56,96,16,18,0,0,2,493,560,-67
575,Mikael Pyyhtia,23-24,CBJ,L,17,223.5,0,2,0,2,22,27,36,1.5,0,0,5.56,20,1,3,10,17,0,1,0,0,1,1,3,-2
576,Mike Hoffman,23-24,S.J,C,66,906.28,10,4,9,23,71,113,160,8.62,14.08,8.85,7.63,27,12,31,27,35,10,5,0,0,-5,12,20,-8
577,Mike Matheson,23-24,MTL,D,82,2095.33,11,24,27,62,187,252,403,10.61,5.88,4.37,4.21,186,76,49,62,125,29,23,0,0,-6,0,0,0
578,Mike Reilly,23-24,NYI,D,59,1018.25,6,9,9,24,119,176,253,4.84,5.04,3.41,2.75,57,29,8,46,66,14,5,0,0,-9,0,0,0
579,Mikey Anderson,23-24,L.A,D,74,1526.45,2,8,8,18,89,132,206,4.54,2.25,1.52,3.44,129,27,14,126,130,9,12,0,0,3,0,0,0
580,Mikhail Sergachev,23-24,T.B,D,34,766.9,2,9,8,19,53,81,141,2.85,3.77,2.47,3.52,70,18,7,36,31,8,4,0,0,-4,0,0,0
581,Mikko Rantanen,23-24,COL,R,80,1832.45,42,36,26,104,272,401,527,33.96,15.44,10.47,8.47,49,43,43,51,149,25,22,0,0,-3,275,236,39
582,Miles Wood,23-24,COL,L,74,1012.63,9,14,3,26,167,228,282,19.13,5.39,3.95,8.39,35,15,41,107,97,25,24,1,1,-1,13,28,-15
583,Milos Kelemen,23-24,ARI,L,10,76.82,0,0,1,1,5,8,12,0.53,0,0,6.62,3,1,1,20,20,0,0,0,0,0,1,3,-2
584,Miro Heiskanen,23-24,DAL,D,71,1742.37,9,22,23,54,162,239,401,10.97,5.56,3.77,4.59,97,36,33,57,149,13,21,0,0,8,0,0,0
585,Mitch Marner,23-24,TOR,R,69,1467.85,26,40,19,85,158,246,365,21.05,16.46,10.57,8.56,51,60,59,64,84,9,15,0,0,6,4,12,-8
586,Mitchell Chaffee,23-24,T.B,R,30,337.33,4,1,2,7,26,38,52,3.05,15.38,10.53,8.03,20,3,2,89,56,2,6,0,0,4,0,4,-4
587,Mitchell Stephens,23-24,MTL,C,23,208.18,2,1,0,3,16,21,24,1.09,12.5,9.52,5.19,7,1,3,8,7,2,2,0,0,0,75,60,15
588,Morgan Barron,23-24,WPG,C,80,839.75,11,3,4,18,94,121,149,9.73,11.7,9.09,8.04,45,10,26,121,78,9,8,1,1,-1,62,72,-10
589,Morgan Frost,23-24,PHI,C,71,1123.27,13,21,7,41,135,189,259,17.66,9.63,6.88,9.34,55,29,24,56,47,11,17,0,1,7,407,416,-9
590,Morgan Geekie,23-24,BOS,C,76,1171.08,17,10,12,39,130,171,211,13.87,13.08,9.94,8.11,49,30,31,136,136,14,8,0,0,-6,291,369,-78
591,Morgan Rielly,23-24,TOR,D,72,1709.37,7,29,22,58,173,242,360,9.66,4.05,2.89,3.99,137,61,27,100,150,7,6,1,0,-2,0,0,0
592,Moritz Seider,23-24,DET,D,82,1833.45,9,17,16,42,136,192,287,6.75,6.62,4.69,3.52,212,39,41,203,77,23,21,1,1,-2,0,0,0
593,Nate Schmidt,23-24,WPG,D,63,1059.42,2,4,8,14,75,112,168,3.43,2.67,1.79,3.06,76,26,17,65,55,8,5,0,0,-3,0,0,0
594,Nathan Bastian,23-24,N.J,R,54,548.83,5,3,4,12,57,80,99,9.35,8.77,6.25,11.69,27,5,8,143,84,11,11,2,3,1,14,13,1
595,Nathan MacKinnon,23-24,COL,C,82,1870.77,51,50,39,140,405,526,692,38.37,12.59,9.7,7.29,69,82,42,53,84,17,33,0,0,16,607,707,-100
596,Nathan Walker,23-24,STL,L,45,486.47,7,1,5,13,43,54,76,4.55,16.28,12.96,8.43,35,4,10,91,52,4,8,2,2,4,20,22,-2
597,Nazem Kadri,23-24,CGY,C,82,1510.92,29,28,18,75,277,391,524,34.87,10.47,7.42,8.92,24,70,56,56,145,19,42,1,1,23,593,617,-24
598,Neal Pionk,23-24,WPG,D,82,1707.97,5,6,22,33,146,212,307,6.74,3.42,2.36,3.18,118,55,34,223,163,29,17,1,1,-12,0,0,0
599,Nic Dowd,23-24,WSH,C,64,972.97,12,6,4,22,61,86,103,8.99,19.67,13.95,10.45,72,30,46,117,76,21,15,1,1,-6,493,531,-38
601,Nicholas Robertson,23-24,TOR,L,56,637.08,14,7,6,27,96,133,168,9.59,14.58,10.53,7.21,24,18,28,36,67,2,6,0,0,4,3,8,-5
602,Nick Bjugstad,23-24,ARI,C,76,1325.68,22,12,11,45,166,246,297,21.98,13.25,8.94,8.93,48,34,32,117,81,22,16,1,1,-6,617,636,-19
603,Nick Blankenburg,23-24,CBJ,D,12,194.48,1,0,0,1,10,17,28,0.47,10,5.88,2.76,15,3,5,21,20,2,2,0,0,0,0,0,0
604,Nick Bonino,23-24,NYR,C,45,551.43,1,3,1,5,31,48,65,3.4,3.23,2.08,7.08,78,5,12,10,23,4,3,0,0,-1,207,199,8
605,Nick Cousins,23-24,FLA,C,69,840.77,7,2,6,15,111,142,181,11.04,6.31,4.93,7.77,33,23,31,123,146,17,22,2,5,8,17,15,2
606,Nick Desimone,23-24,CGY,D,23,276.97,1,1,3,5,19,28,47,0.77,5.26,3.57,2.75,21,9,2,15,35,1,1,0,0,0,0,0,0
607,Nick Desimone,23-24,N.J,D,11,181.38,1,0,1,2,9,10,22,0.3,11.11,10,3,21,4,1,14,18,1,0,0,0,-1,0,0,0
608,Nick Foligno,23-24,CHI,L,74,1314.58,17,8,12,37,146,189,225,23.45,11.64,8.99,12.41,39,26,47,189,38,21,16,3,3,-5,228,207,21
609,Nick Jensen,23-24,WSH,D,78,1531.1,1,6,7,14,71,119,198,3.45,1.41,0.84,2.9,123,55,22,61,151,5,13,0,0,8,0,0,0
610,Nick Leddy,23-24,STL,D,82,1833.67,3,14,11,28,82,119,172,3.72,3.66,2.52,3.13,127,38,32,52,38,7,12,0,0,5,0,0,0
611,Nick Paul,23-24,T.B,L,82,1414.68,24,13,9,46,153,222,286,23.82,15.69,10.81,10.73,42,25,36,101,106,11,13,1,1,2,531,447,84
612,Nick Perbix,23-24,T.B,D,77,1313.78,2,9,13,24,58,88,151,3.22,3.45,2.27,3.66,114,26,29,83,117,5,12,0,0,7,0,0,0
613,Nick Schmaltz,23-24,ARI,C,79,1514.98,22,23,16,61,158,246,339,20.85,13.92,8.94,8.48,41,53,66,15,66,6,12,0,0,6,164,236,-72
614,Nick Seeler,23-24,PHI,D,71,1202.92,1,7,5,13,100,150,225,3.54,1,0.67,2.36,205,30,10,131,87,14,13,4,4,-1,0,0,0
615,Nick Suzuki,23-24,MTL,C,82,1743.65,33,25,19,77,185,266,324,26.1,17.84,12.41,9.81,48,63,41,66,117,19,22,0,0,3,689,622,67
616,Nicklas Backstrom,23-24,WSH,C,8,116.47,0,0,1,1,12,16,17,1.89,0,0,11.81,5,3,5,2,8,1,2,0,0,1,44,40,4
617,Nico Hischier,23-24,N.J,C,71,1383.23,27,24,16,67,182,259,328,31.64,14.84,10.42,12.22,42,28,55,42,74,6,21,0,2,17,785,602,183
618,Nico Sturm,23-24,S.J,C,63,923.53,5,7,1,13,69,104,133,8.79,7.25,4.81,8.45,39,18,21,66,43,6,10,0,0,4,496,331,165
619,Nicolas Aube-Kubel,23-24,WSH,R,60,732.45,6,7,3,16,58,98,137,5.85,10.34,6.12,5.97,26,19,32,157,121,9,13,1,1,4,6,12,-6
620,Nicolas Deslauriers,23-24,PHI,L,60,488.97,1,1,2,4,49,77,99,5.45,2.04,1.3,7.08,21,5,14,185,45,12,3,11,11,-9,5,8,-3
621,Nicolas Hague,23-24,VGK,D,73,1354.33,2,4,6,12,105,145,242,3.85,1.9,1.38,2.66,111,23,13,150,161,14,13,3,3,-1,0,0,0
622,Nicolas Roy,23-24,VGK,C,70,1081.68,13,17,11,41,113,157,208,18.3,11.5,8.28,11.66,35,26,41,75,73,12,6,1,1,-6,359,408,-49
623,Nikita Alexandrov,23-24,STL,C,23,196.1,0,0,2,2,15,19,25,1.16,0,0,6.11,7,5,5,29,19,2,1,0,0,-1,37,54,-17
624,Nikita Kucherov,23-24,T.B,R,81,1753.9,44,62,38,144,306,458,635,36.13,14.38,9.61,7.89,35,96,62,45,82,11,22,0,0,11,2,2,0
625,Nikita Okhotiuk,23-24,CGY,D,9,120.13,0,0,1,1,4,7,12,0.2,0,0,2.86,8,6,2,21,10,2,0,0,0,-2,0,0,0
626,Nikita Okhotiuk,23-24,S.J,D,43,707.32,1,4,3,8,48,81,121,3.02,2.08,1.23,3.73,72,25,11,125,49,12,3,0,0,-9,0,0,0
627,Nikita Zadorov,23-24,CGY,D,21,386.47,1,3,2,6,29,53,76,1.17,3.45,1.89,2.21,19,12,8,53,23,9,3,1,1,-6,0,0,0
628,Nikita Zadorov,23-24,VAN,D,54,921.6,5,8,1,14,60,102,176,2.07,8.33,4.9,2.03,49,20,9,123,71,21,6,6,4,-17,0,0,0
629,Nikita Zaitsev,23-24,CHI,D,38,605.37,2,3,2,7,31,52,90,1.14,6.45,3.85,2.19,70,16,10,66,52,7,2,0,0,-5,0,0,0
630,Niko Mikkola,23-24,FLA,D,82,1643.02,3,6,8,17,93,128,213,4.49,3.23,2.34,3.51,124,37,10,198,179,22,13,1,1,-9,0,0,0
631,Nikolai Knyzhov,23-24,S.J,D,10,176.42,0,0,1,1,6,9,19,0.16,0,0,1.78,17,2,3,13,13,3,2,0,0,-1,0,0,0
632,Nikolaj Ehlers,23-24,WPG,L,82,1301.65,25,24,12,61,233,341,495,21.44,10.73,7.33,6.29,39,45,37,29,77,12,21,1,1,9,4,11,-7
633,Nils Aman,23-24,VAN,C,43,444.37,3,3,1,7,28,39,44,3.83,10.71,7.69,9.82,22,4,7,29,48,4,4,0,0,0,72,86,-14
634,Nils Hoglander,23-24,VAN,L,80,968.5,24,8,4,36,120,174,198,18.43,20,13.79,10.59,19,14,29,96,89,18,20,1,0,1,0,0,0
