Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
380,Jesper Fast,23-24,CAR,R,73,920.13,6,9,4,19,79,109,134,12.96,7.59,5.5,11.89,23,16,25,79,115,8,13,0,0,5,7,9,-2
381,Jesperi Kotkaniemi,23-24,CAR,C,79,1026.17,12,11,4,27,128,192,259,16.14,9.38,6.25,8.41,33,34,26,56,87,18,13,0,0,-5,333,314,19
382,Jesse Puljujarvi,23-24,PIT,R,22,202.18,3,1,0,4,29,37,47,3.13,10.34,8.11,8.46,6,6,6,38,22,3,0,0,0,-3,1,5,-4
383,Jesse Ylonen,23-24,MTL,R,59,604,4,2,2,8,50,66,80,4.12,8,6.06,6.24,32,7,6,39,86,6,4,0,0,-2,5,4,1
384,Jimmy Vesey,23-24,NYR,L,80,990.15,13,7,6,26,116,169,208,16.87,11.21,7.69,9.98,28,18,36,83,39,5,8,2,2,3,9,14,-5
385,Jiri Smejkal,23-24,OTT,L,20,189.57,1,1,0,2,10,24,31,2.42,10,4.17,10.08,13,7,6,30,16,2,2,0,0,0,11,16,-5
386,Jj Peterka,23-24,BUF,R,82,1344.18,28,10,12,50,226,319,425,23.21,12.39,8.78,7.28,18,27,39,27,108,9,29,0,0,20,3,12,-9
387,Joe Pavelski,23-24,DAL,C,82,1378.37,27,26,14,67,194,261,329,29.52,13.92,10.34,11.31,70,56,25,73,55,10,20,0,0,10,355,340,15
388,Joe Veleno,23-24,DET,C,80,1116.52,12,8,8,28,86,132,168,12.85,13.95,9.09,9.73,35,13,23,106,89,10,15,1,1,5,305,317,-12
389,Joel Armia,23-24,MTL,R,66,1026.4,17,5,3,25,139,181,222,12.46,12.23,9.39,6.88,41,34,30,48,54,17,13,0,0,-4,5,11,-6
390,Joel Edmundson,23-24,TOR,D,9,160.17,0,0,0,0,5,10,16,0.22,0,0,2.2,16,8,1,22,21,3,3,0,0,0,0,0,0
391,Joel Edmundson,23-24,WSH,D,44,723.13,1,2,3,6,41,62,106,2.06,2.44,1.61,3.32,49,28,8,60,36,7,2,1,1,-5,0,0,0
392,Joel Eriksson Ek,23-24,MIN,C,77,1580.62,30,15,19,64,268,361,425,42.63,11.19,8.31,11.81,55,17,37,167,98,25,33,0,0,8,796,806,-10
393,Joel Farabee,23-24,PHI,L,82,1326.83,22,19,9,50,182,249,307,20.41,12.09,8.84,8.2,50,28,28,63,97,11,12,1,1,1,30,50,-20
394,Joel Hanley,23-24,CGY,D,10,145.33,1,0,1,2,7,9,13,0.13,14.29,11.11,1.44,15,2,0,12,22,1,1,1,1,0,0,0,0
395,Joel Hanley,23-24,DAL,D,32,438.27,0,2,1,3,12,28,53,0.87,0,0,3.11,32,9,2,35,76,10,0,1,1,-10,0,0,0
396,Joel Kiviranta,23-24,COL,L,56,551,3,3,3,9,48,60,78,5.74,6.25,5,9.57,31,7,19,78,75,6,12,0,0,6,2,5,-3
397,Joey Anderson,23-24,CHI,R,55,745.13,5,10,2,17,57,80,106,6.1,8.77,6.25,7.62,18,20,30,46,37,4,3,0,0,-1,0,2,-2
398,John Beecher,23-24,BOS,C,52,552.43,7,3,0,10,38,48,57,4.98,18.42,14.58,10.38,34,8,13,109,71,7,3,2,2,-4,273,227,46
399,John Carlson,23-24,WSH,D,82,2123.12,10,16,26,52,176,274,439,13.41,5.68,3.65,4.89,194,82,58,69,103,15,16,0,0,1,0,0,0
401,John Ludvig,23-24,PIT,D,33,389.6,3,1,1,5,24,37,53,1.13,12.5,8.11,3.05,33,9,3,70,40,6,3,5,5,-3,0,0,0
402,John Marino,23-24,N.J,D,75,1571.85,4,7,13,24,57,86,154,5.33,7.02,4.65,6.2,89,33,41,38,106,13,12,1,1,-1,0,0,0
403,John Tavares,23-24,TOR,C,80,1429.2,29,18,18,65,279,385,484,45.05,10.39,7.53,11.7,37,51,37,133,127,15,22,0,0,7,802,551,251
404,Johnathan Kovacevic,23-24,MTL,D,62,1024.13,6,4,3,13,46,78,150,3.08,13.04,7.69,3.95,83,50,9,72,72,16,8,2,2,-8,0,0,0
405,Johnny Gaudreau,23-24,CBJ,L,81,1523.85,12,35,13,60,161,217,313,19.55,7.45,5.53,9.01,23,40,34,2,34,6,19,0,0,13,0,1,-1
406,Jon Merrill,23-24,MIN,D,65,830.73,4,4,3,11,42,61,92,2.38,9.52,6.56,3.9,57,12,8,36,71,15,5,0,0,-10,0,0,0
407,Jonah Gadjovich,23-24,FLA,L,39,289.82,2,2,0,4,29,39,55,3.04,6.9,5.13,7.79,14,9,1,77,51,12,10,10,10,-2,0,0,0
408,Jonas Brodin,23-24,MIN,D,62,1449.08,7,7,13,27,117,160,233,5.78,5.98,4.38,3.61,142,21,26,19,92,8,6,0,0,-2,0,0,0
409,Jonas Rondbjerg,23-24,VGK,R,20,225.53,1,2,0,3,25,29,40,3.45,4,3.45,11.9,10,2,10,7,33,0,0,0,0,0,0,1,-1
